,original_id,gesetzt,artikel,absatz,text
0,010.005,eu_digital_markets_act,010,005,"(5) Bei der Prüfung eines Antrags nach den Absätzen 1 und 4 berücksichtigt die Kommission insbesondere die Auswirkungen der Einhaltung der betreffenden Verpflichtung auf die in Absatz 3 genannten Gründe sowie die Auswirkungen auf den betreffenden Torwächter und auf Dritte. Die Kommission kann die Aussetzung von Bedingungen und Auflagen abhängig machen, um ein ausgewogenes Gleichgewicht zwischen den Zielen hinter den in Absatz 3 genannten Gründen und den Zielen der vorliegenden Verordnung zu erreichen."
0,053.002,eu_digital_markets_act,053,002,"(2) In den Evaluierungen wird beurteilt, ob das Ziel dieser Verordnung, nämlich die Gewährleistung bestreitbarer und fairer Märkte, erreicht wurde, und ferner werden die Auswirkungen dieser Verordnung auf gewerbliche Nutzer, insbesondere KMU, und Endnutzer beurteilt. Darüber hinaus evaluiert die Kommission, ob der Geltungsbereich des Artikels 7 auf Online-Dienste sozialer Netzwerke ausgeweitet werden kann."
0,050.001,eu_digital_markets_act,050,001,(1) Die Kommission wird von einem Ausschuss („Beratender Ausschuss für digitale Märkte“) unterstützt. Dieser Ausschuss ist ein Ausschuss im Sinne der Verordnung (EU) Nr. 182/2011.
0,028.001,eu_digital_markets_act,028,001,"(1) Torwächter führen eine Compliance-Funktion ein, die unabhängig von den operativen Funktionen des Torwächters ist und aus einem oder mehreren Compliance-Beauftragten besteht, einschließlich des Leiters der Compliance-Funktion."
0,009.003,eu_digital_markets_act,009,003,"(3) In dringenden Fällen kann die Kommission auf mit Gründen versehenen Antrag eines Torwächters die Anwendung einer bestimmten Verpflichtung nach Absatz 1 auf einen oder mehrere einzelne zentrale Plattformdienste bereits vor dem Erlass eines Beschlusses nach dem genannten Absatz vorläufig aussetzen. Ein solcher Antrag kann jederzeit gestellt und bewilligt werden, bis die Kommission über den Antrag nach Absatz 1 befunden hat."
0,020.001,eu_digital_markets_act,020,001,"(1) Beabsichtigt die Kommission, ein Verfahren im Hinblick auf den möglichen Erlass von Beschlüssen nach Artikel 8, 29 oder 30 einzuleiten, so erlässt sie einen Beschluss zur Einleitung eines Verfahrens."
0,003.001,eu_digital_markets_act,003,001,"(1) Ein Unternehmen wird als Torwächter benannt, wenn es a) erheblichen Einfluss auf den Binnenmarkt hat, b) einen zentralen Plattformdienst bereitstellt, der gewerblichen Nutzern als wichtiges Zugangstor zu Endnutzern dient, und c) hinsichtlich seiner Tätigkeiten eine gefestigte und dauerhafte Position innehat oder absehbar ist, dass es eine solche Position in naher Zukunft erlangen wird."
0,042,eu_digital_markets_act,042,NA,"Artikel 42 Verbandsklagen Richtlinie (EU) 2020/1828 findet Anwendung auf Verbandsklagen gegen Zuwiderhandlungen durch Torwächter gegen Bestimmungen dieser Verordnung, die die Kollektivinteressen der Verbraucher beeinträchtigen oder zu beeinträchtigen drohen."
0,050.004,eu_digital_markets_act,050,004,(4) Die Kommission übermittelt dem Adressaten eines Einzelbeschlusses zusammen mit diesem Beschluss die Stellungnahme des Ausschusses. Sie veröffentlicht die Stellungnahme zusammen mit dem Einzelbeschluss unter Berücksichtigung der berechtigten Interessen an der Wahrung von Geschäftsgeheimnissen.
0,028.002,eu_digital_markets_act,028,002,"(2) Der Torwächter stellt sicher, dass die in Absatz 1 genannte Compliance-Funktion über ausreichend Befugnisse, Status und Ressourcen sowie über Zugang zum Leitungsorgan des Torwächters verfügt, um die Einhaltung dieser Verordnung durch den Torwächter zu überwachen."
