,original_id,gesetzt,artikel,absatz,text
0,022.006,eu_horizon,022,006,"(6) Soweit erforderlich und hinreichend begründet, können im Arbeitsprogramm über die in den Absätzen 2 bis 5 genannten Kriterien hinaus weitere Kriterien festgelegt werden, beispielsweise die Anzahl und Art der Rechtsträger oder der Ort ihres Sitzes, um besondere politische Anforderungen oder die Art und Ziele der Maßnahme zu berücksichtigen."
0,053.002,eu_horizon,053,002,"(2) Die Rechnungsprüfungsstrategie für das Programm stützt sich auf die Rechnungsprüfung einer repräsentativen Stichprobe der Ausgaben des gesamten Programms. In die repräsentative Stichprobe werden zusätzlich Ausgaben einbezogen, die anhand einer Risikoabschätzung ausgewählt wurden. Maßnahmen, die gleichzeitig Fördermittel aus verschiedenen Unionsprogrammen erhalten, werden nur einmal überprüft, wobei alle beteiligten Programme und deren jeweils geltende Regeln berücksichtigt werden."
0,050.001,eu_horizon,050,001,"(1) Die Kommission überwacht kontinuierlich das Management und die Durchführung des Programms und seines spezifischen Programms gemäß Artikel 1 Absatz 2 Buchstabe a sowie die Tätigkeiten des EIT. Zur Förderung von Transparenz werden Daten in zugänglicher Form und aktualisiert auch auf der Internetseite der Kommission veröffentlicht. Insbesondere werden Daten zu Projekten, die im Rahmen des ERC, von europäischen Partnerschaften, von Missionen, des EIC und des EIT gefördert werden, in dieselbe Datenbank aufgenommen. Diese Datenbank umfasst Folgendes: a) zeitgebundene Indikatoren, anhand deren über die Fortschritte des Programms zur Erreichung der in Artikel 3 genannten Ziele und in Anhang V festgelegten Wirkungspfade jährlich Bericht zu erstatten ist; b) Angaben zum Ausmaß der durchgängigen Berücksichtigung der Sozial- und Geisteswissenschaften, zum Verhältnis zwischen Tätigkeiten mit höherem und niedrigerem Technologie-Reifegrad in der kooperativen Forschung, zu den Fortschritten bei der Teilnahme von Ausweitungsländern, zur geografischen Zusammensetzung von Konsortien bei Verbundprojekten, zur Entwicklung der Gehälter von Forschern, zur Verwendung eines zweistufigen Einreichungs- und Bewertungsverfahrens, zu den Maßnahmen zur Erleichterung der kooperativen Verbindungen im Bereich der europäischen Forschung und Innovation, zum Einsatz der Bewertung sowie zur Anzahl und Art von Beschwerden, zum Ausmaß der durchgängigen Berücksichtigung des Klimaschutzes und damit in Zusammenhang stehender Ausgaben, zur Beteiligung von KMU, zur Beteiligung des Privatsektors, zur Vertretung der Geschlechter bei geförderten Maßnahmen, in Bewertungsgremien, Beiräten und beratenden Gruppen, zu den Exzellenzsiegeln, zu den europäischen Partnerschaften sowie der Kofinanzierungsquote, zur ergänzenden und kumulativen Förderung aus anderen Programmen der Union, zu den Forschungsinfrastrukturen, zum Zeitraum bis zur Gewährung einer Finanzhilfe, zum Umfang der internationalen Zusammenarbeit, zur Bürgerbeteiligung und zur Beteiligung der Zivilgesellschaft; c) das nach Projekten aufgeschlüsselte Ausgabenvolumen, damit spezifische Analysen, auch nach Interventionsbereich, durchgeführt werden können; d) das Ausmaß der Überzeichnung, insbesondere die Zahl von Vorschlägen und pro Aufforderung zur Einreichung von Vorschlägen, ihre durchschnittliche Bewertung, der Anteil an Vorschlägen oberhalb und unterhalb der Qualitätsschwellenwerte."
0,028.001,eu_horizon,028,001,(1) Die Vorschläge werden auf der Grundlage der folgenden Zuschlagskriterien bewertet: a) Exzellenz; b) Wirkung; c) Qualität und Effizienz der Durchführung.
0,022.004,eu_horizon,022,004,"(4) Koordinierungs- und Unterstützungsmaßnahmen können von einem oder mehreren Rechtsträgern, die ihren Sitz in einem Mitgliedstaat, in einem assoziierten Land oder — in Ausnahmefällen — in einem anderen Drittland haben können, durchgeführt werden."
0,009.003,eu_horizon,009,003,(3) Die Aufgaben des EIC-Beirats und die Managementmerkmale des EIC sind im Beschluss (EU) 2021/764 beschrieben.
0,020.001,eu_horizon,020,001,"(1) Die im Zuge des Programms durchgeführten Maßnahmen müssen den geltenden Sicherheitsvorschriften, insbesondere denen zum Schutz von Verschlusssachen gegen unbefugte Weitergabe sowie auch allem einschlägigen Unionsrecht und allen einschlägigen nationalen Vorschriften genügen. Bei Forschungsarbeiten, die außerhalb der Union durchgeführt und bei denen Verschlusssachen verwendet oder generiert werden, ist es außerdem notwendig, zusätzlich zur Einhaltung dieser Anforderungen eine Sicherheitsvereinbarung zwischen der Union und dem Drittland zu schließen, in dem die Forschungsarbeiten durchgeführt werden sollen."
0,003.001,eu_horizon,003,001,"(1) Das allgemeine Ziel des Programms besteht darin, mit den Investitionen der Union in FuI in Wissenschaft, Technologien, Wirtschaft und Gesellschaft Wirkung zu entfalten und damit die wissenschaftlich-technischen Grundlagen der Union zu stärken, die Wettbewerbsfähigkeit der Union, auch die ihrer Industrie, in allen Mitgliedstaaten zu erhöhen, in den strategischen Schwerpunktbereichen der Union Ergebnisse zu erzielen, einen Beitrag zur Verwirklichung der Ziele und Strategien der Union zu leisten, zur Bewältigung der globalen Herausforderungen, einschließlich der Ziele für eine nachhaltige Entwicklung durch Befolgung der Grundsätze der Agenda 2030 und des Übereinkommens von Paris beizutragen, sowie den EFR zu stärken. Das Programm dient somit dazu, den Mehrwert der Union zu maximieren, indem der Schwerpunkt auf Ziele und Tätigkeiten gelegt wird, die von den Mitgliedstaaten nicht allein, sondern nur in Zusammenarbeit effektiv verwirklicht werden können."
0,012.009,eu_horizon,012,009,"(9) Gemäß Artikel 193 Absatz 2 Unterabsatz 2 Buchstabe a der Haushaltsordnung können im Rahmen dieser Verordnung geförderte Tätigkeiten und die zugrunde liegenden Kosten in hinreichend begründeten, im Finanzierungsbeschluss genannten Fällen und für einen begrenzten Zeitraum ab dem 1. Januar 2021 als förderfähig betrachtet werden, selbst wenn sie vor Finanzhilfeantragstellung durchgeführt wurden bzw. entstanden sind."
0,050.004,eu_horizon,050,004,(4) Die quantitativen Daten werden so weit wie möglich durch eine von der Kommission und Fördereinrichtungen der Union oder den nationalen Fördereinrichtungen vorgenommene qualitative Analyse ergänzt.
0,028.002,eu_horizon,028,002,(2) Vorschläge für ERC-Pionierforschungsmaßnahmen werden ausschließlich auf der Grundlage des Kriteriums nach Absatz 1 Buchstabe a bewertet.
