topic,examples
0,"(6) Die Unterrichtung nach Absatz 5 enthält alle vorliegenden Angaben, insbesondere die für die Identifizierung des nicht konformen Systems notwendigen Daten, den Ursprung des KI-Systems, die Art der vermuteten Nichtkonformität und das sich daraus ergebende Risiko, die Art und Dauer der ergriffenen nationalen Maßnahmen und die von dem betreffenden Akteur vorgebrachten Argumente. Die Marktüberwachungsbehörden geben insbesondere an, ob die Nichtkonformität eine oder mehrere der folgenden Ursachen hat: a) Nichterfüllung der in Titel III Kapitel 2 aufgeführten Anforderungen durch das KI-System; b) Mängel in den in den Artikeln 40 und 41 genannten harmonisierten Normen oder gemeinsamen Spezifikationen, die eine Konformitätsvermutung begründen."
0,"(5) Für die in Absatz 1 Buchstabe a genannten KI-Systeme, sofern diese Systeme für Strafverfolgungszwecke nach Anhang III Nummern 6 und 7 eingesetzt werden, benennen die Mitgliedstaaten für die Zwecke dieser Verordnung als Marktüberwachungsbehörden entweder die für den Datenschutz nach der Richtlinie (EU) 2016/680 oder der Verordnung (EU) 2016/679 zuständigen Aufsichtsbehörden oder die zuständigen nationalen Behörden, die die Tätigkeiten der Behörden im Bereich der Strafverfolgung, Einwanderung oder Asyl, die solche Systeme in Verkehr bringen oder einsetzen, beaufsichtigen."
0,"(4) Die in Absatz 3 genannten Maßnahmen müssen den Personen, denen die menschliche Aufsicht übertragen wurde, je nach den Umständen Folgendes ermöglichen: a) die Fähigkeiten und Grenzen des Hochrisiko-KI-Systems vollständig zu verstehen und seinen Betrieb ordnungsgemäß zu überwachen, damit Anzeichen von Anomalien, Fehlfunktionen und unerwarteter Leistung so bald wie möglich erkannt und behoben werden können; b) sich einer möglichen Neigung zu einem automatischen oder übermäßigen Vertrauen in das von einem Hochrisiko-KI-System hervorgebrachte Ergebnis („Automatisierungsbias“) bewusst zu bleiben, insbesondere wenn Hochrisiko-KI-Systeme Informationen oder Empfehlungen ausgeben, auf deren Grundlage natürliche Personen Entscheidungen treffen; c) die Ergebnisse des Hochrisiko-KI-Systems richtig zu interpretieren, wobei insbesondere die Merkmale des Systems und die vorhandenen Interpretationswerkzeuge und  methoden zu berücksichtigen sind; d) in einer bestimmten Situation zu beschließen, das Hochrisiko-KI-System nicht zu verwenden oder das Ergebnis des Hochrisiko-KI-Systems anderweitig außer Acht zu lassen, außer Kraft zu setzen oder rückgängig zu machen; e) in den Betrieb des Hochrisiko-KI-Systems einzugreifen oder den Systembetrieb mit einer „Stopptaste“ oder einem ähnlichen Verfahren zu unterbrechen."
1,"(2) Unbeschadet des Absatzes 1 darf der Austausch vertraulicher Informationen zwischen den zuständigen nationalen Behörden untereinander sowie zwischen den zuständigen nationalen Behörden und der Kommission nicht ohne vorherige Rücksprache mit der zuständigen nationalen Behörde und dem Nutzer, von denen die Informationen stammen, offengelegt werden, sofern die Hochrisiko-KI-Systeme nach Anhang III Nummern 1, 6 und 7 von Strafverfolgungs-, Einwanderungs- oder Asylbehörden verwendet werden und eine solche Offenlegung die öffentlichen und nationalen Sicherheitsinteressen gefährden könnte. Handeln Strafverfolgungs-, Einwanderungs- oder Asylbehörden als Anbieter von Hochrisiko-KI-Systemen, wie sie in Anhang III Nummern 1, 6 und 7 aufgeführt sind, verbleibt die technische Dokumentation nach Anhang IV in den Räumlichkeiten dieser Behörden. Diese Behörden müssen dafür sorgen, dass die Artikel 63 Absätze 5 bzw. 6 genannten Marktüberwachungsbehörden auf Verlangen unverzüglich Zugang zu dieser Dokumentation oder eine Kopie davon erhalten. Zugang zu dieser Dokumentation oder zu einer Kopie davon darf nur das Personal der Marktüberwachungsbehörde erhalten, das über eine entsprechende Sicherheitsfreigabe verfügt."
1,"Eine öffentliche Stelle oder ein Organ, eine Einrichtung oder eine sonstige Stelle der 
Union ist berechtigt, die nach diesem Kapitel erhaltenen Daten an Personen oder 
Organisationen zur Durchführung wissenschaftlicher Forschungstätigkeiten oder 
Analysen, die mit dem Zweck, für den die Daten verlangt wurden, vereinbar sind, 
oder an nationale statistische Ämter und an Eurostat zur Erstellung amtlicher 
Statistiken weiterzugeben. 
"
1,"Öffentliche Stellen oder Organe, Einrichtungen oder sonstige Stellen der Union 
müssen in ihren Datenverlangen nach Artikel 14 Absatz 1 
a) angeben, welche Daten benötigt werden; 
b) die außergewöhnliche Notwendigkeit nachweisen, für die die Daten verlangt 
werden; 
c) den Zweck des Verlangens, die beabsichtigte Nutzung der verlangten Daten 
und die Dauer dieser Nutzung erläutern; 
d) die Rechtsgrundlage für das Datenverlangen angeben; 
e) die Frist angeben, innerhalb deren die Daten bereitzustellen sind oder innerhalb 
deren der Dateninhaber die öffentliche Stelle oder das Organ, die Einrichtung 
oder die sonstige Stelle der Union ersuchen kann, das Verlangen zu ändern 
oder zurückzuziehen. 
"
2,"(4) Die Maßnahmen, die im Rahmen des Programms durchgeführt werden, müssen gegebenenfalls dem Beschluss (EU, Euratom) 2015/444 und dessen Durchführungsvorschriften genügen."
2,"(9) Die JRC, internationale europäische Forschungsorganisationen und nach Unionsrecht gegründete Rechtsträger gelten als in einem anderen Mitgliedstaat niedergelassen als in dem, in dem die anderen an der Maßnahme teilnehmenden Rechtsträger ihren Sitz haben."
2,(1) Der Inhalt der Aufforderungen zur Einreichung von Vorschlägen ist bei allen Maßnahmen dem Arbeitsprogramm zu entnehmen.
3,(5) Die notifizierenden Behörden melden der Kommission und den übrigen Mitgliedstaaten jede später eintretende Änderung der Notifizierung.
3,(5) Jeder Mitgliedstaat teilt der Kommission bis zum 24. September 2023 die Namen der nach Absatz 1 benannten zuständigen Stellen mit. Jeder Mitgliedstaatteilt der Kommission auch alle späteren Änderungen des Namens dieser benannten zuständigen Stellen mit.
3,"(1) Jeder Mitgliedstaat benennt eine oder mehrere zuständige Behörden für die Wahrnehmung der Aufgaben im Zusammenhang mit dem Anmeldeverfahren für Datenvermittlungsdienste, und teilt der Kommission bis zum 24. September 2023 die Namen dieser zuständigen Behörden mit. Jeder Mitgliedstaat teilt der Kommission auch alle späteren Änderungen der Namen dieser zuständigen Behörden mit."
4,"(1) Ein Unternehmen, das zentrale Plattformdienste bereitstellt, darf diese Dienste nicht auf vertraglichem, kommerziellem, technischem oder anderem Wege segmentieren, aufteilen, unterteilen, fragmentieren oder aufspalten, um dadurch die quantitativen Schwellenwerte nach Artikel 3 Absatz 2 zu umgehen. Eine solche Praktik eines Unternehmens hindert die Kommission nicht daran, es gemäß Artikel 3 Absatz 4 als Torwächter zu benennen."
4,"(1) Weist der Torwächter in einem mit Gründen versehenen Antrag nach, dass die Einhaltung einer bestimmten Verpflichtung nach den Artikeln 5, 6 oder 7 für einen im Benennungsbeschluss nach Artikel 3 Absatz 9 aufgeführten zentralen Plattformdienst aufgrund außergewöhnlicher Umstände, auf die der Torwächter keinen Einfluss hat, die Rentabilität der Geschäftstätigkeit des Torwächters in der Union gefährden würde, so kann die Kommission einen Durchführungsrechtsakt erlassen, mit dem sie beschließt, die in dem mit Gründen versehenen Antrag genannte bestimmte Verpflichtung ausnahmsweise ganz oder teilweise auszusetzen. In diesem Durchführungsrechtsakt begründet die Kommission ihren Aussetzungsbeschluss, indem sie die außergewöhnlichen Umstände angibt, die die Aussetzung rechtfertigen. Dieser Durchführungsrechtsakt wird auf den Umfang und die Geltungsdauer beschränkt, die für die Beseitigung der Gefährdung der Rentabilität des Torwächters erforderlich sind. Die Kommission bemüht sich, diesen Durchführungsrechtsakt unverzüglich, spätestens jedoch drei Monate nach Eingang eines vollständigen mit Gründen versehenen Antrags, zu erlassen. Dieser Durchführungsrechtsakt wird gemäß dem in Artikel 50 Absatz 2 genannten Beratungsverfahren erlassen."
4,"(6) Der Kommission wird die Befugnis übertragen, delegierte Rechtsakte zur Änderung der Absätze 1 und 2 zu erlassen, um die in Anhang III Nummern 2 bis 8 genannten Hochrisiko-KI-Systeme dem Konformitätsbewertungsverfahren gemäß Anhang VII oder Teilen davon zu unterwerfen. Die Kommission erlässt solche delegierten Rechtsakte unter Berücksichtigung der Wirksamkeit des Konformitätsbewertungsverfahrens auf der Grundlage einer internen Kontrolle gemäß Anhang VI hinsichtlich der Vermeidung oder Minimierung der von solchen Systemen ausgehenden Risiken für die Gesundheit und Sicherheit und den Schutz der Grundrechte sowie hinsichtlich der Verfügbarkeit angemessener Kapazitäten und Ressourcen in den notifizierten Stellen."
5,(4) Die Beiträge der Begünstigten werden zum Zeitpunkt der Zahlung des Restbetrags zurückgezahlt.
5,"(2) Nach Artikel 237 Absätze 2 und 3 der Haushaltsordnung erfolgt die Vergütung der unabhängigen externen Sachverständigen nach den Standardbedingungen. In gerechtfertigten und außergewöhnlichen Fällen kann insbesondere für bestimmte hochrangige Sachverständige eine über den Standardbedingungen liegende angemessene Vergütung, der die einschlägigen Marktstandards zugrunde liegen, gewährt werden. Die Vergütung wird durch die Ausgaben des Programms gedeckt."
5,"(1) Soweit in diesem Kapitel nicht anders angegeben, werden die über das Programm vergebenen Anreizprämien oder Anerkennungspreise nach Titel IX der Haushaltsordnung gewährt und verwaltet."
6,"(6) Um interessierten Dritten wirksam Gelegenheit zur Stellungnahme zu geben, veröffentlicht die Kommission bei Mitteilung ihrer vorläufigen Beurteilung an den Torwächter nach Absatz 5 oder so bald wie möglich danach eine nichtvertrauliche Zusammenfassung des Falls und der Maßnahmen, die sie zu ergreifen beabsichtigt oder die der betreffende Torwächter ihrer Ansicht nach ergreifen sollte. Die Kommission legt für die Abgabe der Stellungnahmen einen angemessenen Zeitraum fest."
6,"(3) Vor Erlass des Nichteinhaltungsbeschlusses teilt die Kommission dem betreffenden Torwächter ihre vorläufige Beurteilung mit. In dieser vorläufigen Beurteilung erläutert die Kommission, welche Maßnahmen sie zu ergreifen beabsichtigt bzw. der Torwächter ergreifen sollte, um der vorläufigen Beurteilung wirksam Rechnung zu tragen."
6,"(4) Die Kommission teilt dem betreffenden Torwächter ihre vorläufige Beurteilung innerhalb von sechs Monaten nach dem in Artikel 16 Absatz 3 Buchstabe a genannten Zeitpunkt mit. In ihrer vorläufigen Beurteilung erläutert die Kommission, ob sie die vorläufige Auffassung vertritt, dass die Voraussetzungen des Absatzes 1 dieses Artikels erfüllt sind, und welche Abhilfemaßnahme(n) sie vorläufig für erforderlich und angemessen erachtet."
7,"Die Kommission kann Leitlinien mit Interoperabilitätsspezifikationen für die 
Funktionsweise gemeinsamer europäischer Datenräume annehmen, beispielsweise 
Architekturmodelle und technische Normen für die Umsetzung von 
Rechtsvorschriften und Vereinbarungen zwischen den Parteien, die eine gemeinsame 
Datennutzung fördern, z. B. im Hinblick auf Zugangsrechte und die technische 
Übertragung von Einwilligungen oder Genehmigungen. 
"
7,"Die Kommission kann gemäß Artikel 10 der Verordnung (EU) Nr. 1025/2012 eine 
oder mehrere europäische Normungsorganisationen damit beauftragen, Entwürfe für 
europäische Normen für bestimmte Dienstarten von Datenverarbeitungsdiensten 
auszuarbeiten. 
"
7,"(1) Um die Erhebung von Daten auf der Grundlage des Datenaltruismus zu erleichtern, erlässt die Kommission nach Konsultation des Europäischen Datenschutzausschusses, unter Berücksichtigung der Empfehlungen des Europäischen Dateninnovationsrats sowie unter entsprechender Einbeziehung einschlägiger Interessenträger Durchführungsrechtsakte zur Festlegung und Ausarbeitung eines europäischen Einwilligungsformulars für Datenaltruismus. Das Formular ermöglicht das Einholen von Einwilligungen und Erlaubnissen in allen Mitgliedstaaten in einem einheitlichen Format. Diese Durchführungsrechtsakte werden nach dem in Artikel 33 Absatz 2 genannten Beratungsverfahren erlassen."
8,(7) Eine anerkannte datenaltruistische Organisation teilt der entsprechenden für die Registrierung von datenaltruistischen Organisationen zuständigen Behörde jede Änderung der gemäß Absatz 4 übermittelten Angaben innerhalb von 14 Tagen ab dem Tag der Änderung mit. Die für die Registrierung datenaltruistischer Organisationen zuständigen Behörde teilt der Kommission unverzüglich jede solche Mitteilung auf elektronischem Wege mit. Auf der Grundlage einer solchen Meldung aktualisiert die Kommission unverzüglich das öffentliche Unionsregister der anerkannten datenaltruistischen Organisationen.
8,"(1) Jeder Mitgliedstaat benennt eine oder mehrere zuständige Behörden, die für das öffentliche nationale Register der anerkannten datenaltruistischen Organisationen zuständig sind. Die für die Registrierung von datenaltruistischen Organisationen zuständigen Behörden müssen den Anforderungen gemäß Artikel 26 entsprechen."
8,(1) Die für die Registrierung von datenaltruistischen Organisationen zuständigen Behörden überwachen und beaufsichtigen die Einhaltung der in diesem Kapitel festgelegten Anforderungen durch die anerkannten datenaltruistischen Organisationen. Die für die Eintragung von datenaltruistischen Organisationen zuständige Behörde kann die Einhaltung der Rechtsvorschriften durch diese datenaltruistischen Organisationen auch auf Antrag einer natürlichen oder juristischen Person überwachen und beaufsichtigen.
