index,topic,word,score
0,0,ki,0.11218963086586388
1,0,hochrisiko,0.07833203255516193
2,0,system,0.06327600382956412
3,0,systems,0.05475062286865867
4,0,systeme,0.044609128632805715
5,0,systemen,0.03576298335583946
6,0,anbieter,0.030457092670016252
7,0,anforderungen,0.027988031925758744
8,0,anhang,0.024977083250302044
9,0,betrieb,0.02304423211845589
0,1,daten,0.06963175815979213
1,1,stelle,0.037305600969345605
2,1,datenvermittlungsdiensten,0.030471500670151256
3,1,weiterverwendung,0.03026785047216182
4,1,dateninhaber,0.029527463591716634
5,1,zusta,0.02905418994193621
6,1,fu,0.02865415451747344
7,1,recht,0.027460618448200996
8,1,datenvermittlungsdienste,0.027172611749056105
9,1,beho,0.024707476263521988
0,2,fu,0.0388875840935213
1,2,programms,0.03697308038996326
2,2,vorschla,0.035520991911923504
3,2,programm,0.03325715320076626
4,2,europa,0.03271271236529728
5,2,rechtstra,0.029998718305907085
6,2,gen,0.029997948076157386
7,2,tigkeiten,0.02614062044729278
8,2,fo,0.02555699157982407
9,2,rahmen,0.024900480237245306
0,3,beho,0.052231630398183064
1,3,zusta,0.045686660995653314
2,3,ndigen,0.04104467506472597
3,3,rden,0.033450630658439125
4,3,nachpru,0.03309238516670561
5,3,durchsetzung,0.032707767918631954
6,3,rde,0.029967086916841138
7,3,fu,0.029180172812963288
8,3,informationen,0.028757228569226804
9,3,sachversta,0.02819956007273658
0,4,plattformdienste,0.0444106469764897
1,4,torwa,0.03986057657386212
2,4,unternehmen,0.0353106737246287
3,4,erlassen,0.035114775954918034
4,4,chter,0.03398438016749824
5,4,zentrale,0.027744648086957962
6,4,zentralen,0.026314455570866375
7,4,dienste,0.026107294249529508
8,4,durchfu,0.025748768686571853
9,4,bereitstellt,0.025549822530049084
0,5,kosten,0.09369990610417098
1,5,fo,0.07112271113354358
2,5,haushaltsordnung,0.07100133527058343
3,5,rderfa,0.05432506547934728
4,5,higen,0.04830538073172803
5,5,ko,0.04338154473493036
6,5,programm,0.04320483737858796
7,5,nnen,0.04217999229471635
8,5,fu,0.038873190613705054
9,5,ckkosten,0.035792438593286124
0,6,vorla,0.1032170820807863
1,6,beurteilung,0.08643161056854136
2,6,beschluss,0.07768332909992293
3,6,ufigen,0.07748197908038419
4,6,chter,0.06610098608986588
