parameters;n_neighbors;min_dist;min_cluster;min_sample;topic_coherence;nr_topics;avg_similarity;topics
n_neighbors = 5 min_dist = 0.0 min_cluster = 10 min_sample = 2;5.0;0.0;10.0;2.0;0.38670183170264527;32.0;0.7656074153652861;"0_eu_österreichs_internationaler_bundesheer; 1_verkehr_öffentlichen_einsatz_ausbau; 2_gebietskörperschaften_gemeinden_prüfung_arbeit; 3_pädagogen_elementarpädagogik_schulen_weiterentwicklung; 4_evaluierung_schaffung_prüfung_bekämpfung; 5_prüfung_monate_schlepperei_verfahren; 6_migration_asyl_ort_migrationsstrategie; 7_umsetzung_klimaschutz_lebensmittel_weiterentwicklung; 8_mikroplastik_kostenwahrheit_co_entlastung; 9_digitale_digitalisierung_unternehmen_bürgerinnen; 10_gas_klima_maßnahmen_klimaschutz; 11_digitalen_plattformen_orf_öffentlichrechtlichen; 12_forschung_grundlagenforschung_austria_arbeitsmarkt; 13_bekennt_risikokapital_verantwortung_startups; 14_positionierung_gap_bio_hohen; 15_pflege_versorgung_rehabilitationsmaßnahmen_menschen; 16_hochschulen_wissenstransfer_wissenschaft_forschung; 17_rechenschaftsberichts_transparenz_wahlwerbungsausgaben_informationen; 18_familien_kindern_kinder_kinderbetreuung; 19_bereich_eltern_menschen_schulen; 20_wasserstoff_neue_wirtschafts_kohleausstieg; 21_klimaschutz_kohle_bürgerstiftung_sanierung; 22_kunst_kultur_stärken_künstler; 23_ebene_europäischer_konsequentes_co; 24_umsetzung_land_europäischen_beibehaltung; 25_sport_sportförderung_sports_förderung; 26_polizei_gewährleistet_gute_sicherheit; 27_tourismus_plan_masterplan_tourismusbetriebe; 28_euro_spenden_einzelspenden_gewinn; 29_wahlkommissionen_prüfung_wahlberechtigten_stimmen; 30_islamischen_mädchen_schulaufsicht_nichterfüllung; 31_rechtsextremismus_kampf_vki_minderheiten"
n_neighbors = 5 min_dist = 0.0 min_cluster = 15 min_sample = 3;5.0;0.0;15.0;3.0;0.3745747892073938;17.0;0.8060769098772212;"0_schulen_weiterentwicklung_pädagogen_hochschulen; 1_euro_wirtschaft_forschung_österreichs; 2_eu_österreichs_internationaler_bundesheer; 3_evaluierung_stärkung_schaffung_prüfung; 4_klimaschutz_maßnahmen_sanierung_öffentliche; 5_verkehr_öffentlichen_einsatz_ausbau; 6_pflege_familien_menschen_maßnahmen; 7_prüfung_gemeinden_gebietskörperschaften_arbeit; 8_digitalisierung_digitale_unternehmen_sollen; 9_migration_asyl_ort_europäischen; 10_prüfung_monate_schlepperei_möglichkeit; 11_mikroplastik_kostenwahrheit_co_sollen; 12_umsetzung_klimaschutz_weiterentwicklung_lebensmittel; 13_rechenschaftsberichts_wahlwerbungsausgaben_parteien_informationen; 14_digitalen_plattformen_bereich_orf; 15_bekennt_verantwortung_risikokapital_startups; 16_kunst_kultur_stärken_künstler"
n_neighbors = 5 min_dist = 0.0 min_cluster = 20 min_sample = 5;5.0;0.0;20.0;5.0;0.36741635911935683;15.0;0.8139488173998537;"0_bekennt_menschen_wirtschaft_euro; 1_schulen_weiterentwicklung_pädagogen_hochschulen; 2_kunst_kultur_österreichs_stärkung; 3_klimaschutz_maßnahmen_sanierung_öffentliche; 4_evaluierung_stärkung_schaffung_prüfung; 5_verkehr_öffentlichen_einsatz_ausbau; 6_pflege_familien_menschen_maßnahmen; 7_umsetzung_ebene_maßnahmen_europäischer; 8_prüfung_gemeinden_gebietskörperschaften_arbeit; 9_digitalisierung_digitale_unternehmen_sollen; 10_migration_asyl_ort_europäischen; 11_mikroplastik_kostenwahrheit_co_sollen; 12_prüfung_monate_möglichkeit_schlepperei; 13_rechenschaftsberichts_wahlwerbungsausgaben_parteien_informationen; 14_digitalen_plattformen_bereich_verwaltung"
n_neighbors = 5 min_dist = 0.0 min_cluster = 25 min_sample = 6;5.0;0.0;25.0;6.0;0.3618537469237145;2.0;0.9587926710810677;"0_prüfung_maßnahmen_stärkung_ziel; 1_weiterentwicklung_schulen_pädagogen_hochschulen"
n_neighbors = 5 min_dist = 0.0 min_cluster = 30 min_sample = 7;5.0;0.0;30.0;7.0;0.3618537469237145;2.0;0.9587926710810677;"0_prüfung_maßnahmen_stärkung_ziel; 1_weiterentwicklung_schulen_pädagogen_hochschulen"
n_neighbors = 5 min_dist = 0.1 min_cluster = 10 min_sample = 2;5.0;0.1;10.0;2.0;0.38229423602508994;28.0;0.7663516163207226;"0_eu_österreichs_internationaler_bundesheer; 1_evaluierung_stärkung_schaffung_prüfung; 2_klimaschutz_maßnahmen_sanierung_öffentliche; 3_verkehr_öffentlichen_einsatz_ausbau; 4_pflege_familien_menschen_maßnahmen; 5_gemeinden_prüfung_gebietskörperschaften_arbeit; 6_umsetzung_green_klimaschutz_europa; 7_pädagogen_elementarpädagogik_schulen_weiterentwicklung; 8_wirtschaft_positionierung_denen_österreichs; 9_prüfung_monate_schlepperei_verfahren; 10_digitale_digitalisierung_unternehmen_bürgerinnen; 11_mikroplastik_kostenwahrheit_co_entlastung; 12_digitalen_plattformen_bereich_open; 13_bekennt_risikokapital_verantwortung_startups; 14_migration_asyl_ort_migrationsstrategie; 15_forschung_austria_arbeitsmarkt_statistik; 16_hochschulen_wissenstransfer_forschung_wissenschaft; 17_rechenschaftsberichts_transparenz_wahlwerbungsausgaben_informationen; 18_euro_kapitalmarkt_angehörige_spenden; 19_islamischen_mädchen_kindern_weitere; 20_sport_sportförderung_sports_förderung; 21_kunst_kultur_künstlerinnen_künstler; 22_umsetzung_land_beibehaltung_forstwirtschaft; 23_bereich_menschen_stationären_medizinstudium; 24_tourismus_plan_masterplan_tourismusbetriebe; 25_union_mitgliedstaaten_europa_europäischen; 26_wahlkommissionen_prüfung_wahlberechtigten_stimmen; 27_polizei_gute_gewährleistet_dienst"
n_neighbors = 5 min_dist = 0.1 min_cluster = 15 min_sample = 3;5.0;0.1;15.0;3.0;0.35602311612540977;19.0;0.8029384924666435;"0_eu_österreichs_internationaler_bundesheer; 1_klimaschutz_sanierung_maßnahmen_öffentliche; 2_pädagogen_schulen_weiterentwicklung_elementarpädagogik; 3_evaluierung_stärkung_schaffung_prüfung; 4_verkehr_öffentlichen_einsatz_ausbau; 5_euro_österreichs_eu_wirtschaft; 6_pflege_familien_menschen_maßnahmen; 7_digitalisierung_digitale_unternehmen_sollen; 8_prüfung_gemeinden_gebietskörperschaften_arbeit; 9_umsetzung_ebene_klimaschutz_europäischer; 10_prüfung_monate_schlepperei_verfahren; 11_mikroplastik_kostenwahrheit_co_entlastung; 12_rechenschaftsberichts_wahlwerbungsausgaben_parteien_informationen; 13_digitalen_plattformen_bereich_orf; 14_bekennt_verantwortung_risikokapital_startups; 15_migration_asyl_ort_migrationsstrategie; 16_hochschulen_wissenstransfer_forschung_wissenschaft; 17_islamischen_mädchen_weitere_kindern; 18_forschung_austria_cdg_mitgliedschaften"
n_neighbors = 5 min_dist = 0.1 min_cluster = 20 min_sample = 5;5.0;0.1;20.0;5.0;0.37595507697396713;14.0;0.822092471298471;"0_kunst_integration_europäischen_stärkung; 1_schulen_weiterentwicklung_pädagogen_hochschulen; 2_klimaschutz_maßnahmen_sanierung_verbindliche; 3_evaluierung_stärkung_schaffung_prüfung; 4_pflege_menschen_familien_maßnahmen; 5_verkehr_öffentlichen_ausbau_einsatz; 6_euro_eu_österreichs_wirtschaft; 7_prüfung_gemeinden_gebietskörperschaften_schaffung; 8_umsetzung_ebene_maßnahmen_europäischer; 9_digitalisierung_digitale_unternehmen_sollen; 10_mikroplastik_kostenwahrheit_co_entlastung; 11_rechenschaftsberichts_wahlwerbungsausgaben_parteien_informationen; 12_prüfung_möglichkeit_schlepperei_verfahren; 13_digitalen_plattformen_bereich_verwaltung"
n_neighbors = 5 min_dist = 0.1 min_cluster = 25 min_sample = 6;5.0;0.1;25.0;6.0;0.3752002485736527;9.0;0.8206709164439097;"0_prüfung_schaffung_stärkung_evaluierung; 1_integration_kunst_stärkung_europäischen; 2_schulen_weiterentwicklung_pädagogen_hochschulen; 3_klimaschutz_maßnahmen_sanierung_verbindliche; 4_menschen_pflege_maßnahmen_familien; 5_verkehr_öffentlichen_ausbau_einsatz; 6_euro_wirtschaft_denen_positionierung; 7_digitalisierung_digitale_unternehmen_sollen; 8_umsetzung_maßnahmen_ebene_europäischer"
n_neighbors = 5 min_dist = 0.1 min_cluster = 30 min_sample = 7;5.0;0.1;30.0;7.0;0.3602079563567151;2.0;0.9608683986904144;"0_prüfung_maßnahmen_stärkung_ziel; 1_weiterentwicklung_schulen_pädagogen_evaluierung"
