parameters;n_neighbors;min_dist;min_cluster;min_sample;topic_coherence;nr_topics;avg_similarity;topics
n_neighbors = 5 min_dist = 0.0 min_cluster = 10 min_sample = 2;5.0;0.0;10.0;2.0;0.4441897132220895;19.0;0.7948445415460413;"0_recycling_abfalle_wiederverwendung_materialien; 1_epr_kreislaufwirtschaft_responsibility_producer; 2_kreislaufwirtschaft_akteurinnen_siehe_zusammenarbeit; 3_kreislaufwirtschaftsstrategie_nachhaltige_ziel_holzwirtschaft; 4_jahr_tonnen_pro_kopf; 5_kreislaufwirtschaft_transformation_ziele_kreislaufwirtschaftsstrategie; 6_textilien_kleidung_nachhaltige_fashion; 7_nachfolgende_maßnahmen_mobilitatsmasterplan_umgesetzt; 8_kreislaufwirtschaft_forschung_neue_innovationen; 9_konsumentinnen_produkten_produkte_reparatur; 10_digitale_digitalisierung_digitaler_technologien; 11_biogenen_reststoffen_biomasse_gelten; 12_holz_holzinitiative_klimaschutz_wald; 13_elektro_batterien_elektronikgeraten_nutzung; 14_produkte_kunststoffe_okodesignrichtlinie_leichter; 15_abstimmung_nachsten_schritte_evaluierung; 16_holz_holzinitiative_bauen_europäischen; 17_green_deal_europa_eu; 18_beschaffung_startups_green_offentliche"
n_neighbors = 5 min_dist = 0.0 min_cluster = 15 min_sample = 3;5.0;0.0;15.0;3.0;0.4208943201951325;15.0;0.7952948768474991;"0_kreislaufwirtschaft_nachhaltige_beschaffung_epr; 1_recycling_abfalle_wiederverwendung_materialien; 2_kreislaufwirtschaftsstrategie_nachhaltige_ziel_holzwirtschaft; 3_kreislaufwirtschaft_akteurinnen_siehe_zusammenarbeit; 4_holz_holzinitiative_wald_klimaschutz; 5_jahr_tonnen_pro_dmc; 6_kreislaufwirtschaft_transformation_ziele_kreislaufwirtschaftsstrategie; 7_textilien_kleidung_nachhaltige_fashion; 8_nachfolgende_maßnahmen_mobilitatsmasterplan_umgesetzt; 9_konsumentinnen_produkten_produkte_reparatur; 10_kreislaufwirtschaft_forschung_neue_innovationen; 11_biogenen_reststoffen_biomasse_gelten; 12_digitale_digitalisierung_digitaler_technologien; 13_elektro_batterien_elektronikgeraten_nutzung; 14_produkte_kunststoffe_okodesignrichtlinie_leichter"
n_neighbors = 5 min_dist = 0.0 min_cluster = 20 min_sample = 5;5.0;0.0;20.0;5.0;0.4349970605497169;9.0;0.8453402830215317;"0_kreislaufwirtschaft_innovationen_entwicklung_green; 1_produkte_produkten_konsumentinnen_nachhaltige; 2_recycling_abfalle_materialien_wiederverwendung; 3_kreislaufwirtschaftsstrategie_nachhaltige_ziel_kreislaufwirtschaft; 4_holz_holzinitiative_wald_klimaschutz; 5_jahr_tonnen_pro_dmc; 6_kreislaufwirtschaft_transformation_ziele_kreislaufwirtschaftsstrategie; 7_textilien_kleidung_nachhaltige_fast; 8_maßnahmen_nachfolgende_mobilitatsmasterplan_umgesetzt"
n_neighbors = 5 min_dist = 0.0 min_cluster = 25 min_sample = 6;5.0;0.0;25.0;6.0;0.5339538867354509;2.0;0.9339545373017437;"0_kreislaufwirtschaft_nachhaltige_holz_produkte; 1_jahr_tonnen_pro_dmc"
n_neighbors = 5 min_dist = 0.0 min_cluster = 30 min_sample = 7;5.0;0.0;30.0;7.0;0.5339538867354509;2.0;0.9339545373017437;"0_kreislaufwirtschaft_nachhaltige_holz_produkte; 1_jahr_tonnen_pro_dmc"
n_neighbors = 5 min_dist = 0.1 min_cluster = 10 min_sample = 2;5.0;0.1;10.0;2.0;0.42269446818511724;21.0;0.7860378417218166;"0_recycling_abfalle_wiederverwendung_materialien; 1_kreislaufwirtschaftsstrategie_nachhaltige_ziel_holzwirtschaft; 2_akteurinnen_kreislaufwirtschaft_siehe_verankert; 3_jahr_tonnen_pro_kopf; 4_epr_producer_responsibility_geschaftsmodelle; 5_textilien_kleidung_nachhaltige_fashion; 6_kreislaufwirtschaft_innovationen_entwicklung_forschung; 7_nachfolgende_maßnahmen_mobilitatsmasterplan_umgesetzt; 8_transformation_kreislaufwirtschaft_ziele_kreislaufwirtschaftsstrategie; 9_konsumentinnen_produkten_produkte_konsumverhalten; 10_digitale_digitalisierung_digitaler_technologien; 11_abstimmung_nachsten_schritte_kreislaufwirtschaft; 12_elektro_batterien_elektronikgeraten_nutzung; 13_holz_holzinitiative_klimaschutz_wald; 14_holz_holzinitiative_bauen_europäischen; 15_sekundarrohstoffen_gelten_verbleibende_gedeckt; 16_green_deal_europa_eu; 17_normen_standards_regeln_autorindes; 18_biomasse_biogenen_reststoffen_waldbewirtschaftung; 19_mobilitat_kreislaufwirtschaft_bodenrekultivierung_naturlichen; 20_kunststoffe_verpackungsvolumen_verpackungen_erhalten"
n_neighbors = 5 min_dist = 0.1 min_cluster = 15 min_sample = 3;5.0;0.1;15.0;3.0;0.41561174459736794;14.0;0.7899594745321835;"0_recycling_genutzt_sekundarrohstoffen_produkten; 1_epr_produkte_nachhaltige_producer; 2_kreislaufwirtschaftsstrategie_nachhaltige_ziel_wirtschaft; 3_holz_holzinitiative_wald_klimaschutz; 4_jahr_tonnen_pro_kopf; 5_akteurinnen_siehe_kreislaufwirtschaft_verankert; 6_textilien_kleidung_nachhaltige_fashion; 7_kreislaufwirtschaft_entwicklung_innovationen_forschung; 8_nachfolgende_maßnahmen_mobilitatsmasterplan_umgesetzt; 9_transformation_kreislaufwirtschaft_ziele_kreislaufwirtschaftsstrategie; 10_digitale_digitalisierung_digitaler_technologien; 11_konsumentinnen_produkten_produkte_reparatur; 12_normen_standards_wertschopfungsketten_unternehmen; 13_elektro_batterien_elektronikgeraten_nutzung"
n_neighbors = 5 min_dist = 0.1 min_cluster = 20 min_sample = 5;5.0;0.1;20.0;5.0;0.4255656136656262;11.0;0.8352428044497072;"0_konsumentinnen_kreislaufwirtschaft_produkte_produkten; 1_recycling_abfalle_produkten_genutzt; 2_kreislaufwirtschaftsstrategie_nachhaltige_ziel_wirtschaft; 3_jahr_tonnen_pro_kopf; 4_holz_holzinitiative_wald_klimaschutz; 5_akteurinnen_kreislaufwirtschaft_siehe_seite; 6_textilien_kleidung_nachhaltige_fast; 7_nachfolgende_maßnahmen_mobilitatsmasterplan_umgesetzt; 8_startups_beschaffung_finanzierung_green; 9_kreislaufwirtschaft_transformation_ziele_kreislaufwirtschaftsstrategie; 10_kreislaufwirtschaft_innovationen_forschung_breite"
n_neighbors = 5 min_dist = 0.1 min_cluster = 25 min_sample = 6;5.0;0.1;25.0;6.0;0.4805559679762714;4.0;0.8681542237143526;"0_kreislaufwirtschaft_produkte_produkten_transformation; 1_holz_holzinitiative_nachhaltige_kreislaufwirtschaft; 2_jahr_tonnen_pro_kopf; 3_textilien_kleidung_nachhaltige_design"
n_neighbors = 5 min_dist = 0.1 min_cluster = 30 min_sample = 7;5.0;0.1;30.0;7.0;0.5501441527809497;3.0;0.922852114560743;"0_kreislaufwirtschaft_produkte_nachhaltige_produkten; 1_holz_holzinitiative_nachhaltige_kreislaufwirtschaft; 2_jahr_tonnen_pro_kopf"
