parameters;n_neighbors;min_dist;min_cluster;min_sample;topic_coherence;nr_topics;avg_similarity;topics
de_regierung_n_neighbors = 5 min_dist = 0.0 min_cluster = 10 min_sample = 2;5.0;0.0;10.0;2.0;0.36107027458816;39.0;0.7292651035573582;"0_energien_erneuerbaren_ausbau_strom; 1_digitale_digitalisierung_daten_schaffen; 2_freiheit_sicherheit_religionsgemeinschaften_menschenrechte; 3_kommunen_bundeswehr_beschleunigen_verbessern; 4_mobilität_fahrzeuge_elektrische_bahn; 5_coronapandemie_kommunen_schuldenbremse_schuldenregel; 6_gesellschaft_deutsche_institut_transfer; 7_prüfen_altersvorsorge_privates_beiträge; 8_diskriminierung_sexueller_gleichstellung_kosten; 9_kinder_familien_kindergrundsicherung_armut; 10_steuerhinterziehung_steuergestaltung_steuergestaltungen_steuerpflichtigen; 11_flächen_fischerei_biodiversität_stärken; 12_arbeitgeber_arbeit_beschäftigten_euro; 13_migration_israel_integration_asylverfahren; 14_industrie_klima_wirtschaft_wohlstand; 15_fairen_wettbewerb_gwb_kommission; 16_politischen_zivilgesellschaft_demokratie_stärken; 17_europäischen_setzen_unterstützen_standards; 18_koalitionspartner_koalitionsfraktionen_bundesregierung_koalition; 19_krankenkassen_versorgung_ögd_ambulante; 20_partnerschaft_multilateralismus_stärkung_internationalen; 21_einsatz_sicherheitslücken_itsicherheit_informationstechnik; 22_schulen_ausbildung_bildung_beruflichen; 23_digitale_digitalen_act_medien; 24_tourismus_pflege_stadt_gesundheitswesens; 25_wasserstoff_eegumlage_aufbau_co; 26_bafin_swp_deutschen_geldwäsche; 27_sport_wohnen_bau_wohnraum; 28_eu_europäischen_europa_europäische; 29_kultur_kulturelle_kreativwirtschaft_künstlerinnen; 30_gewalt_kinderschutz_ehe_kinder; 31_rassismus_nationaler_stärken_schließen; 32_drohnen_lehnen_alkohol_rechtslage; 33_region_staaten_ukraine_serbien; 34_wissenschaftlich_abwasser_zucker_nutztierhaltung; 35_jahren_aufenthaltserlaubnis_fünf_aufenthg; 36_clankriminalität_sogenannten_einschließlich_beschuldigten; 37_unternehmen_abkommen_rechtsrahmen_transparenter; 38_kapitalmarkt_einlagensicherungssysteme_bankbilanzen_rechnungshof"
de_regierung_n_neighbors = 5 min_dist = 0.0 min_cluster = 15 min_sample = 3;5.0;0.0;15.0;3.0;0.3921653394342681;23.0;0.7506532317328173;"0_kinder_familien_versorgung_kindern; 1_digitale_schaffen_digitalisierung_kultur; 2_energien_wasserstoff_erneuerbaren_ausbau; 3_wirtschaft_deutschen_transformation_stärken; 4_mobilität_fahrzeuge_bima_elektrische; 5_freiheit_sicherheit_demokratie_menschenrechte; 6_kommunen_bundeswehr_verbessern_beschleunigen; 7_drohnen_verbessern_einschließlich_clankriminalität; 8_setzen_europäischen_unterstützen_standards; 9_stärken_polizei_einsatz_kontrolle; 10_coronapandemie_kommunen_schuldenbremse_schuldenregel; 11_gesellschaft_deutsche_institut_forschung; 12_steuerhinterziehung_steuergestaltung_steuergestaltungen_steuern; 13_prüfen_altersvorsorge_privates_beiträge; 14_flächen_fischerei_stärken_klimaschutz; 15_arbeitgeber_arbeit_euro_homeoffice; 16_politischen_zivilgesellschaft_stärken_demokratie; 17_fairen_wettbewerb_gwb_kommission; 18_migration_integration_asylverfahren_bleiberecht; 19_koalitionspartner_koalitionsfraktionen_bundesregierung_koalition; 20_europäischen_eu_europäische_eugh; 21_schulen_ausbildung_bildung_fördern; 22_partnerschaft_multilateralismus_internationalen_stärkung"
de_regierung_n_neighbors = 5 min_dist = 0.0 min_cluster = 20 min_sample = 5;5.0;0.0;20.0;5.0;0.38773789829287447;19.0;0.7829553995946643;"0_digitale_schaffen_digitalisierung_kultur; 1_kinder_familien_versorgung_kindern; 2_energien_wasserstoff_erneuerbaren_ausbau; 3_wirtschaft_deutschen_transformation_wohlstand; 4_steuerhinterziehung_coronapandemie_kommunen_ab; 5_setzen_unterstützen_europäischen_stärken; 6_eu_europäischen_internationalen_partnerschaft; 7_mobilität_fahrzeuge_elektrische_stadt; 8_stärken_politischen_fairen_wettbewerb; 9_freiheit_sicherheit_menschenrechte_verantwortung; 10_kommunen_verbessern_bundeswehr_beschleunigen; 11_verbessern_einschließlich_clankriminalität_ii; 12_stärken_einsatz_kontrolle_schließen; 13_koalitionspartner_bündnis_grünen_stellt; 14_prüfen_altersvorsorge_privates_rente; 15_migration_integration_asylverfahren_humanitären; 16_arbeitgeber_arbeit_homeoffice_mindestlohn; 17_schulen_ausbildung_bildung_fördern; 18_deutsche_institut_forschung_transfer"
de_regierung_n_neighbors = 5 min_dist = 0.0 min_cluster = 25 min_sample = 6;5.0;0.0;25.0;6.0;0.36130600387796447;11.0;0.822244335789564;"0_kinder_fördern_stärken_bildung; 1_eu_europäischen_unterstützen_stärken; 2_koalitionspartner_bundeswehr_bundesregierung_stärken; 3_digitale_schaffen_digitalisierung_digitalen; 4_energien_erneuerbaren_ausbau_strom; 5_steuerhinterziehung_coronapandemie_kommunen_ab; 6_setzen_unterstützen_europäischen_stärken; 7_mobilität_fahrzeuge_elektrische_stadt; 8_wirtschaft_wohlstand_deutschen_rahmen; 9_arbeit_prüfen_arbeitgeber_betriebliche; 10_kommunen_verbessern_bundeswehr_beschleunigen"
de_regierung_n_neighbors = 5 min_dist = 0.0 min_cluster = 30 min_sample = 7;5.0;0.0;30.0;7.0;0.32394378395236795;8.0;0.8334553182502988;"0_stärken_unterstützen_setzen_europäischen; 1_kinder_fördern_stärken_bildung; 2_koalitionspartner_stärken_bundeswehr_bundesregierung; 3_digitale_schaffen_digitalisierung_digitalen; 4_energien_erneuerbaren_ausbau_strom; 5_steuerhinterziehung_coronapandemie_kommunen_ab; 6_arbeit_prüfen_arbeitgeber_betriebliche; 7_kommunen_verbessern_beschleunigen_bundeswehr"
de_regierung_n_neighbors = 5 min_dist = 0.1 min_cluster = 10 min_sample = 2;5.0;0.1;10.0;2.0;0.3961618226571027;32.0;0.7355130969985887;"0_kinder_fördern_bildung_familien; 1_digitale_digitalisierung_schaffen_daten; 2_maßnahmen_landwirtschaft_klimaschutz_nachhaltige; 3_mobilität_fahrzeuge_bima_elektrische; 4_freiheit_sicherheit_menschenrechte_demokratie; 5_bundeswehr_verbessern_beschleunigen_kommunen; 6_industrie_wirtschaft_internationalen_wohlstand; 7_verbessern_einschließlich_clankriminalität_ii; 8_kontrolle_einsatz_stärken_schließen; 9_coronapandemie_schuldenbremse_schuldenregel_bundesregierung; 10_regionale_gesellschaft_deutsche_institut; 11_fairen_wettbewerb_gwb_vergabe; 12_steuerhinterziehung_steuergestaltung_steuergestaltungen_steuern; 13_bafin_geldwäsche_kapitalmarkt_banken; 14_migration_integration_asylverfahren_bleiberecht; 15_energien_erneuerbaren_strom_gaskraftwerke; 16_koalitionspartner_koalitionsfraktionen_bundesregierung_koalition; 17_setzen_europäischen_europäischer_ebene; 18_europäischen_eu_europäische_europas; 19_prüfen_privates_beiträge_förderbanken; 20_arbeitgeber_arbeit_betriebliche_arbeitswelt; 21_politischen_zivilgesellschaft_demokratie_stärken; 22_sport_wohnen_bau_wohnraum; 23_tourismus_pflege_stadt_gesundheitswesens; 24_religionsgemeinschaften_bundeswehr_kirchen_beitrag; 25_kultur_kulturelle_kreativwirtschaft_künstlerinnen; 26_multilateralismus_internationalen_beziehungen_partnerschaft; 27_jahren_fünf_aufenthaltserlaubnis_aufenthg; 28_region_staaten_ukraine_eu; 29_digitale_digitalen_innovationen_digitaler; 30_eu_ländern_wissenschaftlich_abwasser; 31_staatsminister_grünen_stellt_staatsministerin"
de_regierung_n_neighbors = 5 min_dist = 0.1 min_cluster = 15 min_sample = 3;5.0;0.1;15.0;3.0;0.4008285438546236;21.0;0.743917457863387;"0_kinder_fördern_bildung_menschen; 1_europäischen_eu_setzen_unterstützen; 2_digitale_digitalisierung_schaffen_daten; 3_region_freiheit_eu_sicherheit; 4_maßnahmen_landwirtschaft_klimaschutz_naturschutz; 5_verbessern_bundeswehr_beschleunigen_kommunen; 6_mobilität_fahrzeuge_bima_elektrische; 7_stärken_einsatz_kontrolle_schließen; 8_verbessern_einschließlich_clankriminalität_ii; 9_coronapandemie_schuldenbremse_schuldenregel_bundesregierung; 10_industrie_wirtschaft_wohlstand_klima; 11_deutsche_gesellschaft_institut_forschung; 12_steuerhinterziehung_steuergestaltung_steuergestaltungen_steuern; 13_bafin_geldwäsche_kapitalmarkt_banken; 14_migration_integration_asylverfahren_bleiberecht; 15_energien_erneuerbaren_strom_gaskraftwerke; 16_koalitionspartner_bundesregierung_koalitionsfraktionen_treffen; 17_prüfen_privates_beiträge_förderbanken; 18_arbeitgeber_arbeit_betriebliche_arbeitswelt; 19_gwb_fairen_wettbewerb_verbraucherschutz; 20_tourismus_pflege_stadt_gesundheitswesens"
de_regierung_n_neighbors = 5 min_dist = 0.1 min_cluster = 20 min_sample = 5;5.0;0.1;20.0;5.0;0.3513961912411178;9.0;0.7974997990598345;"0_stärken_unterstützen_setzen_europäischen; 1_kinder_stärken_fördern_bildung; 2_stärken_bundeswehr_verbessern_kontrolle; 3_energien_erneuerbaren_ausbau_strom; 4_digitale_digitalisierung_schaffen_daten; 5_steuerhinterziehung_coronapandemie_ab_schuldenbremse; 6_arbeit_prüfen_arbeitgeber_betriebliche; 7_beschleunigen_bundeswehr_verbessern_förderprogramme; 8_koalitionspartner_koalitionsfraktionen_bundesregierung_drei"
de_regierung_n_neighbors = 5 min_dist = 0.1 min_cluster = 25 min_sample = 6;5.0;0.1;25.0;6.0;0.3403769766722634;8.0;0.8150125883014767;"0_stärken_unterstützen_setzen_europäischen; 1_kinder_stärken_fördern_bildung; 2_stärken_bundeswehr_kontrolle_verbessern; 3_energien_erneuerbaren_ausbau_strom; 4_digitale_digitalisierung_schaffen_daten; 5_steuerhinterziehung_coronapandemie_ab_schuldenbremse; 6_arbeit_prüfen_arbeitgeber_betriebliche; 7_beschleunigen_bundeswehr_verbessern_ladeinfrastruktur"
de_regierung_n_neighbors = 5 min_dist = 0.1 min_cluster = 30 min_sample = 7;5.0;0.1;30.0;7.0;0.32189150671443706;8.0;0.813759846287662;"0_stärken_europäischen_eu_unterstützen; 1_kinder_stärken_fördern_bildung; 2_energien_ausbau_erneuerbaren_beschleunigen; 3_stärken_bundeswehr_verbessern_kontrolle; 4_digitale_digitalisierung_schaffen_daten; 5_mobilität_stadt_tourismus_bahn; 6_arbeit_arbeitgeber_prüfen_betriebliche; 7_steuerhinterziehung_coronapandemie_ab_schuldenbremse"
