parameters;n_neighbors;min_dist;min_cluster;min_sample;topic_coherence;nr_topics;avg_similarity;topics
de_timber_kl_n_neighbors = 5 min_dist = 0.0 min_cluster = 10 min_sample = 2;5.0;0.0;10.0;2.0;0.45444022501667025;27.0;0.7965057881588834;"0_vielfalt_maßnahmen_klimawandels_klimawandel; 1_ls_kreislaufwirtschaft_vgl_abfällen; 2_bevölkerungsschutz_bevölkerung_bund_indikatoren; 3_klimamodelle_remo_zeitraum_modell; 4_gewässer_feuchtgebiete_insbesondere_auswirkungen; 5_holz_holzwirtschaft_holzbau_wohnraum; 6_ländlichen_raum_holzwirtschaft_politik; 7_anpassungsmaßnahmen_anpassung_sollten_maßnahmen; 8_anpassungsstrategie_bundesregierung_deutsche_anpassung; 9_kraftwerke_schäden_unterbrechungen_könnten; 10_design_produkte_verantwortung_produkten; 11_klimaänderungen_anpassung_klimawandels_empfindlichkeit; 12_unsicherheiten_zukünftige_klimaprognose_unsicherheit; 13_fischerei_arten_tourismus_einher; 14_hitzewellen_straßen_extremes_temperaturen; 15_arten_wälder_pflanzen_muren; 16_risiken_versicherungen_klimawandels_usdollar; 17_infektionen_erreger_vektoren_überträger; 18_trend_jahrhunderts_besonders_stark; 19_kreislaufwirtschaft_kosten_ziele_aktivitäten; 20_bioökonomie_rohstoffe_biobasierte_wirtschaft; 21_anpassung_klimawandel_zusammenarbeit_entwicklungsländer; 22_kubikmeter_wald_mehr_ha; 23_forschung_anpassungsforschung_klimawandel_klimzug; 24_planung_landschaftsplanung_raumordnung_räumliche; 25_holzwirtschaft_nadelholz_laubholz_mio; 26_wasserstraßen_schifffahrt_glowa_kliwas"
de_timber_kl_n_neighbors = 5 min_dist = 0.0 min_cluster = 15 min_sample = 3;5.0;0.0;15.0;3.0;0.38910308422726775;18.0;0.7982543894016826;"0_anpassungsstrategie_deutschen_deutsche_abb; 1_klimawandels_klimawandel_vielfalt_anpassung; 2_kreislaufwirtschaft_produkte_verantwortung_design; 3_ls_kreislaufwirtschaft_vgl_abfällen; 4_bevölkerungsschutz_bevölkerung_bund_indikatoren; 5_gewässer_insbesondere_auswirkungen_feuchtgebiete; 6_klimawandel_anpassung_forschung_klimaänderungen; 7_holz_holzwirtschaft_holzbau_bauen; 8_arten_wald_kubikmeter_baumarten; 9_ländlichen_holzwirtschaft_raum_politik; 10_holzwirtschaft_holz_laubholz_nadelholz; 11_unsicherheiten_szenarien_zukünftige_klimaprognose; 12_anpassung_anpassungsmaßnahmen_maßnahmen_sollten; 13_kraftwerke_schäden_unterbrechungen_könnten; 14_fischerei_arten_tourismus_einher; 15_hitzewellen_straßen_extremes_temperaturen; 16_infektionen_erreger_vektoren_überträger; 17_risiken_versicherungen_banken_usdollar"
de_timber_kl_n_neighbors = 5 min_dist = 0.0 min_cluster = 20 min_sample = 5;5.0;0.0;20.0;5.0;0.4412926191223864;8.0;0.850956629939088;"0_anpassung_klimawandels_klimawandel_maßnahmen; 1_anpassungsstrategie_deutschen_deutsche_bundesregierung; 2_kreislaufwirtschaft_produkte_verantwortung_design; 3_kreislaufwirtschaft_ls_vgl_abfällen; 4_holz_holzwirtschaft_holzbau_bauen; 5_holzwirtschaft_holz_laubholz_nadelholz; 6_ländlichen_raum_holzwirtschaft_politik; 7_kraftwerke_schäden_könnten_unterbrechungen"
de_timber_kl_n_neighbors = 5 min_dist = 0.0 min_cluster = 25 min_sample = 6;5.0;0.0;25.0;6.0;0.5082475949458463;5.0;0.8634132155549028;"0_anpassung_klimawandels_klimawandel_maßnahmen; 1_deutsche_deutschen_anpassungsstrategie_holzwirtschaft; 2_holz_holzwirtschaft_risiko_kraftwerke; 3_kreislaufwirtschaft_produkte_verantwortung_produkten; 4_kreislaufwirtschaft_ls_vgl_abfällen"
de_timber_kl_n_neighbors = 5 min_dist = 0.0 min_cluster = 30 min_sample = 7;5.0;0.0;30.0;7.0;0.5082475949458463;5.0;0.8634882588068311;"0_anpassung_klimawandels_klimawandel_maßnahmen; 1_deutsche_deutschen_anpassungsstrategie_holzwirtschaft; 2_holz_holzwirtschaft_risiko_kraftwerke; 3_kreislaufwirtschaft_produkte_verantwortung_produkten; 4_kreislaufwirtschaft_ls_vgl_abfällen"
de_timber_kl_n_neighbors = 5 min_dist = 0.1 min_cluster = 10 min_sample = 2;5.0;0.1;10.0;2.0;0.4762663694082732;26.0;0.7903989805372351;"0_klimawandels_maßnahmen_vielfalt_länder; 1_ls_kreislaufwirtschaft_vgl_abfällen; 2_gewässer_feuchtgebiete_wasserwirtschaft_maßnahmen; 3_klimamodelle_remo_zeitraum_modell; 4_anpassungsstrategie_bundesregierung_deutschen_deutsche; 5_bevölkerungsschutz_bevölkerung_bund_katastrophenschutz; 6_anpassungsmaßnahmen_anpassung_ima_bundesregierung; 7_holz_holzbau_holzwirtschaft_bauen; 8_unsicherheiten_szenarien_zukünftige_klimaprognose; 9_anpassung_klimaänderungen_klimawandels_empfindlichkeit; 10_design_produkte_verantwortung_produkten; 11_hitzewellen_straßen_extremes_hitze; 12_fischerei_tourismus_einher_fischbestände; 13_risiken_versicherungen_klimawandels_banken; 14_infektionen_erreger_vektoren_überträger; 15_arten_wälder_pflanzen_naturgefahren; 16_trend_jahrhunderts_besonders_stark; 17_ländlichen_raum_holzwirtschaft_arbeitsplätze; 18_kubikmeter_wald_mehr_ha; 19_anpassung_klimawandel_zusammenarbeit_entwicklungsländer; 20_kreislaufwirtschaft_kosten_ziele_aktivitäten; 21_bioökonomie_biobasierte_steigerung_politik; 22_kraftwerke_unterbrechungen_könnten_kühlwasser; 23_wasserstraßen_schifffahrt_glowa_kliwas; 24_holzwirtschaft_nadelholz_laubholz_mio; 25_forschung_anpassungsforschung_klimawandel_klimzug"
de_timber_kl_n_neighbors = 5 min_dist = 0.1 min_cluster = 15 min_sample = 3;5.0;0.1;15.0;3.0;0.49181906953956434;1.0;1.0;1_infektionen_erreger_vektoren_überträger
de_timber_kl_n_neighbors = 5 min_dist = 0.1 min_cluster = 20 min_sample = 5;5.0;0.1;20.0;5.0;0.4842468099915258;6.0;0.8663256405287602;"0_anpassung_klimawandels_klimawandel_maßnahmen; 1_anpassungsstrategie_deutschen_deutsche_bundesregierung; 2_kreislaufwirtschaft_produkte_verantwortung_produkten; 3_kreislaufwirtschaft_ls_vgl_abfällen; 4_holz_holzwirtschaft_holzbau_bauen; 5_holzwirtschaft_holz_nadelholz_laubholz"
de_timber_kl_n_neighbors = 5 min_dist = 0.1 min_cluster = 25 min_sample = 6;5.0;0.1;25.0;6.0;0.5087972953141268;4.0;0.8626056719544077;"0_anpassung_klimawandels_klimawandel_maßnahmen; 1_deutsche_deutschen_anpassungsstrategie_holzwirtschaft; 2_kreislaufwirtschaft_holz_produkte_verantwortung; 3_kreislaufwirtschaft_ls_vgl_abfällen"
de_timber_kl_n_neighbors = 5 min_dist = 0.1 min_cluster = 30 min_sample = 7;5.0;0.1;30.0;7.0;0.4809581766581217;4.0;0.862453759439521;"0_anpassung_klimawandels_klimawandel_maßnahmen; 1_deutsche_deutschen_anpassungsstrategie_holzwirtschaft; 2_kreislaufwirtschaft_holz_produkte_verantwortung; 3_kreislaufwirtschaft_ls_vgl_abfällen"
