parameters;n_neighbors;min_dist;min_cluster;min_sample;topic_coherence;nr_topics;avg_similarity;topics
n_neighbors = 5 min_dist = 0.0 min_cluster = 10 min_sample = 2;5.0;0.0;10.0;2.0;0.5351721021164008;8.0;0.8745189787520485;"0_maßnahmen_gemaß_zeitraum_emissionen; 1_zusammenarbeit_cyberstelle_cyberkriminalitat_einrichtungen; 2_holz_marktteilnehmer_kontrollen_holzerzeugnisse; 3_cybersicherheit_vorschriften_hinaus_verzeichnis; 4_cybersicherheit_digitalen_aufbau_europa; 5_cyberraum_zusammenarbeit_internationalen_nato; 6_internet_schutz_internets_internationale; 7_abl_holz_amtsblatt_einwande"
n_neighbors = 5 min_dist = 0.0 min_cluster = 15 min_sample = 3;5.0;0.0;15.0;3.0;0.5218129576779581;3.0;0.9102921212954905;"1_cybersicherheit_zusammenarbeit_cyberraum_internet; 2_holz_marktteilnehmer_kontrollen_holzerzeugnissen; 3_cybersicherheit_vorschriften_hinaus_daruber"
n_neighbors = 5 min_dist = 0.0 min_cluster = 20 min_sample = 5;5.0;0.0;20.0;5.0;0.5218129576779581;3.0;0.9102921212954905;"1_cybersicherheit_zusammenarbeit_cyberraum_internet; 2_holz_marktteilnehmer_kontrollen_holzerzeugnissen; 3_cybersicherheit_vorschriften_hinaus_daruber"
n_neighbors = 5 min_dist = 0.0 min_cluster = 25 min_sample = 6;5.0;0.0;25.0;6.0;0.4698108315578866;2.0;0.9004187291545771;"1_cybersicherheit_zusammenarbeit_rahmen_internet; 2_holz_kontrollen_marktteilnehmer_gemaß"
n_neighbors = 5 min_dist = 0.0 min_cluster = 30 min_sample = 7;5.0;0.0;30.0;7.0;0.4698108315578866;2.0;0.9004187291545771;"1_cybersicherheit_zusammenarbeit_rahmen_internet; 2_holz_kontrollen_marktteilnehmer_gemaß"
n_neighbors = 5 min_dist = 0.1 min_cluster = 10 min_sample = 2;5.0;0.1;10.0;2.0;0.4822357300158377;11.0;0.8307669953358267;"0_holz_marktteilnehmer_kontrollen_holzerzeugnissen; 1_gemaß_zeitraum_emissionen_mitgliedstaat; 2_klimawandel_beirat_maßnahmen_wissenschaftlichen; 3_zusammenarbeit_cyberstelle_einrichtungen_reaktion; 4_cybersicherheit_vorschriften_hinaus_verzeichnis; 5_cybersicherheit_digitalen_aufbau_europa; 6_investitionen_nachhaltiges_grune_klima; 7_abl_holz_amtsblatt_parlament; 8_produkte_initiativen_politischen_strategische; 9_internet_internets_schutz_internationale; 10_technologien_nachhaltige_mobilitat_kraftstoffe"
n_neighbors = 5 min_dist = 0.1 min_cluster = 15 min_sample = 3;5.0;0.1;15.0;3.0;0.5208602271445911;4.0;0.9031119562872993;"0_maßnahmen_gemaß_zeitraum_emissionen; 1_cybersicherheit_zusammenarbeit_internet_unternehmen; 2_holz_marktteilnehmer_kontrollen_holzerzeugnisse; 3_cybersicherheit_vorschriften_hinaus_daruber"
n_neighbors = 5 min_dist = 0.1 min_cluster = 20 min_sample = 5;5.0;0.1;20.0;5.0;0.49974355084321287;4.0;0.9038954791767709;"0_maßnahmen_gemaß_zeitraum_emissionen; 1_cybersicherheit_zusammenarbeit_internet_rahmen; 2_holz_marktteilnehmer_kontrollen_holzerzeugnisse; 3_cybersicherheit_vorschriften_hinaus_daruber"
n_neighbors = 5 min_dist = 0.1 min_cluster = 25 min_sample = 6;5.0;0.1;25.0;6.0;0.5257122882135699;3.0;0.8813914754422757;"0_maßnahmen_gemaß_zeitraum_emissionen; 1_cybersicherheit_zusammenarbeit_rahmen_internet; 2_holz_kontrollen_marktteilnehmer_holzerzeugnisse"
n_neighbors = 5 min_dist = 0.1 min_cluster = 30 min_sample = 7;5.0;0.1;30.0;7.0;0.5257122882135699;3.0;0.8816989328350014;"0_maßnahmen_gemaß_zeitraum_mitgliedstaat; 1_cybersicherheit_zusammenarbeit_rahmen_internet; 2_holz_kontrollen_marktteilnehmer_holzerzeugnisse"
n_neighbors = 5 min_dist = 0.25 min_cluster = 10 min_sample = 2;5.0;0.25;10.0;2.0;0.4742392654073636;10.0;0.8244598943121608;"0_cybersicherheit_zusammenarbeit_internet_unternehmen; 1_holz_marktteilnehmer_kontrollen_holzerzeugnissen; 2_gemaß_zeitraum_emissionen_mitgliedstaat; 3_cybersicherheit_vorschriften_hinaus_verzeichnis; 4_investitionen_nachhaltiges_grune_klima; 5_beirat_beirats_wissenschaftlichen_mitglieder; 6_technologien_nachhaltige_mobilitat_kraftstoffe; 7_walder_ubergang_agrarpolitik_handel; 8_klimawandel_weltweiten_strategien_afrika; 9_abl_holz_amtsblatt_einwande"
n_neighbors = 5 min_dist = 0.25 min_cluster = 15 min_sample = 3;5.0;0.25;15.0;3.0;0.4222443732026533;3.0;0.9008361795264072;"0_maßnahmen_gemaß_emissionen_einschließlich; 1_cybersicherheit_zusammenarbeit_cyberraum_internet; 2_cybersicherheit_vorschriften_hinaus_daruber"
n_neighbors = 5 min_dist = 0.25 min_cluster = 20 min_sample = 5;5.0;0.25;20.0;5.0;0.47333978813533006;3.0;0.905339884425336;"0_gemaß_maßnahmen_emissionen_zeitraum; 1_cybersicherheit_zusammenarbeit_internet_unternehmen; 2_cybersicherheit_vorschriften_hinaus_daruber"
n_neighbors = 5 min_dist = 0.25 min_cluster = 25 min_sample = 6;5.0;0.25;25.0;6.0;0.5082908596075366;2.0;0.8992486223479277;"0_gemaß_maßnahmen_zeitraum_emissionen; 1_cybersicherheit_zusammenarbeit_internet_rahmen"
n_neighbors = 5 min_dist = 0.25 min_cluster = 30 min_sample = 7;5.0;0.25;30.0;7.0;0.5543506296511101;3.0;0.8944727594802345;"0_maßnahmen_gemaß_zeitraum_emissionen; 1_cybersicherheit_zusammenarbeit_internet_rahmen; 2_holz_kontrollen_marktteilnehmer_sorgfaltspflichtregelung"
n_neighbors = 7 min_dist = 0.0 min_cluster = 10 min_sample = 2;7.0;0.0;10.0;2.0;0.4233048135071524;9.0;0.8530029642636594;"0_cybersicherheit_zusammenarbeit_rahmen_internet; 1_holz_kontrollen_marktteilnehmer_holzerzeugnisse; 2_gemaß_zeitraum_emissionen_mitgliedstaat; 3_klimawandel_beirat_maßnahmen_wissenschaftlichen; 4_deals_bedeutung_nutzung_herausforderung; 5_investitionen_ubergang_nachhaltiges_klima; 6_empfehlungen_maßnahmen_unterstutzung_behorden; 7_abl_holz_amtsblatt_parlament; 8_produkte_strategische_initiativen_unternehmen"
n_neighbors = 7 min_dist = 0.0 min_cluster = 15 min_sample = 3;7.0;0.0;15.0;3.0;0.3481851452560688;1.0;1.0000000000000007;1_cybersicherheit_zusammenarbeit_rahmen_internet
n_neighbors = 7 min_dist = 0.0 min_cluster = 20 min_sample = 5;7.0;0.0;20.0;5.0;0.3481851452560688;1.0;1.0000000000000007;1_cybersicherheit_zusammenarbeit_rahmen_internet
n_neighbors = 7 min_dist = 0.0 min_cluster = 25 min_sample = 6;7.0;0.0;25.0;6.0;0.3481851452560688;1.0;1.0000000000000007;1_cybersicherheit_zusammenarbeit_rahmen_internet
n_neighbors = 7 min_dist = 0.0 min_cluster = 30 min_sample = 7;7.0;0.0;30.0;7.0;0.3481851452560688;1.0;1.0000000000000007;1_cybersicherheit_zusammenarbeit_rahmen_internet
n_neighbors = 7 min_dist = 0.1 min_cluster = 10 min_sample = 2;7.0;0.1;10.0;2.0;0.4698108315578866;2.0;0.8802801474802728;"1_cybersicherheit_zusammenarbeit_rahmen_internet; 2_holz_abl_amtsblatt_parlament"
n_neighbors = 7 min_dist = 0.1 min_cluster = 15 min_sample = 3;7.0;0.1;15.0;3.0;0.3481851452560688;1.0;1.0000000000000007;1_cybersicherheit_zusammenarbeit_rahmen_internet
n_neighbors = 7 min_dist = 0.1 min_cluster = 20 min_sample = 5;7.0;0.1;20.0;5.0;0.4508554315779839;2.0;0.8845694480364085;"0_gemaß_maßnahmen_einschließlich_emissionen; 1_cybersicherheit_zusammenarbeit_rahmen_internet"
n_neighbors = 7 min_dist = 0.1 min_cluster = 25 min_sample = 6;7.0;0.1;25.0;6.0;0.4508554315779839;2.0;0.8850357780834338;"0_gemaß_maßnahmen_einschließlich_zeitraum; 1_cybersicherheit_zusammenarbeit_rahmen_internet"
n_neighbors = 7 min_dist = 0.1 min_cluster = 30 min_sample = 7;7.0;0.1;30.0;7.0;0.5045833214401122;3.0;0.8780217411661471;"0_maßnahmen_gemaß_zeitraum_emissionen; 1_cybersicherheit_zusammenarbeit_rahmen_internet; 2_holz_gemaß_holzerzeugnissen_kontrollen"
n_neighbors = 7 min_dist = 0.25 min_cluster = 10 min_sample = 2;7.0;0.25;10.0;2.0;0.4600684911740337;9.0;0.8468371246603754;"0_gemaß_maßnahmen_emissionen_zeitraum; 1_cybersicherheit_vorschriften_hinaus_daruber; 2_rahmen_cyberkriminalitat_cyberdiplomatie_nato; 3_cyberraum_internet_internationale_internationalen; 4_investitionen_ubergang_nachhaltiges_klima; 5_cyberstelle_einrichtungen_wurde_stellen; 6_cybersicherheit_digitalen_aufbau_europa; 7_abl_holz_amtsblatt_parlament; 8_produkte_strategische_initiativen_unternehmen"
n_neighbors = 7 min_dist = 0.25 min_cluster = 15 min_sample = 3;7.0;0.25;15.0;3.0;0.43535551759246005;5.0;0.849214925554441;"0_cybersicherheit_zusammenarbeit_rahmen_internet; 1_gemaß_maßnahmen_zeitraum_emissionen; 2_holz_gemaß_kontrollen_marktteilnehmer; 3_investitionen_ubergang_nachhaltiges_grune; 4_dekarbonisierung_technologien_industrie_deals"
n_neighbors = 7 min_dist = 0.25 min_cluster = 20 min_sample = 5;7.0;0.25;20.0;5.0;0.5286028871275816;4.0;0.8952275805368528;"0_gemaß_maßnahmen_zeitraum_emissionen; 1_zusammenarbeit_cybersicherheit_cyberraum_internet; 2_holz_gemaß_kontrollen_marktteilnehmer; 3_vorschriften_cybersicherheit_hinaus_daruber"
