parameters;nr_topics;avg_similarity;topics
n_neighbors = 10 min_dist = 0.25 min_cluster = 15 min_sample = 3;14.0;0.8291260041449467;"0_erlassen_torwachter_beschluss_rechtsakte; 1_durchsetzung_nationale_ausschuss_vorschriften; 2_daten_recht_weiterverwendung_stellen; 3_hochrisikokisystem_hochrisikokisystems_hochrisikokisysteme_hochrisikokisystemen; 4_torwachter_plattformdienste_zentralen_gewerblichen; 5_eur_kosten_preisen_konstanten; 6_datenaltruistischen_organisationen_registrierung_zustandigen; 7_rat_parlament_europäischen_kraft; 8_notifizierten_stellen_anforderungen_konformitätsbewertungsverfahren; 9_dateninhaber_daten_stelle_datenempfänger; 10_eur_cluster_programm_saule; 11_normen_entwicklung_europäische_beratung; 12_datenvermittlungsdiensten_anbieter_datenvermittlungsdienste_behorde; 13_assoziierten_sitz_rechtstrager_teilnahme"
n_neighbors = 20 min_dist = 0.0 min_cluster = 20 min_sample = 5;13.0;0.8318605401397299;"0_torwachter_erlassen_unternehmen_gemaß; 1_hochrisikokisystem_hochrisikokisystemen_hochrisikokisystems_hochrisikokisysteme; 2_daten_weiterverwendung_recht_stellen; 3_eur_kosten_preisen_konstanten; 4_datenvermittlungsdiensten_datenvermittlungsdienste_anbieter_zustandigen; 5_programm_programms_partnerschaften_eur; 6_gilt_nr_richtlinie_geschaftstatigkeit; 7_normen_entwicklung_europäische_beratung; 8_rat_parlament_kraft_beschluss; 9_notifizierten_stellen_notifizierung_stelle; 10_datenaltruistischen_organisationen_anerkannten_organisation; 11_dateninhaber_daten_stelle_datenempfänger; 12_torwachter_gewerblichen_zentralen_softwareanwendungen"
n_neighbors = 20 min_dist = 0.0 min_cluster = 30 min_sample = 7;11.0;0.8373305083078412;"0_daten_dateninhaber_recht_datenaltruistischen; 1_erlassen_beschluss_torwachter_durchsetzung; 2_hochrisikokisystem_hochrisikokisystemen_hochrisikokisystems_anbieter; 3_datenvermittlungsdiensten_datenvermittlungsdienste_anbieter_zustandigen; 4_eur_kosten_preisen_begunstigten; 5_ausschuss_behörden_zuständigen_anwendung; 6_programm_programms_partnerschaften_eur; 7_gilt_nr_richtlinie_geschaftstatigkeit; 8_normen_entwicklung_europäische_beratung; 9_rat_parlament_kraft_beschluss; 10_notifizierten_stellen_stelle_notifizierte"
n_neighbors = 20 min_dist = 0.1 min_cluster = 20 min_sample = 5;13.0;0.8396193205928854;"0_torwachter_unternehmen_erlassen_plattformdienste; 1_daten_dateninhaber_stelle_datenaltruistischen; 2_hochrisikokisystem_hochrisikokisystemen_hochrisikokisystems_hochrisikokisysteme; 3_rat_parlament_gilt_europäischen; 4_ausschuss_behörden_zuständigen_mitgliedstaat; 5_programm_programms_partnerschaften_eur; 6_kosten_haushaltsordnung_rahmen_maßnahme; 7_datenvermittlungsdiensten_datenvermittlungsdienste_anbieter_zustandigen; 8_normen_entwicklung_beratung_europäische; 9_notifizierten_stellen_stelle_notifizierung; 10_vorschriften_durchsetzung_nationale_nachprufung; 11_interoperabilitat_interoperabilität_übertragbarkeit_daten; 12_torwachter_gewerblichen_zentralen_softwareanwendungen"
n_neighbors = 20 min_dist = 0.25 min_cluster = 20 min_sample = 5;11.0;0.8397669158422808;"0_daten_dateninhaber_datenaltruistischen_organisationen; 1_torwachter_erlassen_plattformdienste_unternehmen; 2_hochrisikokisystem_hochrisikokisystemen_hochrisikokisystems_hochrisikokisysteme; 3_ausschuss_nationale_behörden_durchsetzung; 4_parlament_rat_europäischen_gilt; 5_programm_programms_partnerschaften_eur; 6_kosten_haushaltsordnung_maßnahme_rahmen; 7_datenvermittlungsdiensten_datenvermittlungsdienste_anbieter_zustandigen; 8_normen_entwicklung_beratung_europaischer; 9_notifizierten_stellen_konformitätsbewertungstätigkeiten_notifizierung; 10_torwachter_gewerblichen_zentralen_softwareanwendungen"
n_neighbors = 20 min_dist = 0.25 min_cluster = 30 min_sample = 7;9.0;0.8399271363007821;"0_daten_dateninhaber_datenaltruistischen_stelle; 1_hochrisikokisystem_hochrisikokisystemen_notifizierten_hochrisikokisystems; 2_erlassen_beschluss_torwachter_rechtsakte; 3_ausschuss_nationale_behörden_durchsetzung; 4_programm_programms_partnerschaften_eur; 5_kosten_haushaltsordnung_rahmen_maßnahme; 6_plattformdienste_torwachter_zentralen_unternehmen; 7_datenvermittlungsdiensten_datenvermittlungsdienste_anbieter_zustandigen; 8_parlament_rat_beschluss_widerruf"
n_neighbors = 10 min_dist = 0.1 min_cluster = 20 min_sample = 5;16.0;0.8408217593442371;"0_erlassen_torwachter_beschluss_rechtsakte; 1_hochrisikokisystem_hochrisikokisystemen_hochrisikokisysteme_hochrisikokisystems; 2_nationale_ausschuss_durchsetzung_behörden; 3_datenvermittlungsdiensten_datenvermittlungsdienste_anbieter_zustandigen; 4_daten_weiterverwendung_stellen_recht; 5_kosten_haushaltsordnung_rahmen_programms; 6_programm_partnerschaften_eur_cluster; 7_rat_parlament_europäischen_kraft; 8_dateninhaber_daten_stelle_verlangen; 9_normen_entwicklung_europäische_beratung; 10_datenaltruistischen_organisationen_anerkannten_registrierung; 11_notifizierten_stellen_stelle_notifizierung; 12_plattformdienste_unternehmen_zentrale_bereitstellt; 13_sitz_assoziierten_rechtstrager_teilnahme; 14_torwachter_gewerblichen_zentralen_softwareanwendungen; 15_gilt_geschaftstatigkeit_bestatigung_meldung"
n_neighbors = 10 min_dist = 0.1 min_cluster = 25 min_sample = 6;13.0;0.8408880955477763;"0_daten_stelle_dateninhaber_weiterverwendung; 1_erlassen_torwachter_beschluss_rechtsakte; 2_hochrisikokisystem_hochrisikokisystemen_hochrisikokisystems_hochrisikokisysteme; 3_nationale_ausschuss_durchsetzung_behörden; 4_kosten_konnen_haushaltsordnung_rahmen; 5_datenvermittlungsdiensten_datenvermittlungsdienste_anbieter_zustandigen; 6_parlament_rat_europäischen_kraft; 7_programm_partnerschaften_eur_cluster; 8_begunstigten_sitz_ergebnissen_assoziierten; 9_normen_entwicklung_europäische_beratung; 10_datenaltruistischen_organisationen_anerkannten_organisation; 11_plattformdienste_unternehmen_zentrale_bereitstellt; 12_notifizierten_stellen_stelle_notifizierung"
n_neighbors = 20 min_dist = 0.1 min_cluster = 10 min_sample = 2;34.0;0.8414227460875902;"0_hochrisikokisystem_hochrisikokisystems_hochrisikokisystemen_hochrisikokisysteme; 1_programm_partnerschaften_programms_sitz; 2_eur_kosten_preisen_konstanten; 3_beschluss_torwachter_beurteilung_vorlaufigen; 4_erlassen_rechtsakte_befugnis_delegierte; 5_normen_europäische_entwicklung_beratung; 6_notifizierten_stellen_notifizierung_konformitätsbewertungstätigkeiten; 7_datenvermittlungsdiensten_datenvermittlungsdienste_anbieter_behorde; 8_benannten_namen_behorden_enthaltenen; 9_datenaltruistischen_organisationen_anerkannten_datenaltruistische; 10_plattformdienste_unternehmen_bereitstellt_zentrale; 11_dateninhaber_datenempfänger_daten_stelle; 12_torwachter_gewerblichen_zentralen_softwareanwendungen; 13_durchsetzung_vorschriften_nationale_behorde; 14_geschaftstatigkeit_gilt_bestatigung_meldung; 15_daten_offentlichen_person_maßnahme; 16_begunstigten_ergebnisse_ergebnissen_eigentumer; 17_monaten_erlass_marktuntersuchung_innerhalb; 18_arbeitsprogramm_vorschlagen_begunstigten_einreichung; 19_nr_richtlinie_parlaments_rates; 20_weiterverwendung_daten_rechte_datenkategorien; 21_parlament_rat_bericht_delegierten; 22_verwendung_strafverfolgungszwecken_kisysteme_verhütung; 23_daten_unionsrecht_stellen_personenbezogener; 24_ausschuss_gruppe_sitzungen_fragen; 25_behörden_zuständigen_mitgliedstaat_behörde; 26_anhang_konformitätsbewertungsverfahren_richtlinie_hochrisikokisystemen; 27_behorden_zustandigen_datenaltruistischen_registrierung; 28_übertragbarkeit_datenverarbeitungsdiensten_interoperabilitat_grundlegenden; 29_einseitig_partei_auferlegt_klausel; 30_intelligenz_künstlichen_künstliche_yyyxx; 31_geschäftsgeheimnisse_vertraulichkeit_wahren_weiterverwendung; 32_rat_parlament_widerruf_beschluss; 33_compliancefunktion_torwachters_leitungsorgan_compliancebeauftragten"
n_neighbors = 20 min_dist = 0.0 min_cluster = 10 min_sample = 2;37.0;0.8416699672746981;"0_hochrisikokisystem_hochrisikokisystems_hochrisikokisystemen_hochrisikokisysteme; 1_programm_programms_partnerschaften_sitz; 2_eur_kosten_preisen_konstanten; 3_beschluss_frist_torwachter_beurteilung; 4_rechtsakte_erlassen_befugnis_delegierte; 5_benannten_namen_behorden_enthaltenen; 6_normen_europäische_entwicklung_beratung; 7_notifizierten_stellen_notifizierte_stelle; 8_datenvermittlungsdiensten_datenvermittlungsdienste_anbieter_behorde; 9_plattformdienste_unternehmen_bereitstellt_zentrale; 10_datenaltruistischen_organisationen_datenaltruistische_anerkannten; 11_torwachter_gewerblichen_softwareanwendungen_zentralen; 12_durchsetzung_vorschriften_nationale_behorde; 13_geschaftstatigkeit_gilt_bestatigung_meldung; 14_daten_offentlichen_person_maßnahme; 15_datenverarbeitungsdiensten_übertragbarkeit_interoperabilitat_kommunikationsdienste; 16_arbeitsprogramm_vorschlagen_begunstigten_einreichung; 17_begunstigten_ergebnisse_ergebnissen_eigentumer; 18_einseitig_partei_auferlegt_klausel; 19_nr_richtlinie_markte_parlaments; 20_entscheidung_unionsrecht_recht_drittlands; 21_parlament_rat_bericht_delegierten; 22_weiterverwendung_daten_rechte_datenkategorien; 23_ausschuss_ausschusses_gruppe_sitzungen; 24_daten_geschäftsgeheimnisse_vertraulichkeit_besonderen; 25_monaten_innerhalb_marktuntersuchung_unbestimmte; 26_zustandigen_behorden_registrierung_datenaltruistischen; 27_stelle_öffentlichen_organ_dateninhaber; 28_verwendung_personenbezogener_verarbeitung_strafverfolgungszwecken; 29_konformitätsbewertungsverfahren_anhang_richtlinie_hochrisikokisystemen; 30_recht_gefordert_schutz_behörden; 31_behörden_zuständigen_behörde_mitgliedstaat; 32_rat_parlament_widerruf_beschluss; 33_intelligenz_künstlichen_künstliche_yyyxx; 34_nachprufung_bediensteten_ermachtigten_begleitpersonen; 35_dateninhaber_datenempfänger_daten_bereitstellung; 36_compliancefunktion_torwachters_leitungsorgan_compliancebeauftragten"
