Document;Topic;Name;Top_n_words;Probability;Representative_document;model
datensolidarität  innovation durch das teilen von daten;3.0;3_ki_daten_digitale_intelligenz;ki - daten - digitale - intelligenz - verwaltung - at - einsatz - entwicklung - bereich - kisystemen;1.0;1.0;(20.0, 0.25, 30, 7)
es ist zentral dass wir die österreichische und euweite wettbewerbsfähigkeit voranbringen auch indem für heimische unternehmen europaweit einheitliche rechtliche  und technische rahmenbedingungen geschaffen werden damit diese in einem sicheren  umfeld kilösungen entwickeln und erproben können;5.0;5_ki_europäischen_daten_unternehmen;ki - europäischen - daten - unternehmen - europäische - europäischer - at - ai - bereich - ebene;1.0;1.0;(20.0, 0.25, 30, 7)
auch in der öffentlichen verwaltung wird der einsatz von ki für innovative digitale  services eine immer wichtigere rolle spielen zum beispiel in form von neuen digitalen  verwaltungsdiensten klar ist aber dass entscheidungen in der verwaltung die unmittelbare auswirkungen auf menschen haben zwar maschinell unterstützt werden können  aber immer durch menschen getroffen werden müssen;3.0;3_ki_daten_digitale_intelligenz;ki - daten - digitale - intelligenz - verwaltung - at - einsatz - entwicklung - bereich - kisystemen;1.0;1.0;(20.0, 0.25, 30, 7)
 österreich soll sich als forschungs und innovationsstandort für ki in schlüsselbereichen und stärkefeldern positionieren und  mittels der entwicklung und des einsatzes von ki soll die wettbewerbsfähigkeit  des österreichischen technologie und wirtschaftsstandorts gesichert werden;5.0;5_ki_europäischen_daten_unternehmen;ki - europäischen - daten - unternehmen - europäische - europäischer - at - ai - bereich - ebene;1.0;1.0;(20.0, 0.25, 30, 7)
österreich verfügt über eine große anzahl von forschungseinrichtungen die  sich mit ki beschäftigen und die über das ganze land verteilt sind  vor allem in wesentlichen kiteilfeldern wie maschinelles lernen symbolische verfahren robotik und  autonome systeme verfügen österreichische universitäten und forschungsinstitutionen  über hohe kompetenz und genießen weltweit einen guten ruf neue schwerpunkte haben  sich auf dem gebiet produktion und industrie  gebildet z b für vorausplanende  wartung der österreichische staat unterstützte diese forschungsaktivitäten zwischen   und  mit insgesamt  millionen euro an fördermitteln die über die ffg  ausgeschüttet wurden;5.0;5_ki_europäischen_daten_unternehmen;ki - europäischen - daten - unternehmen - europäische - europäischer - at - ai - bereich - ebene;1.0;1.0;(20.0, 0.25, 30, 7)
 die rahmenbedingungen für unternehmen insbesondere für kleine und mittelständische unternehmen kmu und startups sollen verbessert werden um  sowohl wirtschafts als auch beschäftigungspolitische impulse zu geben;22.0;22_unternehmen_zeithorizont_tragende_handlungs;unternehmen - zeithorizont - tragende - handlungs - kurzfristig - planungsbüros - bundesländer - angriff - gartenbauämter - magistratsabteilungen;1.0;1.0;(20.0, 0.25, 30, 7)
dazu zählt vor allem dass sie menschliches handeln und die entscheidungsfindung  unterstützen und durch kontrollmechanismen die menschliche aufsicht gewährleisten;16.0;16_ki_strategie_umsetzung_breiten;ki - strategie - umsetzung - breiten - kunst - einzelnen - betroffenen - akteurinnen - technischen - wissenschaft;1.0;1.0;(20.0, 0.25, 30, 7)
im zuge dieses wandlungsprozesses ist es zentral die langfristige neu re oder  umqualifizierung von menschen aktiv zu gestalten unternehmen die aus gründen der  effizienz und ressourcenschonung die verwendung von kiwerkzeugen in ihren wertschöpfungsprozessen erproben wollen wie auch arbeitnehmerinnen und arbeitnehmern  die diese werkzeuge zum einsatz bringen müssen möglichkeiten geboten werden sich  frühzeitig weiterentwickeln zu können;22.0;22_unternehmen_zeithorizont_tragende_handlungs;unternehmen - zeithorizont - tragende - handlungs - kurzfristig - planungsbüros - bundesländer - angriff - gartenbauämter - magistratsabteilungen;1.0;1.0;(20.0, 0.25, 30, 7)
die bundesregierung wird gemeinsam mit expertinnen und experten prüfen  inwieweit ki zur verbesserung der cybersicherheit und der bekämpfung von  cyberkriminalität unterstützend eingesetzt werden kann;3.0;3_ki_daten_digitale_intelligenz;ki - daten - digitale - intelligenz - verwaltung - at - einsatz - entwicklung - bereich - kisystemen;1.0;1.0;(20.0, 0.25, 30, 7)
 wissen schaffen und nutzen ki im forschungs  technologie und innovationssystem die rasche entwicklung der kitechnologien verdeutlicht die wichtigkeit von investitionen in forschung und entwicklung trotz der jüngsten erfolge bleibt ki ein äußerst  dynamisches und interdisziplinäres forschungsfeld das wohl erst am beginn seiner  entfaltung steht es berührt die technischen wissenschaften ebenso wie natur sozial  und geisteswissenschaften;16.0;16_ki_strategie_umsetzung_breiten;ki - strategie - umsetzung - breiten - kunst - einzelnen - betroffenen - akteurinnen - technischen - wissenschaft;1.0;1.0;(20.0, 0.25, 30, 7)
in österreich wurde seit  ein anstieg der durchschnittlichen jahrestemperatur von rund  c apcc   verzeichnet dieser anstieg liegt beträchtlich über der weltweiten temperaturerwärmung von  c  ipcc  allein in den letzten  jahren hat die lufttemperatur in österreich um  c zugenommen  öks die jährliche menge an niederschlag ist seit   mit ausnahme im südosten österreichs  um    gestiegen bmlfuw c;19.0;19_zunahme_winter_sommer_abnahme;zunahme - winter - sommer - abnahme - österreichs - zugenommen - anstieg - tage - hitzeperioden - temperaturen;1.0;1.0;(20.0, 0.25, 30, 7)
 mögliches geringeres verdünnungspotenzial in oberflächengewässern im südosten österreichs  kann zu erhöhten stoffkonzentrationen führen   temperaturerhöhung wird zu veränderungen der aquatischen biozönosen führen die  bioregionen werden sich verschieben   anstieg des wasserbedarfs in der landwirtschaft    kleinräumig könnten sich vorhandene engpässe in der wasserversorgung in gebieten mit  ungünstigem wasserdargebot verstärken klimawandel in öster reich    aktivitätsfeld tourismus   anstieg der jahresmitteltemperatur ganzjahrestourismus   veränderung der niederschlagsmengen und ihrer saisonalen verteilung  abnahme der  niederschlagshäufigkeit während der sommermonate und zunahme in den wintermonaten   abnahme des schneeanteils in tiefen und mittleren lagen rückgang der schneesicherheit    abnahme der eis und frosttage    zunahme der tage ohne durchgehende schneedecke im gebirge    auftauen der permafrostböden kann zu instabilität von infrastruktureinrichtungen und zu  steinschlaggefahr führen   rückgang der gletscher beeinflusst das landschaftsbild    erhöhter druck auf gletscher durch schlechtere bedingungen in schigebieten niedriger lagen  möglich    anstieg der wassertemperaturen längere badetaugliche temperaturen    mögliche belastung der wasserqualität der seen z b durch algen bei höheren temperaturen    relative klimatische begünstigung des alpenraums gegenüber insb mittelmeerdestinationen im  sommer    verstärkte hitzeperioden bzw anstieg an hitzetagen über  c im sommer   z b städtetourismus  flucht aus urbanen räumen in umliegende gebiete    rückgang der artenvielfalt flora und fauna führt zu einer veränderung des landschaftsbildes;19.0;19_zunahme_winter_sommer_abnahme;zunahme - winter - sommer - abnahme - österreichs - zugenommen - anstieg - tage - hitzeperioden - temperaturen;1.0;1.0;(20.0, 0.25, 30, 7)
abgestimmt mit den berichtsformaten der österreichischen klimawandelanpassungsstrategie die oö;10.0;10_klimawandel_anpassung_klima_link;klimawandel - anpassung - klima - link - energiefonds - auswirkungen - klimawandels - climate - anpassungsstrategie - strategie;1.0;1.0;(20.0, 0.25, 30, 7)
geplant ist die erstellung eines hitzeschutzplans seit  gibt es auch einen hitzewarndienst in  niederösterreich der bei einer voraussichtlichen extremen hitzebelastung die warnung inklusive  informationsmaterialien an einen vorbereiteten verteiler aussendet die institutionen sind aufgefordert  selbst zu entscheiden was notwendig ist nach ende einer hitzewelle wird wieder entwarnt;7.0;7_thermischen_hitzewellen_komforts_hitzebelastung;thermischen - hitzewellen - komforts - hitzebelastung - reduktion - hitze - maßnahmen - kühlung - sicherstellung - klimatisierung;1.0;1.0;(20.0, 0.25, 30, 7)
 bei der österreichischen klimawandelanpassungspolitik müssen die externen auswirkungen  mitberücksichtigt werden um die auslagerung negativer oder sogar kontraproduktiver effekte zu  verhindern;10.0;10_klimawandel_anpassung_klima_link;klimawandel - anpassung - klima - link - energiefonds - auswirkungen - klimawandels - climate - anpassungsstrategie - strategie;1.0;1.0;(20.0, 0.25, 30, 7)
 universitäre und außeruniversitäre ;23.0;23_universitäre_außeruniversitäre_forschungseinrichtungen_bund;universitäre - außeruniversitäre - forschungseinrichtungen - bund - zeithorizont - bundesländer - tragende - handlungs - mittelfristig - weiterbildungsinstitutionen;1.0;1.0;(20.0, 0.25, 30, 7)
