Document;Topic;Name;Top_n_words;Probability;Representative_document;model
 im dialog mit den bundesländern energieversorgern  und gasnetzbetreibern ist ein fahrplan zur stufenweisen entflechtung der wärmenetze zu entwickeln;0.0;0_prüfung_maßnahmen_stärkung_ziel;prüfung - maßnahmen - stärkung - ziel - umsetzung - ausbau - schaffung - evaluierung - weiterentwicklung - berücksichtigung;1.0;1.0;model 0
weiters ist es wichtig den gesundheits sowie pflegebereich stets gesamthaft zu betrachten ziel muss es  sein durch prävention und rehabilitation den anteil an  gesunden jahren zu erhöhen und somit pflegebedürftigkeit so lange wie möglich zu vermeiden grundprinzipien  die unterstützung von betreuungs und pflegebedürftigen menschen und ihrer an und zugehörigen  ist nicht nur aufgabe der familien selbst sondern  ein gesamtgesellschaftlicher auftrag;0.0;0_prüfung_maßnahmen_stärkung_ziel;prüfung - maßnahmen - stärkung - ziel - umsetzung - ausbau - schaffung - evaluierung - weiterentwicklung - berücksichtigung;1.0;1.0;model 0
prävention und gesundheitsförderung  flächendeckende bereitstellung und ausbau früher  hilfen  aufwertung und kompetenzerweiterung der schulärztinnen und schulärzte inklusive verwertung  anonymisierter daten  aufwertung und aufbau eines systems von school  und community nurses zur niederschwelligen und  bedarfsorientierten versorgung  schaffung gesundheitsfördernder lebenswelten  arbeit schule z  b  getränke freizeit wohnen   population health management  etablierung von finanziellen und sachlichen anreizsystemen für gesundheitsfördernde maßnahmen  und teilnahme an präventionsprogrammen z  b ;0.0;0_prüfung_maßnahmen_stärkung_ziel;prüfung - maßnahmen - stärkung - ziel - umsetzung - ausbau - schaffung - evaluierung - weiterentwicklung - berücksichtigung;1.0;1.0;model 0
 zusätzliche ressourcen personal finanzierung  werden anhand klarer kriterien an die ausgewählten schulen vergeben aufbauend auf einem  individuellen schulentwicklungsplan mit maßgeschneiderter unterstützung autonome umsetzung durch die schulleitung  begleitung durch bildungsdirektion sowie  wissenschaftliche analyse  prüfung einer bedarfsorientierten mittelzuteilung auf basis der ergebnisse des pilotprogramms  inklusion und förderung alle kinder mitnehmen   kinder mit speziellem förderbedarf bzw;1.0;1_weiterentwicklung_schulen_pädagogen_hochschulen;weiterentwicklung - schulen - pädagogen - hochschulen - pädagogischen - evaluierung - ausbau - schülerinnen - prüfung - bereich;1.0;1.0;model 0
 umgehende externe evaluation der vergabepraxis von spfbescheiden damit die zuteilung der  ressourcen dem tatsächlichen bedarf entspricht  weiterentwicklung der qualität pädagogischer  angebote für schülerinnen und schüler mit  behinderungen und barrierefreier bildungswege  sicherstellung organisatorischer personeller und  räumlicher voraussetzungen für diversitätsorientierten unterricht in der gesamten bildungskette  evaluierung und entsprechende weiterentwicklung der pädagoginnenbildung  öffnung der position der schulleitung an allgemeinen pflichtschulen für sonderpädagoginnen  und pädagogen  mehr ferienbetreuung und sommerunterricht für  jene die es brauchen um eltern zu entlasten  mehr förderstunden für schülerinnen und  schüler am nachmittag unter nutzung des  bestehenden systems der verpflichtenden  förderstunden   ausarbeitung eines konzepts als angebot für  die gemeinden zur verstärkten einbeziehung der  eltern in die sprachförderung aktive elternarbeit mama lernt deutsch  fachliche und pädagogische konzeption von  speziellen ferienangeboten sowie österreichweit  einheitliche angebotsumsetzung z  b  schwerpunktkurse praxiswochen unternehmenswo chen sprach sport und kulturangebote etc  mit sozial gestaffelten beiträgen in zusammenarbeit mit den ländern  schaffung eines schulpraktischen moduls für  lehramtsstudierende in den ferienmonaten mit  anrechnungsmöglichkeit auf das studium  flexibilisierungsmöglichkeit der arbeitszeit für  lehrerinnen und lehrer auf freiwilliger basis  sowie erarbeitung eines jahresarbeitszeitmodells für erzieherinnen und erzieher zur ermöglichung der ferienbetreuung schulorganisation verbessern  größtmögliche bündelung der bildungs  a genden  des bundes von der elementarpädagogik bis zur  hochschule sowie teilen der erwachsenenbildung  im bildungsministerium   evaluierung der bildungsdirektionen hinsichtlich  interner und externer kommunikation und verwaltung effizienz personalbedarf  schülerverwaltungsprogramme des bundes  weiterführen und weiterentwickeln um nutzerfreundlichkeit zu erhöhen und abfragen zu  vereinfachen  entwicklung einer integrierten edvlösung in  der verwaltung   reduktion der zahl von rundschreiben und  erlässen zugunsten eines konsolidierten webbasierten informationsmanagements  berufliche emailadressen für das gesamte  personal der bildungsdirektionen bereitstellen  und nutzen  transparente personalsteuerung  gemeinsam mit  den bundesländern umsetzung eines einheitlichen  systems zur sicherstellung des effektiven einsatzes  von pädagoginnen und pädagogen österreichweit  zügiger schuljahresbeginn etablierung eines rechtlich abgesicherten  verbindlichen und österreichweit einheitlichen  systems der an und abmeldungen von schülerinnen und schülern an den schulen sowie  vereinheitlichung der stichtage und schuleinschreibungstermine um einen zügigen schulstart zu gewährleisten  einführung eines bonussystems für schulen  die die nachprüfungen vollständig in der letzten  ferienwoche durchführen  etablierung eines gesamtheitlichen bildungsmonitorings durch zusammenführung relevanter datenquellen um wichtige bildungspolitische analysen  durchführen zu können unter wahrung sämtlicher  datenschutzrechtlicher standards  verstärkte zusammenarbeit mit statistik austria  und weiteren relevanten stakeholdern um synergien zu nutzen und rasche informations und  austauschprozesse sicherzustellen  entwicklung einer wertschätzenden konstruktiven  transparenten feedbackkultur gradfeedback zur qualitätssteigerung des unterrichts und  zur verbesserung der beziehungen sowie verpflichtende schulinterne evaluierung an jedem standort  die schulen baulich modernisieren  neuer schulentwicklungsplan unter berücksichtigung pädagogischer ziele klimagerechte ökologische standards  im schulbau bei sanierungen und neubauten in  abstimmung mit ländern und gemeinden wie dies  im pflichtschulbau umgesetzt werden kann  klare regeln für das zusammenspiel schule und  unternehmen einrichtung einer servicestelle die  bei fragen zum thema schulen und unternehmen  beratend zur seite steht z  b  bezüglich berufsinformation durch unternehmen prüfung der einrichtung von fonds für schulveranstaltungen bei den bildungsdirektionen damit soll  benachteiligten standorten geholfen werden die  kosten für schulveranstaltungen workshops ausflüge etc abzudecken  eventuell gespeist durch  regionale unternehmen;1.0;1_weiterentwicklung_schulen_pädagogen_hochschulen;weiterentwicklung - schulen - pädagogen - hochschulen - pädagogischen - evaluierung - ausbau - schülerinnen - prüfung - bereich;1.0;1.0;model 0
personalentwicklung am schulstandort qualitätssicherung der fort und weiterbildung vor allem in  bezug auf die vortragenden  bildungswegentscheidung unterstützen durch  individualisierte kompetenzfeststellung die entscheidung über die weitere bildungslaufbahn soll  nicht mehr nur von einer leistungsfeststellung  schulnachricht der  schulstufe abhängig gemacht  werden sondern auf basis der ergebnisse einer  individualisierten kompetenzfeststellung in der ;1.0;1_weiterentwicklung_schulen_pädagogen_hochschulen;weiterentwicklung - schulen - pädagogen - hochschulen - pädagogischen - evaluierung - ausbau - schülerinnen - prüfung - bereich;1.0;1.0;model 0
demzufolge hat mit entsprechenden konsequenzen zu rechnen wer sich nicht an unsere  rechtsordnung hält;0.0;0_prüfung_stärkung_schaffung_evaluierung;prüfung - stärkung - schaffung - evaluierung - ziel - berücksichtigung - sicherheit - maßnahmen - unternehmen - möglichkeit;1.0;1.0;model 1
 im rahmen seiner mitgliedschaft im vnmenschenrechtsrat bis ende dezember  wird österreich  aktiv zur entwicklung und stärkung des internationalen menschenrechtsschutzes beitragen;1.0;1_österreichs_stärkung_eu_kunst;österreichs - stärkung - eu - kunst - kultur - integration - zusammenarbeit - ebene - europäischen - migration;1.0;1.0;model 1
 fliegende wahlkommissionen werden weiterhin  bei krankheitsfällen eingesetzt die betreffenden wahlkommissionen sollten unter möglichst weitgehender einbindung der wahlwerbenden  gruppen gebildet werden;0.0;0_prüfung_stärkung_schaffung_evaluierung;prüfung - stärkung - schaffung - evaluierung - ziel - berücksichtigung - sicherheit - maßnahmen - unternehmen - möglichkeit;1.0;1.0;model 1
 wahlkartenbeantragung kann nur individuell übertragen werden und nicht durch eine organisation;0.0;0_prüfung_stärkung_schaffung_evaluierung;prüfung - stärkung - schaffung - evaluierung - ziel - berücksichtigung - sicherheit - maßnahmen - unternehmen - möglichkeit;1.0;1.0;model 1
