Document;Topic;Name;Top_n_words;Probability;Representative_document;model
bauen wir gemeinsam an einer nachhaltigen zukunft bundesministerin   elisabeth köstingerinhalt  zusammenfassung    stimmen des for st und holzsektors    der österreichische f orst und holzsektor    der österreichische w aldfonds    die österreichische holzinitiativ e   ziele der holzinitiative    ansprüche und prinzipien der holzinitiative    themenmodule der österreichischen holzinitiativ e   governance    holzbau    innovation    ausbildung    kommunikation    energie    leuchttürme    beitrag zum europäischen bauhaus demonstrationsgebäude    bauen gestalten und leben mit holz    beitrag zum europäischen bauhaus stiftungsprofessur    nachhaltiges bauen mit holz und anderen biobasierten baustoffen    beitrag zum europäischen bauhaus doctoral school    mit holz eine nachhaltige zukunft bauen    woodcircle  thinkwood    informationen zur abwicklung und kontakte   zusammenfassung der österreichische wald und holzsektor stellt einen wesentlichen faktor für die wertschöpfung im ländlichen raum dar die branche hat jedoch sehr große herausforderungen  zu meistern vor allem der klimawandel und die damit einhergehende gefährdung der  waldbestände hat die politik dazu veranlasst die waldbewirtschafterinnen und waldbewirtschafter sowohl finanziell als auch rechtlich bestmöglich zu unterstützen und  impulse für die wertschöpfungskette zu setzen die bundesregierung hat daher ein  entsprechendes entlastungs und investitionspaket geschnürt ziel des rund  millionen euro großen waldfonds ist es waldbäuerinnen und waldbauern bei der behebung  und vorbeugung von waldschäden zu unterstützen die entwicklung klimafitter wälder sowie die verwendung des nachhaltig produzierten rohstoffs holz als aktiven beitrag  zum klimaschutz zu stärken die schaffung weiterer absatzmöglichkeiten von schadholz und der erlös daraus ermöglichen es den waldbesitzerinnen und waldbesitzern  die für einen klimafitten wald notwendigen investitionen zu tätigen;16.0;16_holz_holzinitiative_bauen_europäischen;holz - holzinitiative - bauen - europäischen - holzwirtschaft - zukunft - bauhaus - forst - beitrag - unterstützen;1.0;1.0;model 0
in der vorliegenden broschüre werden die umfangreichen aktivitäten der holzinitiative  vorgestellt welche vom bundesministerium für landwirtschaft regionen und tourismus bmlrt im einvernehmen mit dem bundesministerium für bundesministerium für klimaschutz umwelt energie mobilität innovation und technologie bmk aus mitteln  des österreichischen waldfonds finanziell unterstützt werden die maßnahmen reichen  über die gesamte wertschöpfungskette und zielen sowohl auf eine forcierte stoffliche  als auch eine strategisch definierte energetische holzverwendung ab die maßnahmen  bezüglich der energetischen holzverwendung umfassen die errichtung von forschungs anlagen sowie diverse forschungsprojekte zur herstellung von gas wasserstoff und  treibstoffen aus holz im zentrum der sehr breit ausgelegten maßnahmen zur stärkung  der stofflichen nutzung von holz stehen neben der förderung von bauten in holzbauweise die proaktive forschung und maßnahmen im bereich aus und weiterbildung sowie  netzwerkbildung optimierte rechtliche und gesellschaftliche rahmenbedingungen sollen  zur erhöhung des beitrags von holz im sinne der bioökonomie und des klimaschutzes  führen weiters soll die internationale positionierung österreichs als wald und holzland  ausgebaut und forciert werden;12.0;12_holz_holzinitiative_klimaschutz_wald;holz - holzinitiative - klimaschutz - wald - sinne - bioökonomie - waldfonds - verwendung - rohstoffes - holzprodukten;1.0;1.0;model 0
 wifo  regionale beschäftigung im cluster  forst und holzwirtschaft in österreich  economica institut für wirtschaftsforschung  bedeutung der forst und holzwirtschaft für österreichs wirtschaft die europäischen verbände der forst und holzwirtschaft sind sich einig die stoffliche  anwendung heimischer laubholzarten muss speziell innerhalb von europa gesteigert werden forschung und entwicklung aber auch die aus und weiterbildung sind dabei  schlüsselfaktoren mit der holzinitiative könnten wir einen noch höheren volkswirtschaftlichen nutzen von holz erreichen und zu einem klimafitten wald von morgen beitragen;16.0;16_holz_holzinitiative_bauen_europäischen;holz - holzinitiative - bauen - europäischen - holzwirtschaft - zukunft - bauhaus - forst - beitrag - unterstützen;1.0;1.0;model 0
einem holzvorrat von über  milliarden festmetern und einem jährlichen zuwachs von  etwa  millionen festmeter steht eine jährliche holznutzung von rund  millionen  festmeter gegenüber ein großteil des holzes wird für stoffliche anwendungen genutzt;4.0;4_jahr_tonnen_pro_kopf;jahr - tonnen - pro - kopf - dmc - material - materialverbrauch - materialfußabdruck - use - lag;1.0;1.0;model 0
so durchlaufen etwa zwei drittel des frischholzaufkommens als säge und industrierundholz die holzverarbeitende industrie inklusive der produktion von zellstoff rund ein viertel wird als brennholz und hackgut direkt energetisch genutzt  holz spielt auch  eine zentrale rolle in der strategischen entwicklung einer österreichischen bioökonomie als bedeutendste nachwachsende biogene ressource österreichs bildet holz die  grundlage für eine vielfältige produktpalette;12.0;12_holz_holzinitiative_klimaschutz_wald;holz - holzinitiative - klimaschutz - wald - sinne - bioökonomie - waldfonds - verwendung - rohstoffes - holzprodukten;1.0;1.0;model 0
eine leistungsfähige holzindustrie und wettbewerbsfähige gewerbebetriebe im  cluster forst und holzwirtschaft schaffen viele arbeitsplätze vor allem in den ländlichen  regionen insgesamt gibt es in österreichs holzwirtschaft inkl der vorleistungen   beschäftigte das sind    der h eimischen arbeitsplätze somit hängt jeder   arbeitsplatz in österreich von der holzindustrie ab in der gesamten wertschöpfungskette forst und holzwirtschaft sorgen rund  arbeitsplätze für beschäftigung in den regionen jeder  arbeitsplatz und jeder  euro der österreichischen bruttowertschöpfung sind somit auf die forst und holzwirtschaft zurückzuführen ;3.0;3_kreislaufwirtschaftsstrategie_nachhaltige_ziel_holzwirtschaft;kreislaufwirtschaftsstrategie - nachhaltige - ziel - holzwirtschaft - wirtschaft - kreislaufwirtschaft - euro - europaische - europaischen - umweltziele;1.0;1.0;model 0
österreichs regionen haben durch ihr breites angebot an nutzbaren nachwachsenden rohstoffen mit holz als wichtigen massenrohstoff sowie die vielen innovativen klein und mittelunternehmen eine hervorragende ausgangsbasis für die stärkung und  weiterentwicklung der bioökonomie regionale und kommunale akteure in den relevanten  bioökonomiesektoren zu denen auch die holzbasierte wertschöpfungskette zählt sollen  zu vorzeigeprojekten motiviert werden die über ein netzwerk verbreitet weit über die region sichtbar sein sollen;16.0;16_holz_holzinitiative_bauen_europäischen;holz - holzinitiative - bauen - europäischen - holzwirtschaft - zukunft - bauhaus - forst - beitrag - unterstützen;1.0;1.0;model 0
die österreichische holzindustrie ist der internationale technologieführer im modernen holzbau und hat weltweit bereits zahlreiche  leuchtturmprojekte umgesetzt je mehr holz im bau genutzt wird  oder zu holzprodukten verarbeitet wird desto mehr kohlenstoff wird  gebunden und desto besser ist es für das klima die österreichische  holzinitiative kann dazu beitragen dass der holzbau den stellenwert erreicht den er durch seine klimafreundlichen eigenschaften verdient   dr erich wiesner eigentümer wiehag holding  gmbh  ziele der holzinitiative neben der im österreichischen waldfonds verankerten holzrelevanten zielbereiche  verfolgt die holzinitiative folgende teilziele   optimale nutzung des heimischen nachwachsenden roh bau und werkstoffes  sowie energieträgers holz im sinne der bioökonomie und des klimaschutzes unter berücksichtigung geltender nachhaltigkeitskriterien   steigerung der nachhaltigen holzverwendung mit dem ziel die emissionen der treibhausgase zu reduzieren eine bestmögliche substitution von co intensiven  materialien zu erreichen und die speicherung von kohlenstoff in langlebigen holzprodukten auszubauen   erhaltung und ausbau des holzstandortes österreich mit seinen innovativen holzbasierten wertschöpfungsketten   absicherung und erhöhung des einkommens bzw schaffung regionaler arbeitsplätze entlang der holzbasierten wertschöpfungskette   lösung konkreter problemstellungen hinsichtlich verwendung von holz für stoffliche und energetische zwecke im sinne der klimaneutralität  förderung neuer und innovativer produkt und prozessentwicklungen im sinne der  bioökonomie und der kreislaufwirtschaft   förderung von technischen lösungen prozessen und dienstleistungen als signifikanter beitrag zur ressourcen und energiewende sowie zum klimaschutz  anpassung und schaffung von rahmenbedingungen normen und anderer regelwerke für die energetische und stoffliche holznutzung  entwicklung und umsetzung moderner und innovativer ansätze in der österreichischen aus und weiterbildung zu unterschiedlichen thematischen schwerpunkten als  beitrag zum aufbau und zur weiterentwicklung von fachspezifischem  hu mankapital  förderung von interdisziplinären kooperationen zwischen wirtschaft wissenschaft und bildung  aktive gestaltung der holzpolitik durch mitwirkung in relevanten nationalen europäischen und internationalen formulierungs und umsetzungsprozessen  absicherung und stärkung der rahmenbedingungen für eine nachhaltige bereitstellung des rohstoffes holz und der aufbereitung als sekundärrohstoff im sinne der kreislaufwirtschaft  ansprüche und prinzipien der holzinitiative  die maßnahmen und aktivitäten der holzinitiative werden von folgenden grundsätzen getragen  visionsorientierte herangehensweise im sinne eines nachhaltigen dekarbonisierten gesellschafts und wirtschaftssystems   initiieren mutiger neuer und innovativer wege entlang der holzbasierten wertschöpfungskette   gesamtheitlicher zugang von der forschung über die bildung bis zum markt   fokussierung auf die erarbeitung von praxis und ergebnisorientiertem output    berücksichtigung bestehender strategien programme und initiativen sdgs   österreichische strategie nachhaltige entwicklung österreichische waldstrategie bioökonomiestrategie österreich nationaler klima und energieplan klimawandelanpassungsstrategie biodiversitätsstrategie etc   vernetzung von und zusammenarbeit mit themenrelevanten akteuren stakeholdern und institutionen  die holzinitiative ist ein holistisches gesamtpaket zur lösung von  herausforderungen unserer zeit im sinne einer nachhaltigen gegenwart und zukunft  österreichische holzinitiative short facts österreichische holzinitiative  verwirklichung von verschiedenen maßnahmen mit aufeinander abgestimmten förderungen services und dienstleistungen in zwei großen  teilbereichen  stoffliche verwendung von holz  energetische verwendung von holz   innovationen im forst und holzsektor generieren die signifikant zur   ressourcen und energiewende beitragen und den wald und dessen  bewirtschaftung zukunftsfit machen   neue produkte im sinne der bioökonomie und kreislaufwirtschaft   neue technische lösungen für holz und holzbau   neue prozesse und dienstleistungen rund um das thema holz   wissenstransfer und netzwerkbildung bauhaus bildungsschirm etc  ;12.0;12_holz_holzinitiative_klimaschutz_wald;holz - holzinitiative - klimaschutz - wald - sinne - bioökonomie - waldfonds - verwendung - rohstoffes - holzprodukten;1.0;1.0;model 0
 oecd  global material resources outlook to ;4.0;4_jahr_tonnen_pro_kopf;jahr - tonnen - pro - kopf - dmc - material - materialverbrauch - materialfußabdruck - use - lag;1.0;1.0;model 0
wichtige synergien gibt es mit der energieforschungs und innovationsstrategie   dem nationalen energie und klimaplan nekp  und dem mobilitatsmasterplan    da die kreislaufwirtschaft fur die erreichung der klimaziele unerlasslich ist das gilt  auch fur die biodiversitatsstrategie  und den aktionsplan mikroplastik  zudem ist die  kreislaufwirtschaft ein wichtiger eckpfeiler fur die in erarbeitung befindliche standortstrategie  und baut auf dem digitalen aktionsplan auf  wesentlicher treiber fur die  transformation ist innovation die durch die ftistrategie  der bundesregierung   und den ftipakt  zusatzlich dynamik bekommen soll eine wichtige rolle  spielen auch raumplanung bodenschutz gebaude infrastruktur und verkehrsplanung  die starken einfluss auf den ressourcenbedarf haben;5.0;5_kreislaufwirtschaft_transformation_ziele_kreislaufwirtschaftsstrategie;kreislaufwirtschaft - transformation - ziele - kreislaufwirtschaftsstrategie - economy - circular - wirtschaft - klimaschutz - universitat - synergien;1.0;1.0;model 0
