Document;Topic;Name;Top_n_words;Probability;Representative_document;model
unter einer verantwortungsvollen datennutzung verstehen wir dabei aber nicht nur die  einhaltung  des rechtsrahmens sondern auch die  orientierung an zentralen ethischen grundsätzen  und  prinzipien sowie die berücksichtigung der  nach dem stand der technik erarbeiteten qualitäts  und  sicherheitskriterien hierzu gehören  für uns auch eine hohe datenqualität hohe standards des  datenmanagements und sorgfältige dokumentation sowie transparente datenauswer  tung bei der  nutzung von daten ist nicht alles  was technisch möglich ist auch ethisch vertretbar  und politisch  wünschenswert die mit der verarbeitung von großen datenmengen verbundenen möglichkei ten über  profiling und scoring  verhalten zu prognostizieren und zu steuern sowie präferenzen zu  beeinflussen müssen kritisch  hinterfragt und gegebenenfalls begrenzt werden;9.0;9_verbraucher_daten_verbraucherinnen_datenschutz;verbraucher - daten - verbraucherinnen - datenschutz - vertrauen - pims - schutz - management - datenschutzrecht - datensouveränität;1.0;1.0;(5.0, 0.0, 15, 3)
vertrauen in die rahmenbedingungen infrastrukturen und akteure ist die bas is dafür dass  daten  die geteilt werden dürfen auch tatsächlich geteilt werden und vertrauen in die daten  und in ihre  quelle ist die basis dafür dass daten  die geteilt werden auch tatsächlich genutzt werden wer der  quelle der daten nicht vertraut d er vertraut auch den daten nicht und wird sie nicht  entsprechend  nutzen oder aus ihnen erkenntnisse ziehen;9.0;9_verbraucher_daten_verbraucherinnen_datenschutz;verbraucher - daten - verbraucherinnen - datenschutz - vertrauen - pims - schutz - management - datenschutzrecht - datensouveränität;1.0;1.0;(5.0, 0.0, 15, 3)
weiterentwicklung   wir sind davon überzeugt dass wir dank der  maßna hmen der datenstrategie unsere europäischen  werte unsere vorstellungen von datenschutz und souveränität im zeitalter von globalem   datenverkehr und vernetzung durchsetzen  können und unsere art des umgangs mit daten  so  vorbild werden kann;0.0;0_europäischen_europäische_ki_bundesregierung;europäischen - europäische - ki - bundesregierung - kommission - eu - daten - ebene - europa - europäischer;1.0;1.0;(5.0, 0.0, 15, 3)
i das fundament   dateninfrastrukturen  leistungsfähig und  nachhaltig ausgestalte     leistungsfähige und nachhaltig ausgestaltete dateninfrastrukturen sind notwendige voraussetzung   für innovation in der  datenökonomie sie bilden   die technische basis aus komponenten und  diensten auf der daten verfügbar sind und software und  services bereitgestellt werden können;23.0;23_dateninfrastrukturen_datenökonomie_dateninfrastruktur_nachhaltige;dateninfrastrukturen - datenökonomie - dateninfrastruktur - nachhaltige - datenöko - leistungsfähiger - transparenz - ausbau - vernetzung - normdatei;1.0;1.0;(5.0, 0.0, 15, 3)
 neben dem quantencomputing suchen forscherinnen und forscher rund um die welt nach neu en  verarbeitungs  und speichermöglichkeiten  für riesige dat enmengen hierzu zählen u a    neuromorphe chips sowie verbesserungen für  cpus und spezialprozessoren wie  gpus auch  in  deutschland forschen institute und start ups an innovationen in diesem hochtechnologiebe reich;17.0;17_quantencomputing_hochleistungsrechnen_chips_bmbf;quantencomputing - hochleistungsrechnen - chips - bmbf - mikroelektronik - ict - computern - elektronik - high - datenverarbeitung;1.0;1.0;(5.0, 0.0, 15, 3)
 regulierung verbesserung  der rahmenbedingungen   aufgrund der vielfältigen datenquellen einer  vielfalt von akteurinnen und akteuren sowie   nutzungsformen kann es eine einheitliche regu lierung zum umgang mit daten nicht geben es   bedarf einer differenzierten und bedarfsgerech ten regulierung die den verschiedenen interes sen  und schutzgütern rechnung trägt dies führt  in einem föderalstaat wie deutschland jedoch  zu einer  großen anzahl von gesetzen zum um gang mit daten die in vielen fällen eine spürbare   rechtsunsicherheit bei den rechtsanwenderin nen und anwendern hervorgerufen haben die se  rechtsunsicherheit gilt es insbesondere auch  durch untergesetzliche maßnahmen weit er  abzubauen um eine einheitliche datenschutzpraxis  zu etablieren;0.0;0_europäischen_europäische_ki_bundesregierung;europäischen - europäische - ki - bundesregierung - kommission - eu - daten - ebene - europa - europäischer;1.0;1.0;(5.0, 0.0, 15, 3)
dem beschäftigtendatenschutz kommt  dabei eine grundlegende rolle z u die daten  von  arbeitnehmerinnen und arbeitnehmern zu  schützen ihr vertrauen in neue technologien  wie big  data und künstliche intelligenz zu stär ken und so den weg in eine datenökonomie zu  ermöglichen;9.0;9_verbraucher_daten_verbraucherinnen_datenschutz;verbraucher - daten - verbraucherinnen - datenschutz - vertrauen - pims - schutz - management - datenschutzrecht - datensouveränität;1.0;1.0;(5.0, 0.0, 15, 3)
es fehlt bei der datenerhebung zum teil an per spektiven der nachnutzung besonders bei  forschungsdaten abhilfe können neben rechtlichen  absicherungen vor allem technische lösungen   bieten die den datenschutz gewährleisten da her werden wir durch institutionelle organisato rische  und rechtliche maßnahmen deutschland  zum vorreiter in der forschung zur technischen   depersonalisierung von daten machen die ver besserung technischer lösungen zur   anony misierung von daten auch in  echtzeit ist von  großer bedeutung um den austausch und  eine  nachnutzung von daten zu intensivieren sys teme die datenschutz durch technikgestaltung   sowie datenschutz durch voreinstellungen be inhalten sollten einen besonders hohen stellen wert in  der forschungsförderung und beim zu gang zu daten erhalten technische protokolle  und standards  zur anonymisierung können bei spielsweise von  datentreuhändern implemen tiert und dadurch  skaliert werden daher sollen  die forschungsergebnisse im bereich anonymi sierung auch allen  akteurinnen und akteuren im  datenökosystem als frei nutzbare open source lösungen zur  verfügung stehen;24.0;24_daten_wachstum_stehen_nachhaltiges;daten - wachstum - stehen - nachhaltiges - datennutzung - datenexperten - kernversprechen - anreize - sollten - teilhabe;1.0;1.0;(5.0, 0.0, 15, 3)
dazu kommt dass unsicherheit in unternehmen  herrscht wann eine hinreichende anonymisierung   von personenbezogenen daten vorliegt und inwie fern durch industriemaschinen generierte daten   einblick in betriebs  und geschäftsgeheimnisse  ermöglichen und die eigene wettbewerbssitua tion  beeinträchtigen viele akteurinnen und ak teure kennen auch den nutzen von daten nicht  so dass  sie dies nicht als notwendige verhand lungsposition beim vertragsschluss sehen der  zugang zu  diesen daten besteht dann exkl usiv für einige wenige akteurinnen und akteure ak tuell werden viele daten nicht oder nur zu weni gen zwecken durch die hersteller von produk ten genutzt die  warenkäuferinnen und käufer  leasingnehmerinnen und nehmer sowie wei tere berechtigte  ware nbesitzerinnen und besit zer erhalten zumeist nicht die daten die ihre  produkte generieren;21.0;21_unternehmen_daten_zugang_marktmacht;unternehmen - daten - zugang - marktmacht - digitalisierungsgesetz - gwb - prozent - nutzerinnen - nutzer - kunden;1.0;1.0;(5.0, 0.0, 15, 3)
studien zeigen dass es datengetriebene märkte  gibt auf denen es für wettbewerber mit deutlich   weniger daten oder dem zugang hierzu prak tisch ausgeschloss en ist auf mittlere frist die  marktposition des dominanten unternehmens  einzuholen dies führt zu geringeren  innova tionsanreizen als wünschenswert und kann z b  auch für verbraucherinnen und  verbraucher ne gative effekte haben z b durch verknüpfung be nachbarter märkte oder  missbrauchspotenzial;21.0;21_unternehmen_daten_zugang_marktmacht;unternehmen - daten - zugang - marktmacht - digitalisierungsgesetz - gwb - prozent - nutzerinnen - nutzer - kunden;1.0;1.0;(5.0, 0.0, 15, 3)
 wir werden den digital markets act dma un terstützen hierbei sollen unter bestimmten  voraussetzungen beschränkungen des zugangs zu  daten durch digitale plattformen verboten  werden bmwi ;26.0;26_ansprüche_dma_markets_act;ansprüche - dma - markets - act - inhalte - geschützt - text - voraussetzungen - verboten - digitaltauglichkeitscheck;1.0;1.0;(5.0, 0.0, 15, 3)
 mit einer studie  zu den ökonomischen und  wettbewerbsrechtlichen rahmenbedingun gen für  primär  und sekundärdatenmärkte in  deutschland und der eu verbessern wir die wis senschaftliche  grundlage für mögliche weitere  legislative maßnahmen bmwi ;24.0;24_daten_wachstum_stehen_nachhaltiges;daten - wachstum - stehen - nachhaltiges - datennutzung - datenexperten - kernversprechen - anreize - sollten - teilhabe;1.0;1.0;(5.0, 0.0, 15, 3)
 wir pilotieren eine systematische datenbasierte  messung der leistungsfähigkeit und effizienz  des  deutschen gesundheitssystems mittels ge eigneter indikatoren und datengrundlagen der  aufbau  eines solchen instruments bietet erheb liche chancen für ein kontinuierliches moni toring des  gesundheitssystems die identifizie rung seiner stärken und schwächen und damit  die schaffung  einer evidenzbasierten entschei dungsgrundlage für die politiksteuerung bmg ;15.0;15_deutschen_nationalbibliothek_gesundheitsdaten_dashboard;deutschen - nationalbibliothek - gesundheitsdaten - dashboard - laufend - codes - sekundärnutzung - nfdi - nationale - of;1.0;1.0;(5.0, 0.0, 15, 3)
 im rahmen des förderschwerpunkts digitale  innovationen für die verbesserung der  patien tenzentrierten versorgung im gesundheitswe sen fördern wir projekte die konzepte für eine   bessere datennutzung für forschung und ver sorgung entwickeln bmg ;8.0;8_gesundheit_versorgung_patienten_patientinnen;gesundheit - versorgung - patienten - patientinnen - gesundheitsversorgung - forschung - gesundheitsdaten - elektronischen - bmg - daten;1.0;1.0;(5.0, 0.0, 15, 3)
 die etablierung eines europäischen gesund heitsdatenraums und die erleichterung der  sekundärnutzung von gesundheitsdaten in der  eu wird durch uns u a mit der beteiligung an  der  joint action towards the european health  data space und der erstellung spezifischer  verhaltensregeln codes of conduct durch die ak teurinnen und akteure nachdrücklich unter stützt;15.0;15_deutschen_nationalbibliothek_gesundheitsdaten_dashboard;deutschen - nationalbibliothek - gesundheitsdaten - dashboard - laufend - codes - sekundärnutzung - nfdi - nationale - of;1.0;1.0;(5.0, 0.0, 15, 3)
bmg  datenraum mobilität ;12.0;12_mobilität_bmvi_mobilitätsdaten_datenraum;mobilität - bmvi - mobilitätsdaten - datenraum - raumfahrt - ki - systeme - innovativer - entwicklung - autonomen;1.0;1.0;(5.0, 0.0, 15, 3)
 wir wollen die rechtlichen rahmenbedingun gen zur bereitstellung von mobilitätsdaten wei ter  konkretisieren und ausbauen bmvi  datenraum land  wald  und holzwirtschaft ;12.0;12_mobilität_bmvi_mobilitätsdaten_datenraum;mobilität - bmvi - mobilitätsdaten - datenraum - raumfahrt - ki - systeme - innovativer - entwicklung - autonomen;1.0;1.0;(5.0, 0.0, 15, 3)
dies ist unerlässlich um den verpflichtungen zur  klimaberichterstattung auf eu  und internatio naler  ebene nachzukommen welche im bmu  zusammengetragen werden zudem können  diese daten  dazu beitragen effiziente s trategien  zur treibhausgasminderung in der landwirt schaft zu  entwickeln bmel ;14.0;14_bmel_landwirtschaft_bmu_trinkwasserdatenbank;bmel - landwirtschaft - bmu - trinkwasserdatenbank - treibhausgasemissionen - agrardatenplattform - lebensmittelkette - agrardaten - lokaler - basis;1.0;1.0;(5.0, 0.0, 15, 3)
 wir prüfen inwieweit im rahmen unserer ko operationen mit entwicklungs  und schwel lenländern  die potenziale der satellitenfern erkundung im bereich der landwirtschaft und  sektorüber greifend  genutzt werden können;19.0;19_geodaten_geoportalde_geoinformationen_bevölkerungsschutz;geodaten - geoportalde - geoinformationen - bevölkerungsschutz - geologischen - bgr - bundesamt - geoinformation - earth - geodäsie;1.0;1.0;(5.0, 0.0, 15, 3)
wo stehen wir  nicht personenbezogene daten werden in  deutschland noch viel zu wenig genutzt  und ge teilt innovative datenkooperationen können  insbesondere durch neue akteure im  datenöko system befördert werden zu diesen akteuren ge hören beispielsweise datentreuhän der;24.0;24_daten_wachstum_stehen_nachhaltiges;daten - wachstum - stehen - nachhaltiges - datennutzung - datenexperten - kernversprechen - anreize - sollten - teilhabe;1.0;1.0;(5.0, 0.0, 15, 3)
unternehmen teilen daten überwiegend mit kun dinnen und kunden  prozent lieferantinnen   und lief eranten  prozent viel seltener mit an deren brancheneigenen oder branchenfremden   unternehmen  prozent oder gar wettbewer berinnen und wettbewerbern  prozent;21.0;21_unternehmen_daten_zugang_marktmacht;unternehmen - daten - zugang - marktmacht - digitalisierungsgesetz - gwb - prozent - nutzerinnen - nutzer - kunden;1.0;1.0;(5.0, 0.0, 15, 3)
 vermittlung un d bedarf  der datenkompetenz in der  wirtschaft ;20.0;20_daten_datennutzung_open_data;daten - datennutzung - open - data - bund - bisher - derzeit - behörden - portale - bzw;1.0;1.0;(5.0, 0.0, 15, 3)
wir haben nicht erst in der covid pandemie er lebt dass der datenaustausch und kollaboratives   arbeiten unabdingbar für unsere gese llschaft aber  auch für das verwaltungshandeln sind die hier   für vorgesehene bundescloud ist derzeit noch im  aufbau sie ist als plattform eine notwendige aber   alleine noch keine hinreichende basis für daten basiertes arbeiten wesentliche strukturen für eine   optimierung der datenerhebung haltung nutzung und pflege fehlen daher existiert bisher kein   gemeinsamer interner  datenpool in der verwal tung über den die verschiedenen behörden daten   in einem einheitlichen standardisierten  format  zusammenführen und nutzen selbst ein über blick  darüber welche daten bei welcher behörde  und in welchem format überhaupt vorliegen sog;20.0;20_daten_datennutzung_open_data;daten - datennutzung - open - data - bund - bisher - derzeit - behörden - portale - bzw;1.0;1.0;(5.0, 0.0, 15, 3)
datenlandkarte existiert derzeit weder für mi nisterien noch für die bundesverwaltung als  ganzes ein  datenaustausch zwischen dem bund den  ländern und den kommunen findet nur  punktu ell und teilweise nur auf anfrage statt;20.0;20_daten_datennutzung_open_data;daten - datennutzung - open - data - bund - bisher - derzeit - behörden - portale - bzw;1.0;1.0;(5.0, 0.0, 15, 3)
 mithilfe der it maßnahme it unterstützung  open data die bestandteil des it rahmenkon zepts  des bundes ist werd en wir mit bedarfsge rechten it lösungen die bundesverwaltung bei  der  bereitstellung von open data insbesondere  durch den ausbau der plattform govdata un terstützen;5.0;5_open_daten_data_person;open - daten - data - person - datenpolitik - offener - datenstrategie - verwaltung - öffentlichen - bundesverwaltung;1.0;1.0;(5.0, 0.0, 15, 3)
was wollen wir erreichen  der staat soll innovativer akteur im datenöko system werden;23.0;23_dateninfrastrukturen_datenökonomie_dateninfrastruktur_nachhaltige;dateninfrastrukturen - datenökonomie - dateninfrastruktur - nachhaltige - datenöko - leistungsfähiger - transparenz - ausbau - vernetzung - normdatei;1.0;1.0;(5.0, 0.0, 15, 3)
 wir werden alle rechtsetzungsreferentinnen  und referenten sukzessive fachlich befähigen   digitalkompatible gesetze zu erlassen mit einem  digitaltauglichkeitscheck von gesetzen werden  wir  sie in der zwischenzeit bei der erstellung von  gesetzentwürfen unterstützen bmi ;26.0;26_ansprüche_dma_markets_act;ansprüche - dma - markets - act - inhalte - geschützt - text - voraussetzungen - verboten - digitaltauglichkeitscheck;1.0;1.0;(5.0, 0.0, 15, 3)
 vernetzung und ausbau von dateninfrastrukturen ;23.0;23_dateninfrastrukturen_datenökonomie_dateninfrastruktur_nachhaltige;dateninfrastrukturen - datenökonomie - dateninfrastruktur - nachhaltige - datenöko - leistungsfähiger - transparenz - ausbau - vernetzung - normdatei;1.0;1.0;(5.0, 0.0, 15, 3)
 bmbf aktionsplan forschungsdaten bmbf  der aktionsplan macht das potenzial von forschungsdaten in der  breite nutzbar und setzt impulse für eine selbstbestimmte datenkultur er bündelt aktivitäten und vorhaben mit dem ziel eine kultur des teilens und nachnutzens von forschungsdaten zu schaffenin planung ;27.0;27_forschungsdaten_aktionsplan_kompetenzbildung_güter;forschungsdaten - aktionsplan - kompetenzbildung - güter - afrika - aktivitäten - globale - bereich - nutzerinnen - förderung;1.0;1.0;(5.0, 0.0, 15, 3)
