Document;Topic;Name;Top_n_words;Probability;Representative_document;model
                                                                                                                                                                                                                                                                                                                                                      i präambel  das ergebnis der bundestagswahl verstehen unsere drei parteien als auftrag eine gemeinsame  regierungskoalition zu bilden;12.0;12_koalitionspartner_bündnis_stellt_grünen;koalitionspartner - bündnis - stellt - grünen - spd - staatsminister - bundesregierung - koalitionsfraktionen - staatsministerin - koalition;1.0;1.0;(5.0, 0.0, 15, 3)
wir wollen staatliches handeln schneller und effektiver machen und besser auf künftige krisen  vorbereiten wir bringen eine umfassende digitalisierung der verwaltung voran es geht darum das  leben für die bürgerinnen und bürger leichter zu machen wir werden die öffentliche infrastruktur  öffentliche räume und netze modernisieren und dafür planung genehmigung und umsetzung  deutlich beschleunigen auch die wirtschaft soll in der verwaltung einen verbündeten haben;1.0;1_digitale_digitalisierung_daten_schaffen;digitale - digitalisierung - daten - schaffen - zugang - verwaltung - digitaler - öffentlichen - stärken - digitalen;1.0;1.0;(5.0, 0.0, 15, 3)
innovation wissenschaft hochschule und forschung  deutschland ist innovationsland starke wissenschaft und forschung sind dabei die garanten für  wohlstand lebensqualität sozialen zusammenhalt und eine nachhaltige gesellschaft wir haben lust  auf zukunft und den mut zu veränderungen sind offen für neues und werden neue technologische  digitale soziale und nachhaltige innovationskraft entfachen wir setzen neue impulse für unsere  wissenschafts und forschungslandschaft unsere universitäten und hochschulen für angewandte  wissenschaften haw werden wir als herz des wissenschaftssystems stärken innovation und  transfer von der grundlagenforschung bis in die anwendung fördern und beschleunigen um unseren  wissenschaftsstandort kreativer exzellenter und wettbewerbsfähiger zu machen wollen wir ihn  europäisch und international weiter vernetzen geschlechtergerechtigkeit und vielfalt in all ihren  dimensionen sind qualitätsmerkmale und wettbewerbsfaktoren im wissenschaftssystem wir wollen  den anteil der gesamtstaatlichen ausgaben für forschung und entwicklung auf  prozent des bip bis   erhöhen;14.0;14_gesellschaft_deutsche_institut_forschung;gesellschaft - deutsche - institut - forschung - transfer - neue - universitäten - strukturschwachen - hochschulen - innovation;1.0;1.0;(5.0, 0.0, 15, 3)
zukunftsstrategie forschung  für die lösungen der großen gesellschaftlichen herausforderungen benötigen wir eine starke  wissenschafts und forschungspolitik die entwicklung eines erfolgreichen impfstoffes gegen  sarscov in deutschland zeigt wir können unser innovationspotenzial heben wenn wir unsere  ressourcen effektiv bündeln und einsetzen an diesen erfolg wollen wir anknüpfen indem wir                                                                                                                                                                                                                                                                                                                                                                 programmlinien hightechstrategie und ressortforschungen missionsorientiert weiterentwickeln;21.0;21_flächen_fischerei_biodiversität_klimaschutz;flächen - fischerei - biodiversität - klimaschutz - nationale - arzneimitteln - schutzgebiete - impfstoffen - stärken - zulassung;1.0;1.0;(5.0, 0.0, 15, 3)
                                                                                                                                                                                                                                                                                                                                                                   wir werden die institutionelle förderung von deutschem akademischen austauschdienst daad und  alexander von humboldt stiftung avh analog zum pakt für forschung und innovation erhöhen asien und chinakompetenz wollen wir deutlich ausbauen;14.0;14_gesellschaft_deutsche_institut_forschung;gesellschaft - deutsche - institut - forschung - transfer - neue - universitäten - strukturschwachen - hochschulen - innovation;1.0;1.0;(5.0, 0.0, 15, 3)
wir denken ökonomische entwicklung und ökologische verantwortung zusammen es gilt zu erhalten  was uns erhält und unsere ressourcen zu schützen der schutz von umwelt und natur ist daher  essenzieller bestandteil unseres politischen handelns die  nachhaltigkeitsziele der vereinten                                                                                                                                                                                                                                                                                                                                              nationen sdg sind richtschnur unserer politik insbesondere der kampf gegen das artensterben  verlangt hohe aufmerksamkeit und politisches handeln unser ziel ist eine nachhaltige zukunftsfähige  landwirtschaft in der die bäuerinnen und bauern ökonomisch tragfähig wirtschaften können und die  umwelt tieren und klima gerecht wird wir stärken regionale wertschöpfungsketten und tragen zum  erhalt ländlicher strukturen bei;0.0;0_energien_erneuerbaren_ausbau_strom;energien - erneuerbaren - ausbau - strom - maßnahmen - notwendigen - stärken - erneuerbarer - kommunen - naturschutz;1.0;1.0;(5.0, 0.0, 15, 3)
wir werden die konkreten rückzahlmodalitäten der coronahilfen prüfen;23.0;23_coronapandemie_schuldenbremse_schuldenregel_kommunen;coronapandemie - schuldenbremse - schuldenregel - kommunen - situation - empfehlungen - bundesregierung - rahmen - coronahilfen - altschuldenproblematik;1.0;1.0;(5.0, 0.0, 15, 3)
wir wollen im jahreswirtschaftsbericht eine wohlstandsberichterstattung integrieren die neben  ökonomischen auch ökologische soziale und gesellschaftliche dimensionen des wohlstands erfasst;15.0;15_prüfen_altersvorsorge_privates_beiträge;prüfen - altersvorsorge - privates - beiträge - rente - bürgergeld - anrechnung - förderbanken - absicherung - selbstständige;1.0;1.0;(5.0, 0.0, 15, 3)
europa sollte die chance ergreifen in einen intensiven austausch mit der neuen usregierung zur  förderung von handel und investitionen mit hohen umwelt und sozialstandards einzutreten um mit  dem transatlantischen wirtschaftsraum globale standards setzen zu können gemeinsam mit den usa  wollen wir den multilateralen handel die reform der wto die etablierung von ökologischen und  sozialen standards den wohlstand sowie die dynamik eines nachhaltigen welthandels vorantreiben;6.0;6_europäischen_europäische_eu_setzen;europäischen - europäische - eu - setzen - europa - unterstützen - standards - europäischer - ebene - partnern;1.0;1.0;(5.0, 0.0, 15, 3)
damit schützen wir die freiheit und chancen jetziger und kommender generationen wir werden die  deutsche nachhaltigkeitsstrategie und das maßnahmenprogramm nachhaltigkeit weiterentwickeln  und die governancestrukturen überprüfen;10.0;10_wirtschaft_transformation_marktwirtschaft_industrie;wirtschaft - transformation - marktwirtschaft - industrie - wohlstand - klimaziele - klimaneutralität - deutschen - klima - klimaschutz;1.0;1.0;(5.0, 0.0, 15, 3)
