Document;Topic;Name;Top_n_words;Probability;Representative_document;model
hierzu sind    mögliche langfristige klimafolgen für deutschland und seine regionen zu benennen und zu  konkretisieren    gefahren und risiken  siehe glossar  zu benennen und zu vermitteln d h;2.0;2_klimamodelle_abb_zeitraum_jahrhunderts;klimamodelle - abb - zeitraum - jahrhunderts - remo - modell - statistische - clm - klima - folgen;1.0;1.0;(7.0, 0.0, 15, 3)
die europäische meersschutzpolitik steht im zusammenhang mit den zielen der errichtung eines  weltweiten meeresschutzgebietsnetzes bis  dessen etablierung anlässlich des weltnachhal tigkeitsgipfels wsssd in johannesburg im jahr  beschlossen wurde dieser beschluss  wurde im rahmen des arbeitsprogramms schutzgebiete im rahmen der vnkonvention über  die biologische vielfalt anlässlich der  vertragsstaatenkonferenz durch die staatengemeinschaft  bekräftigt;5.0;5_anpassungsstrategie_deutsche_bundesregierung_deutschen;anpassungsstrategie - deutsche - bundesregierung - deutschen - anpassung - klimawandel - klimawandels - rahmen - beitrag - dialog;1.0;1.0;(7.0, 0.0, 15, 3)
bund und länder sollten maßnahmen zur erhaltung und nachhaltigen nutzung einer breiten basis  genetischer ressourcen ergreifen dabei sollten vorrangig insitu aber auch exsitu maßnahmen  berücksichtigt werden im hinblick auf möglic he auswirkungen des klimawandels und den er halt der anpassungsfähigkeit sollte darüber hinaus der beitrag eigenschaften und ökologische  zusammenhänge der agrobiodiversität analysiert und bewertet werden  mit dem ziel sie zu er halten und zu stärken;0.0;0_anpassung_klimawandel_klimawandels_maßnahmen;anpassung - klimawandel - klimawandels - maßnahmen - auswirkungen - sollten - folgen - entwicklung - arten - länder;1.0;1.0;(7.0, 0.0, 15, 3)
das wachsende feld der energiemeteorologie erforscht wie die energieerzeugung aus den zeit lich und räumlich wechselnden energieträgern wind und sonne an veränderte klimatische bedin gungen angepasst werden kann;1.0;1_holz_holzwirtschaft_kraftwerke_rohstoffen;holz - holzwirtschaft - kraftwerke - rohstoffen - holzbau - bauen - wohnraum - unterbrechungen - risiko - ressourcen;1.0;1.0;(7.0, 0.0, 15, 3)
durch schlechte sichtverhältnisse und nasse fahrbahnen hangrutsche und unterspülungen führen  z b zur destabilisierung und zerstörung von st raßen und bahntrassenabschnitten stürme kön nen direkt zu behinderungen führen oder über windwurf straßen gleise und stromleitungen schädigen durch hitzewellen in den sommermonaten können die unfallzahlen steigen da bei  hohen temperaturen i d r die konzentrationsfähigkeit sinkt;0.0;0_anpassung_klimawandel_klimawandels_maßnahmen;anpassung - klimawandel - klimawandels - maßnahmen - auswirkungen - sollten - folgen - entwicklung - arten - länder;1.0;1.0;(7.0, 0.0, 15, 3)
in deutschland dagegen können steigende temperaturen und geringere niederschläge im sommer  den tourismus eher begünstigen beispielsweise durch eine verlängerte sommersaison das pots daminstitut für klimaforschung geht davon aus dass deutschland als reiseland attraktiver wird;2.0;2_klimamodelle_abb_zeitraum_jahrhunderts;klimamodelle - abb - zeitraum - jahrhunderts - remo - modell - statistische - clm - klima - folgen;1.0;1.0;(7.0, 0.0, 15, 3)
für den klimaschutz ist räumliche planung bereits ein bewährtes instrument so weist etwa die  räumliche planung eignungsgebiete für windkraftanlagen aus oder legt flächen für photovoltaikanlagen fest und stimmt diese mit anderen nutzungsansprüchen wie wo hnen erholung touris mus naturschutz landwirtschaft oder der nachhaltigen gewinnung einheimischer rohstoffe um fassend ab in städten und ballungsräumen sorgt die räumliche planung  gegebenenfalls zusam men mit der landschaftsplanung  für zusammenhängende nicht bebaute gebiete grünzüge  und frischluftschneisen die vor allem einer überwärmung im sommer vorbeugen helfen wäh rend siedlungen und gebäude in jüngster zeit im rahmen der bauleitplanung und objektplanung häufig im hinblick auf maximale sonneneinstrahlung optimiert werden was im winter energe tisch von vorteil sein kann muss auch die planung künftig noch stärker nach lösungen zur ver meidung einer übermäßigen erwärmung von gebäuden und erholungsflächen im sommer su chen;0.0;0_anpassung_klimawandel_klimawandels_maßnahmen;anpassung - klimawandel - klimawandels - maßnahmen - auswirkungen - sollten - folgen - entwicklung - arten - länder;1.0;1.0;(7.0, 0.0, 15, 3)
für südwestdeutschland  zeigen die beobachtungsdaten bereits für die letzten hundert jahre ei nen überdurchschnittlichen anstieg der temperaturen die ergebnisse der klimamodelle lassen  eine fortsetzung dieses trends erwarten dies ka nn insbesondere folgen für die regionale land  und forstwirtschaft haben im oberrheingraben wird sich der klimawandel den modellen zufolge  besonders mit deutlich mehr heißen tagen und nächten sowie häufigeren und länger andauernden  hitzeperioden bemerkbar machen  eine herausforderung besonders für das gesundheitswesen  kap  als folge der sich abzeichnenden verschiebung der niederschläge vom sommer in  den winter sowie einer möglichen zunahme niederschlagsreicher westwetterlagen nimmt die  hochwassergefahr im winterhalbjahr vermutlich zu;2.0;2_klimamodelle_abb_zeitraum_jahrhunderts;klimamodelle - abb - zeitraum - jahrhunderts - remo - modell - statistische - clm - klima - folgen;1.0;1.0;(7.0, 0.0, 15, 3)
die bundesregierung strebt zudem den dialog mit weiteren wichtigen gesellschaftlichen  akteuren wie unternehmen verbänden und wissenschaft an als auftakt des dialogs zur anpassungsstrategie wird die bundesregierung im mai  eine konferenz anpassung ist  notwendig organisieren die konferenz wird mit dem ziel initiiert insbesondere mit den  bundesländern und anderen akteuren die gemeinschaftliche konkretisierung der deutschen  anpassungsstrategie anzustoßen die bundesregierung wird in der folge z b stakeholder dialoge fachgespräche oder fachkonferenzen durchführen sowie das thema anpassung an den klimawandel in bestehende dialog beteiligungs und beratungsgremien einbringen ;5.0;5_anpassungsstrategie_deutsche_bundesregierung_deutschen;anpassungsstrategie - deutsche - bundesregierung - deutschen - anpassung - klimawandel - klimawandels - rahmen - beitrag - dialog;1.0;1.0;(7.0, 0.0, 15, 3)
 anknüpfend an die ergebnisse der in kapitel  genannten bestandsaufnahme hat das bun desministeriums für verkehr bau und stadtentwicklung zusammen mit seinen fachbehör den dem wissenschaftlichen netzwerk und in abstimmung mit den bundesministerien für umwelt naturschutz und reaktorsicherheit für bildung und forschung und für ernährung  landwirtschaft und verbraucherschutz mitte  das auf  jahre angelegte ressortfor schungsprogramm kliwas auswirkungen des klimawandels auf wasserstraßen und     wwwklimabmelvde     die deutsche anpassungsstrategie vorgehen und nächste schritte          schifffahrt  entwicklung von anpassungsoptionen angestoßen kliwas setzt zunächst  seinen schwerpunkt auf die anpassungserforder nisse des wasserstraßen und schifffahrtssek tors darüber hinaus werden aber weitergehende untersuchungen für den meeres küsten ästuar und binnenbereich durchgeführt dabei fußt der weg zur entscheidungsfindung für  eine geeignete anpassungsstrategie des sektors und damit der ansatz des forschungspro gramms auf drei säulen im ersten schritt werden belastbare grundlagen durch die gezielte untersuchung der bandbreite der möglichen klimaprojektionen und der damit verbundenen  wasserhaushaltscharakteristika geschaffen im zweiten schritt werden die auswirkungen des  klimawandels auf die wirkungszusammenhänge im bereich schifffahrt und wasserstraßen analysiert themenfelder sensitivität und vulnerabilität dies umfasst die analyse der situa tion mit hilfe der gesamten modellkette angefangen von den globalen und regionalen klimaprojektionen über ozenanografische und wasserhaushaltmodelle bis hin zu morphologischen  ökologischen und gewässergütemodellen darauf gründen im dritten schritt ableitungen von  adaptionsstrategien adaptionskapazitäten und handlungsoptionen für die binnen und see wasserstraßen sowie die schifffahrt themenfeld maßnahmen und bewirtschaftung;5.0;5_anpassungsstrategie_deutsche_bundesregierung_deutschen;anpassungsstrategie - deutsche - bundesregierung - deutschen - anpassung - klimawandel - klimawandels - rahmen - beitrag - dialog;1.0;1.0;(7.0, 0.0, 15, 3)
