Document;Topic;Name;Top_n_words;Probability;Representative_document;model
 jedes vernetzte ding hat schwachstellen die ausgenutzt werden konnen und so potenziell weitverzweigte auswirkungen nach sich ziehen konnten die binnenmarktvorschriften enthalten bereits gewisse schutzvorkehrungen gegen unsichere produkte und dienste die kommission arbeitet zudem an transparenten sicherheitslosungen und zertifizierungen im rahmen des rechtsakts zur cybersicherheit sowie an der schaffung von anreizen fur produkte und dienste die sicher sind ohne an leistung einzubußen   sie wird im ersten quartal  ihr erstes fortlaufendes arbeitsprogramm der union annehmen das mindestens alle drei jahre aktualisiert werden soll damit unternehmen nationale behorden und normungsgremien sich im voraus auf kunftige europaische systeme fur die cybersicherheitszertifizierung  einstellen konnen mit der fortschreitenden verbreitung des internets der dinge werden durchsetzbare vorschriften immer wichtiger um sowohl die allgemeine resilienz als auch die cybersicherheit zu starken ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 0
 daruber hinaus wird die kommission in abstimmung mit den mitgliedstaaten und der branche die verbreitung wichtiger internetstandards einschließlich ipv   und etablierter internetsicherheitsstandards und bewahrter verfahren fur die dns routing und emailsicherheit beschleunigen   in betracht kommen aber auch regulatorische maßnahmen  zur marktsteuerung  wie eine europaische regelung zur schrittweisen ipvabschaffung falls hier keine ausreichenden fortschritte erzielt werden die eu sollte wie schon im rahmen der euafrikastrategie   die umsetzung dieser standards auch in partnerlandern fordern um die entwicklung des globalen und offenen internets zu unterstutzen und geschlossenen und kontrollierten internetmodellen entgegenzutreten schließlich wird die kommission prufen ob ein mechanismus fur eine systematischere beobachtung und erhebung aggregierter daten uber den internetverkehr sowie fur die beratung in bezug auf mogliche storungen benotigt wird   ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 0
 die eucyberabschreckung voranbringen um fur vorbeugung abschreckung und reaktion im hinblick auf boswillige cyberaktivitaten zu sorgen ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;model 0
"
               hauptziele der neuen euforststrategie werden die wirksame aufforstung sowie die erhaltung und wiederherstellung der walder in europa sein um die absorption von co zu erhohen das auftreten und das ausmaß von waldbranden einzudammen und die biookonomie unter uneingeschrankter achtung der okologischen grundsatze fur die forderung von biodiversitat voranzubringen die nationalen strategieplane im rahmen der gemeinsamen agrarpolitik sollten den forstwirten anreize fur die nachhaltige erhaltung und bewirtschaftung der walder sowie ihr nachhaltiges wachstum bieten aufbauend auf der mitteilung intensivierung der eumaßnahmen zum schutz und zur wiederherstellung der walder in der welt
                  
                wird die kommission sowohl regulatorische als auch sonstige maßnahmen ergreifen um eingefuhrte erzeugnisse und wertschopfungsketten zu fordern die nicht mit entwaldung und waldschadigung verbunden sind
            ";0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 0
"
               die naturlichen funktionen von grundwasser und oberflachengewassern mussen wiederhergestellt werden dies ist unerlasslich um die biodiversitat in seen flussen feucht und mundungsgebieten zu erhalten und wiederherzustellen sowie hochwasserschaden zu vermeiden und zu begrenzen die umsetzung der strategie vom hof auf den tisch wird die verschmutzung durch uberschussige nahrstoffe verringern daruber hinaus wird die kommission maßnahmen vorschlagen mit denen die verschmutzung durch stadtischen regenabfluss und neue oder besonders schadliche verschmutzungsquellen wie mikroplastik und chemikalien einschließlich arzneimittel bekampft werden sollen auch die kombinierten auswirkungen verschiedener schadstoffe mussen angegangen werden 
            ";0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 0
 die unionsweiten im unionsrecht geregelten treibhausgasemissionen und deren abbau mussen in der union bis spatestens  ausgeglichen sein sodass die emissionen bis zu diesem zeitpunkt auf netto null reduziert sind und die union strebt danach negative emissionen an;0.0;0_gemaß_maßnahmen_einschließlich_emissionen;gemaß - maßnahmen - einschließlich - emissionen - zeitraum - mitgliedstaat - folgende - rahmen - holz - klimaneutralitat;1.0;1.0;model 0
 der eu mangelt es an einem kollektiven lagebewusstsein fur cyberbedrohungen dies ist darauf zuruckzufuhren dass die nationalen behorden informationen aus dem privatsektor die dazu beitragen konnten den stand der cybersicherheit in der eu einzuschatzen nicht systematisch sammeln und austauschen nur ein bruchteil der vorfalle wird von den mitgliedstaaten gemeldet und der informationsaustausch ist weder systematisch noch umfassend   cyberangriffe sind moglicherweise nur ein aspekt konzertierter boswilliger angriffe auf europaische gesellschaften derzeit besteht nur eine begrenzte gegenseitige operative unterstutzung zwischen den mitgliedstaaten und es gibt keinen operativen mechanismus zwischen den mitgliedstaaten und den organen einrichtungen und sonstigen stellen der eu im falle groß angelegter grenzuberschreitender cybervorfalle oder krisen  ;1.0;1_zusammenarbeit_cyberstelle_cyberkriminalitat_einrichtungen;zusammenarbeit - cyberstelle - cyberkriminalitat - einrichtungen - reaktion - wurde - bereich - stellen - rahmen - sonstigen;1.0;1.0;model 1
 um ihre vision des cyberraums auf internationaler ebene voranzubringen muss die eu ihr engagement und ihre fuhrungsrolle im rahmen internationaler normungsverfahren verstarken und ihre vertretung in internationalen und europaischen normungsgremien sowie in anderen normungsorganisationen ausbauen   da sich digitale technologien rasch entwickeln gewinnen internationale standards die traditionelle regulierungsanstrengungen erganzen in bereichen wie ki cloud quanteninformatik und quantenkommunikation zunehmend an bedeutung drittlander setzen zunehmend auf internationale normung um ihre politische und ideologische agenda voranzubringen die haufig nicht den werten der eu entspricht daruber hinaus wachst die gefahr dass konkurrierende internationale normensysteme entstehen was zu einer fragmentierung fuhren wurde ;6.0;6_internet_schutz_internets_internationale;internet - schutz - internets - internationale - technologien - internationaler - unternehmen - cyberraums - globalen - offenen;1.0;1.0;model 1
 den cyberdialog der eu mit drittlandern regionalen und internationalen organisationen ausweiten u a durch ein informelles eunetz fur cyberdiplomatie ;5.0;5_cyberraum_zusammenarbeit_internationalen_nato;cyberraum - zusammenarbeit - internationalen - nato - handeln - vereinten - nationen - aktionsprogramm - forderung - drittlandern;1.0;1.0;model 1
 den cyberdialog der eu mit drittlandern regionalen und internationalen organisationen ausweiten u a durch ein informelles eunetz fur cyberdiplomatie ;5.0;5_cyberraum_zusammenarbeit_internationalen_nato;cyberraum - zusammenarbeit - internationalen - nato - handeln - vereinten - nationen - aktionsprogramm - forderung - drittlandern;1.0;1.0;model 1
