Document;Topic;Name;Top_n_words;Probability;Representative_document;model
und all das eröffnet österreich chancen für die zukunft auch und gerade in politisch  wirtschaftlich und global unsicheren zeiten chancen nützen heißt neue wege gehen;3.0;3_europäischen_eu_migration_internationaler;europäischen - eu - migration - internationaler - österreichs - einsatz - stärkung - menschenrechte - ebene - zukunft;1.0;1.0;(5.0, 0.25, 25, 6)
 offensive zur bekämpfung des missbrauchs öffentlicher versorgungsleistungen  neuformulierung und verschärfung der straftatbestände rund um organisierte schwarzarbeit  strukturierte mitwirkung der staatsanwaltschaft bei  der bekämpfung des organisierten schlepperwesens  maßnahmenpaket für die bekämpfung im bereich  der organisierten kriminalität u  a  durch härtere  strafen für hintermänner und mehr unterstützung  für betroffene mit klarer unterscheidung zwischen  opfer und täter  menschenhandel und ausbeutung  zwangsprostitution  illegales glücksspiel  präzisierung und ergänzung von straftatbeständen  zur effektiven bekämpfung des religiös motivierten  politischen extremismus politischer islam  evaluierung möglicher erschwerungsgründe für  religiös motivierten politischen extremismus  kampf gegen den antisemitismus  überarbeitung  des verbotsgesetzes  evaluierung und allfällige legistische überarbeitung des verbotsg unter dem aspekt der  inländischen gerichtsbarkeit insbesondere in  hinblick auf die äußerungsdelikte der  g und  f verbotsg und schließen weiterer lücken z  b ;2.0;2_prüfung_evaluierung_schaffung_stärkung;prüfung - evaluierung - schaffung - stärkung - berücksichtigung - möglichkeit - bekämpfung - weiterentwicklung - rahmen - sicherheit;1.0;1.0;(5.0, 0.25, 25, 6)
zusätzlich sehen wir es als zentrale aufgabe auf die veränderten rahmenbedingungen durch die fortschreitende  digitalisierung und globalisierung zu reagieren digitale  technologien verändern die art und weise wie inhalte  produziert verbreitet und konsumiert werden das birgt  chancen aber auch große herausforderungen die völlig  neue antworten und ansätze erfordern;4.0;4_digitale_digitalisierung_digitalen_verwaltung;digitale - digitalisierung - digitalen - verwaltung - berücksichtigung - daten - bürgerinnen - bereich - unternehmen - ermöglichen;1.0;1.0;(5.0, 0.25, 25, 6)
die schaffung von kostenwahrheit für den ausstoß von  coemissionen geht hand in hand mit der schaffung  von wahlmöglichkeiten einer sozialen abfederung der  berücksichtigung von regionalen unterschieden und der  schaffung von umstiegsmöglichkeiten für unternehmen;5.0;5_bekennt_gemeinsame_menschen_verantwortung;bekennt - gemeinsame - menschen - verantwortung - arbeit - gemeinden - schaffung - ziel - verwaltung - behinderung;1.0;1.0;(5.0, 0.25, 25, 6)
 enge abstimmung mit anderen politischen  zielsetzungen wie etwa der ftistrategie der  klima und energiepolitik der arbeitsmarktpolitischen zielsetzung und der bildungspolitik  auf stärken bauen bestehende stärken wie z  b ;0.0;0_klimaschutz_maßnahmen_umsetzung_wirtschaft;klimaschutz - maßnahmen - umsetzung - wirtschaft - ebene - europäischer - ziel - green - landwirtschaft - erhöhung;1.0;1.0;(5.0, 0.25, 25, 6)
 das ausmaß des unterstützungsvolumens orientiert  sich am ausbaufahrplan im jährigen mittel darf  dabei ein jahresmaximum von  milliarde euro nicht  überschritten werden innovative sonderprogramme  im klima und energiefonds bleiben möglich;0.0;0_klimaschutz_maßnahmen_umsetzung_wirtschaft;klimaschutz - maßnahmen - umsetzung - wirtschaft - ebene - europäischer - ziel - green - landwirtschaft - erhöhung;1.0;1.0;(5.0, 0.25, 25, 6)
ziel ist die steuerung bündelung und koordination  von tariflichen und vertrieblichen innovationen im  öffentlichen verkehr;7.0;7_verkehr_öffentlichen_einsatz_ausbau;verkehr - öffentlichen - einsatz - ausbau - prüfung - luftfahrt - bahn - verkehrs - schiene - mobilität;1.0;1.0;(5.0, 0.25, 25, 6)
 flexible nachfrageorientierte mobilitätsangebote  als ergänzung zu bahn und kraftfahrlinien auf der  letzten meile  mikroöv  absicherung gemeinwohlorientierter mobilitätsdienste dorfbus anrufsammeltaxis etc durch  klare und stabile rahmenbedingungen   bundesweiter ausbau von den öv ergänzenden  parkride bikeride und carsharinglösungen an bahnhöfen in abhängigkeit von der verfügbarkeit attraktiver zubringerdienste um die  angebote des öffentlichen verkehrs für pendlerinnen und pendler zu erweitern und aufzuwerten dafür notwendig ist auch folgendes   neuordnung parkrideregelungen öbb mit  gemeinden und ländern sowie einheitliche  bewirtschaftungs und betriebskriterien von  parkride bikeride und sharingangeboten  bekenntnis zum regionalen schienengebundenen verkehr bzw zu kostengünstigeren  alternativen des öffentlichen verkehrs  ondemandlösungen busse etc  zusammenarbeit mit dem tourismus um  auch dort die sogenannte last mile mittels  öffentlicher verkehrsmittel zu ermöglichen   bahn im fernverkehr zur attraktiven alternative  machen  prüfung der ausweitung des angebots an autoreisezügen wie beispielsweise wieninnsbruck feldkirch berücksichtigung von emobilität  durch lademöglichkeiten auf dem zug  ausbau des nachtzugangebots im fernverkehr innerösterreichisch und zu internationalen  destinationen  verbesserung der fahrradmitnahme im fernverkehr verkehrssicherheit  novelle der straßenverkehrsordnung   evaluierung der stvo auf benachteiligungen des  radfahrens und zufußgehens   abbau von rechtlichen barrieren zum wohle des  sicheren radfahrens sowie zufußgehens  ermöglichung von temporeduktionen in ortskernen und vor schulen sowie an unfallhäufungsstellen auch auf landesstraßen  stärkung des rücksichtnahmeprinzips in der stvo rettungsgasse klarstellung des begriffs stocken  des verkehrs in der stvo etwa durch konkrete  geschwindigkeitsangabe  klarstellung höchstgeschwindigkeit  kmh in  begegnungszonen  verbesserungen der lkwsicherheit   verstärkter fokus auf lkwsicherheit im verkehrssicherheitsbeirat   vertiefende ausbildung der lkwfahrerinnen  und fahrer im rahmen der berufskraftfahreraus und weiterbildung hinsichtlich verkehrssicherheit und toter winkel   bewusstseinsbildungsmaßnahmen für  besonders gefährdete gruppen von verkehrsteilnehmerinnen und teilnehmern betreffend  toter winkel  prüfung einer förderung für nachrüstung von  abbiegeassistenten  ausstattung von asfinagparkplätzen mit  einrichtungen zur korrekten ausrichtung der  spiegel von lkws sowie kontaktaufnahme und  gemeinsame evaluierung mit den mineralölfirmen ob die einrichtung solcher plätze auch bei  tankstellen möglich ist  adäquate personelle ausstattung der exekutive  für ein dichtes kontrollnetz bezüglich arbeitsrechtlicher technischer und rechtlicher belange  unter zumutbarer zeitlicher beeinträchtigung der  beamtshandelten  einführung einer verpflichtenden verkehrserziehung  inklusive einheitlicher unterrichtsmaterialen sowie  verpflichtende erstehilfekurse in allen schulen  verstärktes angebot von fort und weiterbildung  für führerscheinbesitzerinnen und besitzer um  aktuelles wissen und bewusstsein technischer und  rechtlicher neuerungen zu gewährleisten evaluierung des alkolocksystems nach ablauf der  fünfjahresfrist versuchsbeginn am  september    effektives einschreiten gegen lenkerinnen und  lenker die sich auf grund von verbotenem suchtgiftkonsum alkoholkonsum sowie des konsums von  nicht fachärztlich verschriebenen psychotropen  stoffen in einem fahruntauglichen zustand befinden  ausarbeitung eines verkehrssicherheitsprogramms  ff mit annäherung an vision zero  evaluierung und novelle der offroadvo und des  kfg in bezug auf den missbräuchlichen einsatz von  traktoren effiziente emobilität jetzt   schienen in die zukunft und mehr  bahn bim  bus  bus bahn  co  innovativ aufeinander abgestimmt benutzerfreundlich  etablierung einer gemeinsamen bestellorganisation  die als servicestelle für den bund die bundesländer  und die verkehrsbünde zur verfügung steht um  synergien zu nutzen und beschaffungskosten zu  minimieren sowie zu einer abgestimmten planung  von bahn und busverkehrsausschreibungen zu  kommen  schaffung einer nationalen buchungsplattform mit  transparenten tarifen inkl vereinheitlichung des  ticketing im öffentlichen verkehr möglichkeit mit  einem ticket mehrere verkehrsdienstleister  von  mikroöv bis schienenfernverkehr zu nutzen um  die kundenzufriedenheit zu steigern sollen die tarif  und automatensysteme harmonisiert werden  vereinheitlichung der wichtigsten tarifnebenbestimmungen und mehr vernetzung bei fahrplangestaltung  fahrgastrechte absichern und ausbauen mitwirkungspflicht für unternehmen an schlichtungsverfahren beibehalten prüfung einbezug einzeltickets  spnv  breitbandausbau entlang pendlerstrecken   bahninfrastruktur plus   evaluierung überarbeitung und ggf aufstockung des öbbrahmenplans   um die fertigstellung des zielnetzes  zu  beschleunigen und dringliche nahverkehrsprojekte in ballungsräumen rasch zu starten   entsprechend der zielrichtung des nekp erfolgt  ausgehend vom basisjahr  im gültigen  rahmenplan  eine investitionssteigerung von    p ro jahr inklusive vorausvalorisierung von    ;7.0;7_verkehr_öffentlichen_einsatz_ausbau;verkehr - öffentlichen - einsatz - ausbau - prüfung - luftfahrt - bahn - verkehrs - schiene - mobilität;1.0;1.0;(5.0, 0.25, 25, 6)
technische innovationen insbesondere betreffend ökoeffizienzsteigerung und nutzung von  seilbahnen als verkehrsmittel werden begrüßt;7.0;7_verkehr_öffentlichen_einsatz_ausbau;verkehr - öffentlichen - einsatz - ausbau - prüfung - luftfahrt - bahn - verkehrs - schiene - mobilität;1.0;1.0;(5.0, 0.25, 25, 6)
 regionale züchtung und saatgutproduktion  zur reduktion des pflanzenschutzmitteleinsatzes und zur stärkung der wertschöpfung der  betriebe vorantreiben  bürokratieabbau und effektivität im bereich lebensmittelsicherheit und veterinärwesen  mehrgleisigkeiten bei kontrollen vermeiden  entwicklung eines kontrollinformationssystems  vom betriebsmittel bis zum lebensmittel  effektive zusammenarbeit der zuständigen  behörden stärken die digitalisierung steigert die  ressourceneffizienz und verbessert  den umweltschutz  ausarbeitung und umsetzung einer digitalisierungsstrategie in der landwirtschaft im einklang mit den  zielen der gapstrategie  finanzielle unterstützung zur forcierung der  digitalisierung von zukunftsorientierten automationsunterstützten methoden und des datenmanagements in der österreichischen land und  forstwirtschaft  rechtliche absicherung der nutzung von farmmanagement und informationssystemen in der  land und forstwirtschaft z  b  datenkompatibilität  und datenportabilität  voraussetzung für precision farming schaffen um  umwelt und tiergerechte bewirtschaftungsmethoden zu unterstützen kostenfreie bereitstellung von  geodaten für die land und forstwirtschaft z  b ;4.0;4_digitale_digitalisierung_digitalen_verwaltung;digitale - digitalisierung - digitalen - verwaltung - berücksichtigung - daten - bürgerinnen - bereich - unternehmen - ermöglichen;1.0;1.0;(5.0, 0.25, 25, 6)
