Document;Topic;Name;Top_n_words;Probability;Representative_document;model
maga maria kieferpolz   vizepräsidentin der europäischen organisation der  sägewerke eos  bereich laubholz eine nachhaltige waldbewirtschaftung ist der ausgangspunkt und das fundament für  das wirtschafswunder wald und holz und aktiver klimaschutz die österreichische holzinitiative ist ein wesentlicher baustein mit der es uns gelingen kann die holzverwendung  zu steigern womit wir nicht nur die herstellung cointensiver materialien wie stahl und  beton ersetzen sondern auch das klimaschädliche co langfristig in den holzprodukten  und holzhäusern speichern das potenzial des nachwachsenden rohstoffes holz für den  klimaschutz und die volkswirtschaft ist riesig und die verstärkte verwendung von holz  und holzprodukten auch von der gesellschaft gewünscht;3.0;3_holz_holzinitiative_wald_klimaschutz;holz - holzinitiative - wald - klimaschutz - sinne - europäischen - verwendung - bioökonomie - forst - waldfonds;1.0;1.0;(5.0, 0.1, 15, 3)
 bmlrt waldinventur des bfw  daten und fakten verfügbar unter bmlrtgvat  holzströme in österreich verfügbar unter klimaaktivat  bioökonomie  eine strategie für österreich verfügbar unter bmkgvat abbildung   die österreichische waldinventur  datengrundlage   bmlrtbfw abbildung  holzströme in österreich   bezugsjahr   erstellt von di lorenz   strimitzer di martin höher  msc österreichische energieagentur  austrian energy agency  di kasimir  nemestothy lköalle werte in mio erntefestmeter festmeter fm  kubikmeter m  an gegeben  ströme  mio fm sind nicht dargestellt rundungsdifferenzen rechnerischim bereich forstholz haben sich in österreich viele leistungsfähige unternehmen etabliert welche die vorteile des europäischen binnenmarktes und die steigende nachfrage  aufgrund der wachsenden bevölkerung und neuer einsatzmöglichkeiten des rohstoffes  holz zu nutzen verstehen die zuverlässige und qualitativ hochwertige versorgung mit rohstoff aus der region und vor ort produzierten vorprodukten ist ein wichtiger standortfaktor für diese unternehmen;3.0;3_holz_holzinitiative_wald_klimaschutz;holz - holzinitiative - wald - klimaschutz - sinne - europäischen - verwendung - bioökonomie - forst - waldfonds;1.0;1.0;(5.0, 0.1, 15, 3)
 update  statistik austria gerundete zahlen  österreichische waldinventur   studie die volkswirtschaftliche bedeutung des clusters  forst und holzwirtschaft in  österreich wifo  fao forest products yearbook   notizen österreichische holzinitiative der österreichische  waldfonds die österreichischen waldbestände sind vor allem durch die auswirkungen des klimawandels zunehmend in ihrer aktuellen struktur gefährdet im rahmen des waldfondsgesetzes  hat die österreichische bundesregierung für unsere wälder ein großes zukunftspaket  in der höhe von  millionen euro geschnürt damit werden waldbesitzerinnen und waldbesitzer unterstützt die für einen klimafitten wald die notwendigen investitionen tätigen;3.0;3_holz_holzinitiative_wald_klimaschutz;holz - holzinitiative - wald - klimaschutz - sinne - europäischen - verwendung - bioökonomie - forst - waldfonds;1.0;1.0;(5.0, 0.1, 15, 3)
abbildung  der wertschopfungskreislauf die kreislaufwirtschaft ist der zentrale ansatz um das gegenwartige lineare gesellschafts und wirtschaftssystem neu zu gestalten;7.0;7_kreislaufwirtschaft_entwicklung_innovationen_forschung;kreislaufwirtschaft - entwicklung - innovationen - forschung - breite - dafur - neue - transformation - braucht - sozialen;1.0;1.0;(5.0, 0.1, 15, 3)
 oecd  the jobs potential of a transition towards a resource efficient and circular  economy;9.0;9_transformation_kreislaufwirtschaft_ziele_kreislaufwirtschaftsstrategie;transformation - kreislaufwirtschaft - ziele - kreislaufwirtschaftsstrategie - economy - circular - klimaschutz - synergien - analog - verringerung;1.0;1.0;(5.0, 0.1, 15, 3)
 bmlrt  masterplan rohstoffe  die osterreichische   kreislaufwirtschaftsstrategie das langfristige ziel der osterreichischen bundesregierung ist die osterreichische wirtschaft und gesellschaft bis  in eine umfassend nachhaltige kreislaufwirtschaft  umzugestalten nur so kann es gelingen die okologischen und okonomischen ziele  der bundesregierung allen voran die klimaneutralitat  zu realisieren und wie im  regierungsprogramm   verankert osterreich und europa als fuhrenden  industriestandort fur hochwertige ressourcenschonende und coarme produktion zu  positionieren;2.0;2_kreislaufwirtschaftsstrategie_nachhaltige_ziel_wirtschaft;kreislaufwirtschaftsstrategie - nachhaltige - ziel - wirtschaft - holzwirtschaft - kreislaufwirtschaft - euro - europaischen - agenda - umweltziele;1.0;1.0;(5.0, 0.1, 15, 3)
 bundesregierung der republik osterreich  ftistrategie kunftig gilt es die kreislaufwirtschaft analog zu klimaschutz und klimaanpassung als  zentrales leitprinzip in allen relevanten strategien und programmen zu verankern und  umgekehrt diese fur deren umsetzung zu nutzen;9.0;9_transformation_kreislaufwirtschaft_ziele_kreislaufwirtschaftsstrategie;transformation - kreislaufwirtschaft - ziele - kreislaufwirtschaftsstrategie - economy - circular - klimaschutz - synergien - analog - verringerung;1.0;1.0;(5.0, 0.1, 15, 3)
ein weiteres ziel ist die starkung der position der konsumentinnen und der  offentlichen auftraggeberinnen durch den zugang zu zuverlassigen informationen zu  reparierbarkeit und haltbarkeit von produkten konnen sie okologisch nachhaltige entscheidungen treffen und bekommen ein echtes recht auf reparatur unter wahrung  von geschaftsgeheimnissen und geistigen eigentumsrechten;11.0;11_konsumentinnen_produkten_produkte_reparatur;konsumentinnen - produkten - produkte - reparatur - konsumverhalten - starken - bereitstellung - konnen - vollzug - lange;1.0;1.0;(5.0, 0.1, 15, 3)
bis  soll der materialfußabdruck auf  tonnen pro kopf und jahr sinken;4.0;4_jahr_tonnen_pro_kopf;jahr - tonnen - pro - kopf - dmc - material - materialverbrauch - use - lag - zirkularitatsrate;1.0;1.0;(5.0, 0.1, 15, 3)
ziel  steigerung der zirkularitatsrate auf    bis  die zirkularitatsrate  lag im jahr  laut eurostat fur osterreich bei   bis   sollen    der in der wirtschaft eingesetzten materialressourcen aus der kreislauforientierten ruckfuhrung und wiederverwendung von materialien gewonnen werden;4.0;4_jahr_tonnen_pro_kopf;jahr - tonnen - pro - kopf - dmc - material - materialverbrauch - use - lag - zirkularitatsrate;1.0;1.0;(5.0, 0.1, 15, 3)
