Document;Topic;Name;Top_n_words;Probability;Representative_document;model
artikel  nationale regelungen fur datenaltruismus die mitgliedstaaten konnen organisatorische oder technische regelungen oder beides festlegen um datenaltruismus zu erleichtern hierzu konnen die mitgliedstaaten nationale strategien fur datenaltruismus festlegen diese nationalen strategien konnen insbesondere dazu dienen betroffene personen dabei zu unterstutzen sie betreffende personenbezogene daten im besitz offentlicher stellen freiwillig fur den datenaltruismus zur verfugung zu stellen und die erforderlichen informationen festzulegen die betroffenen personen in bezug auf die weiterverwendung ihrer daten im allgemeinen interesse zur verfugung gestellt werden mussen entwickelt ein mitgliedstaat solche nationalen strategien so teilt er dies der kommission mit;0.0;0_daten_datenvermittlungsdiensten_organisationen_datenaltruistischen;daten - datenvermittlungsdiensten - organisationen - datenaltruistischen - anbieter - datenvermittlungsdienste - dateninhaber - zustandigen - stelle - behorde;1.0;1.0;(5, 0.25, 30, 7)
 ein anbieter von datenvermittlungsdiensten der nicht in der union niedergelassen ist aber die in artikel  genannten datenvermittlungsdienste in der union anbietet benennt einen gesetzlichen vertreter in einem der mitgliedstaaten in denen diese dienste angeboten werden um die einhaltung dieser verordnung sicherzustellen beauftragt der anbieter der datenvermittlungsdienste den gesetzlichen vertreter neben ihm oder an seiner stelle fur datenvermittlungsdienste zustandigen behorden oder betroffenen personen und dateninhabern bei fragen im zusammenhang mit den erbrachten datenvermittlungsdiensten als anlaufstelle zu dienen der gesetzliche vertreter arbeitet mit den fur datenvermittlungsdienste zustandigen behorden zusammen und legt ihnen auf verlangen umfassend dar welche maßnahmen und vorkehrungen der anbieter von datenvermittlungsdiensten getroffen hat um die einhaltung dieser verordnung sicherzustellen es gilt dass der anbieter von datenvermittlungsdiensten der rechtlichen zustandigkeit des mitgliedstaats unterliegt in dem sich der gesetzliche vertreter befindet die benennung eines gesetzlichen vertreters durch den anbieter von datenvermittlungsdiensten erfolgt unbeschadet etwaiger rechtlicher schritte gegen den anbieter von datenvermittlungsdiensten;0.0;0_daten_datenvermittlungsdiensten_organisationen_datenaltruistischen;daten - datenvermittlungsdiensten - organisationen - datenaltruistischen - anbieter - datenvermittlungsdienste - dateninhaber - zustandigen - stelle - behorde;1.0;1.0;(5, 0.25, 30, 7)
"beantragt der dateninhaber für die bereitstellung von daten nach einem verlangen 
gemäß artikel  buchstaben b oder c einen ausgleich so darf dieser ausgleich die 
technischen und organisatorischen kosten die durch die erfüllung des verlangens 
entstehen erforderlichenfalls einschließlich der kosten einer anonymisierung und 
technischen anpassung zuzüglich einer angemessenen marge nicht übersteigen 
auf anfrage der öffentlichen stelle oder des organs der einrichtung oder der 
sonstigen stelle der union die bzw das die daten verlangt hat übermittelt der 
dateninhaber informationen über die grundlage für die berechnung der kosten und 
der angemessenen marge 
";0.0;0_daten_datenvermittlungsdiensten_organisationen_datenaltruistischen;daten - datenvermittlungsdiensten - organisationen - datenaltruistischen - anbieter - datenvermittlungsdienste - dateninhaber - zustandigen - stelle - behorde;1.0;1.0;(5, 0.25, 30, 7)
 die kommission kann auf einen mit grunden versehenen antrag eines torwachters hin oder von amts wegen einen durchfuhrungsrechtsakt erlassen in dem sie ihren beschluss darlegt den torwachter ganz oder teilweise von einer bestimmten verpflichtung nach den artikeln   oder  in bezug auf einen im benennungsbeschluss nach artikel  absatz  aufgefuhrten zentralen plattformdienst zu befreien falls die befreiung aus den in absatz  des vorliegenden artikels genannten grunden gerechtfertigt ist im folgenden befreiungsbeschluss die kommission erlasst einen solchen befreiungsbeschluss innerhalb von drei monaten nach eingang eines vollstandigen mit grunden versehenen antrags und legt eine begrundung vor in der die grunde fur die befreiung erlautert werden dieser durchfuhrungsrechtsakt wird gemaß dem in artikel  absatz  genannten beratungsverfahren erlassen;1.0;1_erlassen_torwachter_gemaß_beschluss;erlassen - torwachter - gemaß - beschluss - durchsetzung - durchfuhrungsrechtsakt - verfahren - innerhalb - artikeln - verpflichtungen;1.0;1.0;(5, 0.25, 30, 7)
 die kommission veroffentlicht und aktualisiert laufend eine liste der torwachter und die liste der zentralen plattformdienste in bezug auf welche die torwachter die in kapitel iii genannten verpflichtungen einhalten mussen;3.0;3_plattformdienste_torwachter_zentralen_unternehmen;plattformdienste - torwachter - zentralen - unternehmen - zentrale - gewerblichen - endnutzer - endnutzern - torwachters - softwareanwendungen;1.0;1.0;(5, 0.25, 30, 7)
 die kommission richtet eine hochrangige gruppe fur das gesetz uber digitale markte im folgenden hochrangige gruppe ein;3.0;3_plattformdienste_torwachter_zentralen_unternehmen;plattformdienste - torwachter - zentralen - unternehmen - zentrale - gewerblichen - endnutzer - endnutzern - torwachters - softwareanwendungen;1.0;1.0;(5, 0.25, 30, 7)
 die kommission benennt ein unternehmen das zentrale plattformdienste bereitstellt und alle in absatz  genannten schwellenwerte erreicht unverzuglich und spatestens innerhalb von  arbeitstagen nach erhalt der vollstandigen angaben nach absatz  als torwachter;3.0;3_plattformdienste_torwachter_zentralen_unternehmen;plattformdienste - torwachter - zentralen - unternehmen - zentrale - gewerblichen - endnutzer - endnutzern - torwachters - softwareanwendungen;1.0;1.0;(5, 0.25, 30, 7)
 setzt die amtshilfe nach absatz  dieses artikels nach nationalen vorschriften eine gerichtliche genehmigung voraus so ist diese von der kommission oder der fur die durchsetzung der in artikel  absatz  genannten vorschriften zustandigen nationalen behorde des mitgliedstaats oder von von diesen behorden dazu ermachtigen bediensteten zu beantragen die genehmigung kann auch vorsorglich beantragt werden;1.0;1_erlassen_torwachter_gemaß_beschluss;erlassen - torwachter - gemaß - beschluss - durchsetzung - durchfuhrungsrechtsakt - verfahren - innerhalb - artikeln - verpflichtungen;1.0;1.0;(5, 0.25, 30, 7)
 teile des programms konnen im wege europaischer partnerschaften durchgefuhrt werden die einbeziehung der union in die europaischen partnerschaften kann in einer der folgenden formen geschehen a durch beteiligung an europaischen partnerschaften die auf der grundlage einer absichtserklarung oder einer vertraglichen vereinbarung zwischen der kommission und den in artikel  nummer  genannten partnern eingerichtet werden in der die ziele der europaischen partnerschaft die verpflichtungen der kommission und der anderen partner ihre finanz undoder sachbeitrage zu leisten die zentralen leistungs und wirkungsindikatoren die zu erbringenden leistungen sowie die vorkehrungen fur die berichterstattung festgelegt werden sie schließen die identifizierung von erganzenden fuitatigkeiten ein die von den partnern und im rahmen des programms durchgefuhrt werden koprogrammierte europaische partnerschaften b durch die tatsachliche und finanzielle beteiligung an einem fuiprogramm bei dem die ziele die zentralen leistungs und wirkungsindikatoren sowie die zu erbringenden leistungen festgelegt werden auf der grundlage der verpflichtung der partner ihre finanz undoder sachbeitrage zu leisten und ihre relevanten tatigkeiten mit hilfe einer kofinanzierungsmaßnahme des programms kofinanzierte europaische partnerschaften zusammenzufuhren c durch die tatsachliche und finanzielle beteiligung an fuiprogrammen die von mehreren mitgliedstaaten gemaß artikel  aeuv oder von einrichtungen nach artikel  aeuv etwa gemeinsame unternehmen oder eitwissens und innovationsgemeinschaften nach maßgabe der eitverordnung durchgefuhrt werden institutionalisierte europaische partnerschaften institutionalisierte europaische partnerschaften werden nur dann realisiert wenn uber andere teile des programms einschließlich anderer formen europaischer partnerschaften die ziele nicht verwirklicht oder die notwendige und erwartete wirkung nicht generiert werden konnten und sofern sie durch eine langfristige perspektive und ein hohes maß an integration gerechtfertigt sind europaische partnerschaften nach artikel  oder artikel  aeuv befolgen  außer in hinreichend begrundeten fallen  eine zentrale finanzverwaltung aller finanzbeitrage im fall einer zentralen verwaltung der finanzen werden beitrage eines teilnehmenden staates auf projektebene auf der grundlage des finanzierungsbedarfs geleistet den die in diesem teilnehmenden staat niedergelassenen stellen in ihren vorschlagen beantragt haben soweit von allen teilnehmenden staaten nicht anderweitig vereinbart in den vorschriften fur solche institutionalisierten europaischen partnerschaften werden unter anderem die ziele die zentralen leistungs und wirkungsindikatoren und die zu erbringenden leistungen sowie die damit verbundenen verpflichtungen der partner finanz undoder sachbeitrage zu leisten angegeben;5.0;5_eur_cluster_programm_partnerschaften;eur - cluster - programm - partnerschaften - programms - konstanten - preisen - saule - rahmen - europaische;1.0;1.0;(5, 0.25, 30, 7)
 finanzielle beteiligungen im rahmen von programmen die aus dem efre dem esf dem emfaf und dem eler kofinanziert werden konnen als beteiligung des teilnehmenden mitgliedstaats an europaischen partnerschaften gemaß artikel  absatz  buchstaben b und c der vorliegenden verordnung gelten sofern die maßgeblichen bestimmungen der dachverordnung fur  sowie die fondsspezifischen verordnungen eingehalten werden;5.0;5_eur_cluster_programm_partnerschaften;eur - cluster - programm - partnerschaften - programms - konstanten - preisen - saule - rahmen - europaische;1.0;1.0;(5, 0.25, 30, 7)
 mit dem programm wird ein multidisziplinarer ansatz sichergestellt und gegebenenfalls fur die einbeziehung der sozial und geisteswissenschaften in alle cluster und tatigkeiten die im zuge des programms entwickelt werden gesorgt einschließlich spezieller aufforderungen zur einreichung von vorschlagen zu sozialund geisteswissenschaftlichen themen;5.0;5_eur_cluster_programm_partnerschaften;eur - cluster - programm - partnerschaften - programms - konstanten - preisen - saule - rahmen - europaische;1.0;1.0;(5, 0.25, 30, 7)
 die kosten im zusammenhang mit dem offenen zugang einschließlich der datenmanagementplane konnen erstattet werden wie es in der finanzhilfevereinbarung im einzelnen festgelegt ist;4.0;4_kosten_haushaltsordnung_unterstutzung_programms;kosten - haushaltsordnung - unterstutzung - programms - rahmen - programm - konnen - maßnahme - forderfahigen - ausgaben;1.0;1.0;(5, 0.25, 30, 7)
 die eingezogenen betrage stellen zweckgebundene einnahmen des mechanismus im sinne des artikels  absatz  der haushaltsordnung dar sobald die abwicklung aller finanzhilfen deren risiken durch den mechanismus direkt oder indirekt abgesichert werden abgeschlossen ist werden alle ausstehenden betrage vorbehaltlich der beschlusse des gesetzgebers von der kommission eingezogen und in den haushaltsplan der union eingestellt;4.0;4_kosten_haushaltsordnung_unterstutzung_programms;kosten - haushaltsordnung - unterstutzung - programms - rahmen - programm - konnen - maßnahme - forderfahigen - ausgaben;1.0;1.0;(5, 0.25, 30, 7)
 das programm wird in direkter mittelverwaltung oder in indirekter mittelverwaltung durch die fordereinrichtungen durchgefuhrt;4.0;4_kosten_haushaltsordnung_unterstutzung_programms;kosten - haushaltsordnung - unterstutzung - programms - rahmen - programm - konnen - maßnahme - forderfahigen - ausgaben;1.0;1.0;(5, 0.25, 30, 7)
 die protokollierungsfunktionen der in anhang iii absatz  buchstabe a genannten hochrisikokisysteme müssen zumindest folgendes umfassen a aufzeichnung jedes zeitraums der verwendung des systems datum und uhrzeit des beginns und des endes jeder verwendung b die referenzdatenbank mit der das system die eingabedaten abgleicht c die eingabedaten mit denen die abfrage zu einer übereinstimmung geführt hat d die identität der gemäß artikel  absatz  an der überprüfung der ergebnisse beteiligten natürlichen personen;2.0;2_hochrisikokisystem_hochrisikokisystemen_behörden_hochrisikokisystems;hochrisikokisystem - hochrisikokisystemen - behörden - hochrisikokisystems - anbieter - anhang - zuständigen - anforderungen - hochrisikokisysteme - behörde;1.0;1.0;(5, 0.25, 30, 7)
