Document;Topic;Name;Top_n_words;Probability;Representative_document;model
 die eu sollte standards und normen fur erstklassige cybersicherheitslosungen und cybersicherheitsstandards fur wesentliche dienste und kritische infrastrukturen sowie fur die entwicklung und anwendung neuer technologien vorantreiben jede organisation und jede person die das internet nutzt ist teil der losung fur einen digitalen wandel bei dem die cybersicherheit gewahrt bleibt ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;(7.0, 0.1, 30, 7)
 offentliche und private investitionen von bis zu  mrd eur im zeitraum  mithilfe der cccninvestitionen in die cybersicherheit insbesondere im rahmen der programme digitales europa und horizont europa und der aufbau und resilienzfazilitat ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;(7.0, 0.1, 30, 7)
 die cybersicherheit kritischer weltrauminfrastrukturen im rahmen des weltraumprogramms starken ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;(7.0, 0.1, 30, 7)
"
               konventionelle ansatze reichen nicht aus die forschungs und innovationsagenda der eu wird dem systemischen ansatz folgen der fur die verwirklichung der ziele des grunen deals erforderlich ist wobei experimentelle sowie sektor und fachubergreifende arbeiten einen großeren schwerpunkt bilden werden das programm horizont europa wird im rahmen von initiativen in denen gesellschaftliche pullanreize mit technologischen pushimpulsen kombiniert werden sollen auch lokale gemeinschaften in die bemuhungen um eine nachhaltigere zukunft einbeziehen 
            ";0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - mitgliedstaat - klimaneutralitat - einschließlich - folgende - rahmen - verwirklichung;1.0;1.0;(7.0, 0.1, 30, 7)
"
               als weltweit großter binnenmarkt kann die eu standards festlegen die fur globale wertschopfungsketten in ihrer gesamtheit gelten die kommission wird weiter an neuen standards fur nachhaltiges wachstum arbeiten und ihr wirtschaftliches gewicht nutzen um internationale standards so zu gestalten dass sie mit den umwelt und klimazielen der eu im einklang stehen sie wird in bilateralen und multilateralen foren darauf hinarbeiten den handel mit umweltgutern und dienstleistungen zu erleichtern und offene und attraktive eu und globale markte fur nachhaltige produkte zu unterstutzen sie wird mit globalen partnern zusammenarbeiten um fur die eu ressourcensicherheit und einen zuverlassigen zugang zu strategischen rohstoffen sicherzustellen 
            ";0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - mitgliedstaat - klimaneutralitat - einschließlich - folgende - rahmen - verwirklichung;1.0;1.0;(7.0, 0.1, 30, 7)
"
               erstens wird die strategie die grundlagen fur nachhaltige investitionen starken dies erfordert insbesondere dass das europaische parlament und der rat die taxonomie fur die klassifizierung okologisch nachhaltiger tatigkeiten annehmen nachhaltigkeit sollte starker in den corporategovernancerahmen integriert werden da sich zahlreiche unternehmen noch immer zu stark auf kurzfristigen finanziellen ertrag anstelle ihrer langfristigen entwicklung und von nachhaltigkeitsaspekten konzentrieren gleichzeitig werden unternehmen und finanzinstitute mit ihren klima und umweltdaten offener umgehen mussen damit die anleger umfassend uber die nachhaltigkeit ihrer investitionen informiert sind in diesem zusammenhang wird die kommission die richtlinie uber die angabe nichtfinanzieller informationen uberprufen um einen angemessenen umgang mit umweltrisiken und klimaschutzmoglichkeiten zu gewahrleisten und die damit verbundenen transaktionskosten zu senken wird die kommission auch unternehmen und andere interessentrager bei der entwicklung standardisierter verfahren fur die naturkapitalbilanzierung in der eu und auf internationaler ebene unterstutzen
            ";0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - mitgliedstaat - klimaneutralitat - einschließlich - folgende - rahmen - verwirklichung;1.0;1.0;(7.0, 0.1, 30, 7)
gegenstandin dieser verordnung sind die verpflichtungen der marktteilnehmer die erstmalig holz und holzerzeugnisse auf dem binnenmarkt in verkehr bringen und die verpflichtungen von handlern festgelegt;2.0;2_holz_gemaß_holzerzeugnissen_kontrollen;holz - gemaß - holzerzeugnissen - kontrollen - marktteilnehmer - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;(7.0, 0.1, 30, 7)
   die marktteilnehmer lassen die gebotene sorgfalt walten wenn sie holz oder holzerzeugnisse in verkehr bringen zu diesem zweck wenden sie eine regelung mit verfahren und maßnahmen nachstehend sorgfaltspflichtregelung genannt an die in artikel  genauer ausgefuhrt ist;2.0;2_holz_gemaß_holzerzeugnissen_kontrollen;holz - gemaß - holzerzeugnissen - kontrollen - marktteilnehmer - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;(7.0, 0.1, 30, 7)
   die zustandigen behorden uberprufen im rahmen regelmaßiger kontrollen dass die in ihrem zustandigkeitsbereich tatigen uberwachungsorganisationen die aufgaben gemaß absatz  weiterhin erfullen und den anforderungen gemaß absatz  weiterhin genugen kontrollen konnen auch vorgenommen werden wenn der zustandigen behorde des mitgliedstaats einschlagige informationen einschließlich begrundeter bedenken dritter vorliegen oder wenn die behorde mangel bei der durchfuhrung einer von einer uberwachungsorganisation erstellten sorgfaltspflichtregelung durch die marktteilnehmer festgestellt hat ein bericht uber die kontrollen ist gemaß der richtlinie eg zuganglich zu machen;2.0;2_holz_gemaß_holzerzeugnissen_kontrollen;holz - gemaß - holzerzeugnissen - kontrollen - marktteilnehmer - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;(7.0, 0.1, 30, 7)
 mit der ausweitung der konnektivitat und der zunehmenden komplexitat von cyberangriffen erfullen informationsaustausch und analysezentren eine wertvolle funktion auch auf sektoraler ebene da sie den informationsaustausch uber cyberbedrohungen zwischen verschiedenen interessentragern ermoglichen  daruber hinaus mussen netze und computersysteme standig uberwacht und analysiert werden um eindringlinge und anomalien in echtzeit zu erkennen zahlreiche private unternehmen offentliche einrichtungen und nationale behorden haben daher computernotfallteams csirts und sicherheitseinsatzzentren eingerichtet ;0.0;0_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - digitalen - einrichtungen;1.0;1.0;(7.0, 0.25, 25, 6)
