Document;Topic;Name;Top_n_words;Probability;Representative_document;model
 die kommission pflegt zu informationszwecken ein offentliches unionsregister der anerkannten datenaltruistischen organisationen sofern eine gemaß artikel  im offentlichen nationalen register der anerkannten datenaltruistischen organisationen eingetragene einrichtung registriert ist darf sie in ihrer schriftlichen und mundlichen kommunikation die bezeichnung in der union anerkannte datenaltruistische organisation und ein gemeinsames logo verwenden damit anerkannte datenaltruistische organisationen in der gesamten union leicht zu erkennen sind legt die kommission im wege von durchfuhrungsrechtsakten die ausgestaltung des gemeinsamen logos fest anerkannte datenaltruistische organisationen verwenden das gemeinsame logo gut sichtbar auf jeder online und offlineveroffentlichung die mit ihren datenaltruistischen tatigkeiten in zusammenhang steht das gemeinsame logo erscheint gemeinsam mit einem qrcode mit link zum offentlichen unionsregister der anerkannten datenaltruistischen organisationen die durchfuhrungsrechtsakte werden nach dem in artikel  absatz  genannten beratungsverfahren erlassen;0.0;0_daten_datenvermittlungsdiensten_organisationen_datenaltruistischen;daten - datenvermittlungsdiensten - organisationen - datenaltruistischen - anbieter - datenvermittlungsdienste - dateninhaber - zustandigen - stelle - behorde;1.0;1.0;(5, 0.25, 30, 7)
"diese verordnung gilt für 
a hersteller von produkten und erbringer verbundener dienste die in der union 
in verkehr gebracht werden und die nutzer solcher produkte oder dienste 
b dateninhaber die datenempfängern in der union daten bereitstellen 
c datenempfänger in der union denen daten bereitgestellt werden 
d öffentliche stellen und organe einrichtungen und sonstige stellen der union 
die von dateninhabern verlangen daten bereitzustellen sofern diese daten 
wegen außergewöhnlicher notwendigkeit zur wahrnehmung einer aufgabe 
von öffentlichem interesse benötigt werden sowie die dateninhaber die solche 
daten auf ein solches verlangen hin bereitstellen 
e anbieter von datenverarbeitungsdiensten die kunden in der union solche 
dienste anbieten 
";0.0;0_daten_datenvermittlungsdiensten_organisationen_datenaltruistischen;daten - datenvermittlungsdiensten - organisationen - datenaltruistischen - anbieter - datenvermittlungsdienste - dateninhaber - zustandigen - stelle - behorde;1.0;1.0;(5, 0.25, 30, 7)
"der dritte darf keine zwangsmittel einsetzen oder offensichtliche lücken in der 
technischen infrastruktur des dateninhabers mit der die daten geschützt werden 
sollen ausnutzen um zugang zu daten zu erlangen 
";0.0;0_daten_datenvermittlungsdiensten_organisationen_datenaltruistischen;daten - datenvermittlungsdiensten - organisationen - datenaltruistischen - anbieter - datenvermittlungsdienste - dateninhaber - zustandigen - stelle - behorde;1.0;1.0;(5, 0.25, 30, 7)
 das unternehmen das zentrale plattformdienste bereitstellt kann im rahmen seiner mitteilung hinreichend substanziierte argumente dafur vorbringen dass es in anbetracht der umstande unter denen der betreffende zentrale plattformdienst bereitgestellt wird die in absatz  aufgefuhrten anforderungen ausnahmsweise nicht erfullt obwohl es alle in absatz  genannten schwellenwerte erreicht ist die kommission der auffassung dass die von dem unternehmen das zentrale plattformdienste bereitstellt gemaß unterabsatz  vorgebrachten argumente nicht hinreichend substanziiert sind weil sie die vermutungen nach absatz  dieses artikels nicht eindeutig entkraften so kann sie diese argumente innerhalb der in absatz  genannten frist zuruckweisen ohne das verfahren nach artikel  absatz  anzuwenden bringt das unternehmen das zentrale plattformdienste bereitstellt solche hinreichend substanziierten argumente vor die die vermutungen nach absatz  des vorliegenden artikels eindeutig entkraften so kann die kommission ungeachtet des unterabsatzes  des vorliegenden absatzes innerhalb der in absatz  dieses artikels genannten frist das verfahren nach artikel  absatz  eroffnen kommt die kommission zu dem schluss dass das unternehmen das zentrale plattformdienste bereitstellt nicht nachweisen konnte dass die von ihm erbrachten einschlagigen zentralen plattformdienste die anforderungen des absatzes  des vorliegenden artikels nicht erfullen so benennt sie dieses unternehmen gemaß dem verfahren nach artikel  absatz  als torwachter;3.0;3_plattformdienste_torwachter_zentralen_unternehmen;plattformdienste - torwachter - zentralen - unternehmen - zentrale - gewerblichen - endnutzer - endnutzern - torwachters - softwareanwendungen;1.0;1.0;(5, 0.25, 30, 7)
 der torwachter ermoglicht endnutzern und von ihnen beauftragten dritten auf ihren antrag hin kostenlos die effektive ubertragbarkeit der daten die vom endnutzer bereitgestellt oder durch die tatigkeit des endnutzers im zusammenhang mit der nutzung des betreffenden zentralen plattformdienstes generiert werden auch indem kostenlos instrumente bereitgestellt werden die die effektive nutzung dieser datenubertragbarkeit erleichtern und indem unter anderem ein permanenter echtzeitzugang zu diesen daten gewahrleistet wird;3.0;3_plattformdienste_torwachter_zentralen_unternehmen;plattformdienste - torwachter - zentralen - unternehmen - zentrale - gewerblichen - endnutzer - endnutzern - torwachters - softwareanwendungen;1.0;1.0;(5, 0.25, 30, 7)
 die nationalen behorden erlassen keine entscheidungen die einem von der kommission nach dieser verordnung erlassenen beschluss zuwiderlaufen die kommission und die mitgliedstaaten arbeiten eng zusammen und koordinieren ihre durchsetzungsmaßnahmen auf der grundlage der in den artikeln  und  genannten grundsatze;1.0;1_erlassen_torwachter_gemaß_beschluss;erlassen - torwachter - gemaß - beschluss - durchsetzung - durchfuhrungsrechtsakt - verfahren - innerhalb - artikeln - verpflichtungen;1.0;1.0;(5, 0.25, 30, 7)
 der torwachter gewahrt werbetreibenden und herausgebern sowie von werbetreibenden und herausgebern beauftragten dritten auf ihren antrag hin kostenlos zugang zu seinen instrumenten zur leistungsmessung und zu den daten die sie benotigen um ihre eigene unabhangige uberprufung des werbeinventars vorzunehmen einschließlich aggregierter und nichtaggregierter daten diese daten werden so bereitgestellt dass werbetreibende und herausgeber ihre eigenen uberprufungs und messinstrumente einsetzen konnen um die leistung der von den torwachtern bereitgestellten zentralen plattformdienste zu bewerten;3.0;3_plattformdienste_torwachter_zentralen_unternehmen;plattformdienste - torwachter - zentralen - unternehmen - zentrale - gewerblichen - endnutzer - endnutzern - torwachters - softwareanwendungen;1.0;1.0;(5, 0.25, 30, 7)
 der kommission wird die befugnis ubertragen gemaß artikel  delegierte rechtsakte zu erlassen um diese verordnung in bezug auf die in den artikeln  und  festgelegten verpflichtungen zu erganzen diese delegierten rechtsakte stutzen sich auf eine marktuntersuchung nach artikel  in deren rahmen festgestellt wurde dass diese verpflichtungen aktualisiert werden mussen um praktiken zu begegnen die die bestreitbarkeit zentraler plattformdienste beschranken oder in gleicher weise unfair sind wie die praktiken denen mit den in den artikeln  und  genannten verpflichtungen begegnet werden soll;1.0;1_erlassen_torwachter_gemaß_beschluss;erlassen - torwachter - gemaß - beschluss - durchsetzung - durchfuhrungsrechtsakt - verfahren - innerhalb - artikeln - verpflichtungen;1.0;1.0;(5, 0.25, 30, 7)
 gemaß artikel  absatz  unterabsatz  buchstabe a der haushaltsordnung konnen im rahmen dieser verordnung geforderte tatigkeiten und die zugrunde liegenden kosten in hinreichend begrundeten im finanzierungsbeschluss genannten fallen und fur einen begrenzten zeitraum ab dem  januar  als forderfahig betrachtet werden selbst wenn sie vor finanzhilfeantragstellung durchgefuhrt wurden bzw entstanden sind;4.0;4_kosten_haushaltsordnung_unterstutzung_programms;kosten - haushaltsordnung - unterstutzung - programms - rahmen - programm - konnen - maßnahme - forderfahigen - ausgaben;1.0;1.0;(5, 0.25, 30, 7)
 fur das spezifische programm gemaß artikel  absatz  buchstabe a und das eit ist das programm in die folgenden teile gegliedert die den in artikel  genannten allgemeinen und spezifischen zielen gewidmet sind a saule i wissenschaftsexzellenz mit folgenden programmbereichen i erc ii marieskodowskacuriemaßnahmen iii forschungsinfrastrukturen b saule ii globale herausforderungen und industrielle wettbewerbsfahigkeit europas mit den folgenden programmbereichen unter berucksichtigung der wichtigen rolle der sozial und geisteswissenschaften fur alle cluster i cluster gesundheit ii cluster kultur kreativitat und inklusive gesellschaft iii cluster zivile sicherheit fur die gesellschaft iv cluster digitalisierung industrie und raumfahrt v cluster klima energie und mobilitat vi cluster lebensmittel biookonomie naturliche ressourcen landwirtschaft und umwelt vii direkte maßnahmen der jrc außerhalb des nuklearbereichs c saule iii innovatives europa mit den folgenden programmbereichen i eic ii europaische innovationssysteme iii eit d teil ausweitung der beteiligung und starkung des efr mit den folgenden programmbereichen i ausweitung der beteiligung und verbreitung von exzellenz ii reformierung und starkung des europaischen fuisystems;5.0;5_eur_cluster_programm_partnerschaften;eur - cluster - programm - partnerschaften - programms - konstanten - preisen - saule - rahmen - europaische;1.0;1.0;(5, 0.25, 30, 7)
