Document;Topic;Name;Top_n_words;Probability;Representative_document;model
 durch eine nachhaltige zusammenarbeit und kooperation wird dieses netz die behorden und alle interessentrager einschließlich der gemeinsamen cyberstelle rechtzeitig vor cybersicherheitsvorfallen warnen konnen siehe abschnitt  es wird als echter cybersicherheitsschutzschild fur die eu dienen und ein solides geflecht aus wachtturmen bieten damit potenzielle bedrohungen erkannt werden konnen bevor sie schwere schaden verursachen ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;(7.0, 0.1, 30, 7)
 die gemeinsame cyberstelle wurde drei hauptziele erfullen erstens wurde sie sicherstellen dass alle cyberkreise vorbereitet sind zweitens wurde der informationsaustausch fur eine stetige gemeinsame lageerfassung sorgen drittens wurde die cyberstelle die koordinierte reaktion und wiederherstellung starken um diese ziele zu erreichen sollte sich die stelle auf genau definierte blocke und ziele stutzen etwa die gewahrleistung eines sicheren und raschen informationsaustauschs die verbesserung der zusammenarbeit zwischen den beteiligten einschließlich der interaktion zwischen den mitgliedstaaten und den einschlagigen eueinrichtungen den aufbau strukturierter partnerschaften mit vertrauenswurdigen unternehmen und die erleichterung eines koordinierten ansatzes fur die zusammenarbeit mit externen partnern so konnte die cyberstelle ausgehend von einer bestandsaufnahme der auf nationaler und euebene vorhandenen fahigkeiten die entwicklung eines rahmens fur die zusammenarbeit erleichtern ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;(7.0, 0.1, 30, 7)
 sicherheit und widerstandsfahigkeit der lieferkette insbesondere im nachgang zur gerekerhebung uber smsm ;1.0;1_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - einrichtungen - digitalen;1.0;1.0;(7.0, 0.1, 30, 7)
"
               die handelspolitik kann den okologischen wandel in der eu unterstutzen sie dient als plattform fur die zusammenarbeit mit handelspartnern bei klima und umweltmaßnahmen in den euhandelsabkommen wurden die nachhaltigkeitsverpflichtungen kontinuierlich verstarkt insbesondere mit dem ziel mehr klimaschutzmaßnahmen zu erwirken daruber hinaus hat sich kommission vermehrt bemuht die verpflichtungen zu nachhaltiger entwicklung in euhandelsabkommen um und durchzusetzen diese bemuhungen wurden mit der ernennung eines kommissionsbeauftragten fur die durchsetzung von handelsregeln weiter verstarkt speziell zum thema klimawandel werden die parteien in den jungsten abkommen der eu verbindlich verpflichtet das ubereinkommen von paris zu ratifizieren und wirksam umzusetzen die kommission wird vorschlagen die einhaltung des ubereinkommens von paris zu einem wesentlichen bestandteil aller kunftigen umfassenden handelsabkommen zu machen die handelspolitik der eu erleichtert den handel mit umweltfreundlichen waren und dienstleistungen und entsprechende investitionen und fordert die klimafreundliche vergabe offentlicher auftrage daruber hinaus muss sie dafur sorgen dass der handel mit rohstoffen und investitionen in rohstoffe auf die die euwirtschaft fur die grune wende angewiesen ist fair sind und es keine marktverzerrungen gibt die handelspolitik kann schadlichen praktiken wie dem illegalen holzeinschlag entgegenwirken fur eine engere zusammenarbeit bei regulierungsfragen sorgen eustandards vorwartsbringen und nichttarifare hemmnisse im sektor erneuerbare energien ausraumen  alle chemikalien werkstoffe lebensmittel und sonstigen produkte die in der eu in verkehr gebracht werden mussen vollstandig mit den einschlagigen euvorschriften und standards vereinbar sein die eu sollte ihre erfahrung mit gruner rechtsetzung nutzen um ihre partner dazu zu ermutigen vergleichbare vorschriften mit demselben ambitionsniveau wie die euvorschriften zu konzipieren was den handel erleichtern und den umwelt und klimaschutz in diesen landern verbessern wurde 
            ";0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - mitgliedstaat - klimaneutralitat - einschließlich - folgende - rahmen - verwirklichung;1.0;1.0;(7.0, 0.1, 30, 7)
 der mit artikel  buchstabe a der verordnung eg nr  eingesetzte europaische wissenschaftliche beirat fur klimawandel im folgenden beirat dient der union aufgrund seiner unabhangigkeit und seines wissenschaftlichen und technischen fachwissens als bezugspunkt fur wissenschaftliche erkenntnisse im zusammenhang mit dem klimawandel;0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - mitgliedstaat - klimaneutralitat - einschließlich - folgende - rahmen - verwirklichung;1.0;1.0;(7.0, 0.1, 30, 7)
 bei der vorlage ihres legislativvorschlags fur das klimaziel der union fur  gemaß absatz  veroffentlicht die kommission gleichzeitig in einem gesonderten bericht das projizierte indikative treibhausgasbudget der union fur den zeitraum von  bis  definiert als die indikative gesamtmenge der nettotreibhausgasemissionen als coaquivalent und mit gesonderten informationen uber die emissionen und den abbau von treibhausgasen die voraussichtlich in diesem zeitraum emittiert werden ohne dadurch die verpflichtungen der union gemaß dem ubereinkommen von paris zu gefahrden das projizierte indikative treibhausgasbudget der union grundet sich auf die besten verfugbaren wissenschaftlichen erkenntnisse wobei die empfehlungen des beirats sowie soweit angenommen die einschlagigen rechtsvorschriften der union zur umsetzung des klimaziels der union fur  berucksichtigt werden die kommission veroffentlicht ebenfalls die methodik die dem projizierten indikativen treibhausgasbudget der union zugrunde liegt;0.0;0_maßnahmen_gemaß_zeitraum_emissionen;maßnahmen - gemaß - zeitraum - emissionen - mitgliedstaat - klimaneutralitat - einschließlich - folgende - rahmen - verwirklichung;1.0;1.0;(7.0, 0.1, 30, 7)
   jeder marktteilnehmer halt die von ihm angewendete sorgfaltspflichtregelung auf dem neuesten stand und bewertet sie regelmaßig es sei denn er wendet eine sorgfaltspflichtregelung an die von einer uberwachungsorganisation im sinne des artikels  erstellt wurde nach einzelstaatlichem recht bereits bestehende uberwachungsmechanismen sowie etwaige freiwillige uberwachungsmechanismen entlang der lieferkette die die anforderungen dieser verordnung erfullen konnen der sorgfaltspflichtregelung zugrunde gelegt werden;2.0;2_holz_gemaß_holzerzeugnissen_kontrollen;holz - gemaß - holzerzeugnissen - kontrollen - marktteilnehmer - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;(7.0, 0.1, 30, 7)
   die in absatz  genannten kontrollen sind nach einem regelmaßig zu uberprufenden plan und aufgrund eines risikobasierten ansatzes vorzunehmen kontrollen konnen auch vorgenommen werden wenn einer zustandigen behorde einschlagige informationen auch solche aufgrund begrundeter bedenken dritter uber die einhaltung dieser verordnung durch einen marktteilnehmer vorliegen;2.0;2_holz_gemaß_holzerzeugnissen_kontrollen;holz - gemaß - holzerzeugnissen - kontrollen - marktteilnehmer - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;(7.0, 0.1, 30, 7)
   die zustandigen behorden tauschen mit den zustandigen behorden der anderen mitgliedstaaten sowie mit der kommission informationen uber durch die kontrollen gemaß artikel  absatz  und artikel  absatz  festgestellte ernste mangel und uber die art der gemaß artikel  verhangten sanktionen aus;2.0;2_holz_gemaß_holzerzeugnissen_kontrollen;holz - gemaß - holzerzeugnissen - kontrollen - marktteilnehmer - holzerzeugnisse - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;(7.0, 0.1, 30, 7)
 durch eine nachhaltige zusammenarbeit und kooperation wird dieses netz die behorden und alle interessentrager einschließlich der gemeinsamen cyberstelle rechtzeitig vor cybersicherheitsvorfallen warnen konnen siehe abschnitt  es wird als echter cybersicherheitsschutzschild fur die eu dienen und ein solides geflecht aus wachtturmen bieten damit potenzielle bedrohungen erkannt werden konnen bevor sie schwere schaden verursachen ;0.0;0_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - digitalen - einrichtungen;1.0;1.0;(7.0, 0.25, 25, 6)
 unsere abhangigkeit von onlinetools hat die angriffsflache fur cyberkriminelle exponentiell erhoht und dazu gefuhrt dass ermittlungen bei fast allen arten von kriminalitat eine digitale komponente aufweisen zudem sind zentrale gesellschaftsbereiche von cyberakteuren bzw personen bedroht die cyberinstrumente zur planung und durchfuhrung illegaler handlungen einsetzen somit gibt es enge verbindungen zur allgemeinen sicherheitspolitik der eu wie sich dies in den cyberaspekten der eustrategie fur eine sicherheitsunion von  und in der euagenda fur die terrorismusbekampfung widerspiegelt   ;0.0;0_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - digitalen - einrichtungen;1.0;1.0;(7.0, 0.25, 25, 6)
 die kommission wird mit allen geeigneten mitteln auch vertragsverletzungsverfahren dafur sorgen dass die richtlinie uber angriffe auf informationssysteme  von  vollstandig umgesetzt und angewendet wird auch im hinblick auf die bereitstellung statistischer daten durch die mitgliedstaaten sie wird dem missbrauch von domainnamen  unter anderem zur verbreitung illegaler inhalte  wirksamer vorbeugen und darauf hinarbeiten dass genaue registrierungsdaten verfugbar sind dafur wird sie weiter mit der zentralstelle fur die vergabe von internetnamen und adressen internet corporation for assigned names and numbers  icann und anderen akteuren des internetgovernancesystems zusammenarbeiten insbesondere uber die arbeitsgruppe fur offentliche sicherheit des icannausschusses fur die beratung von regierungen der vorschlag in der uberarbeiteten nisrichtlinie sieht daher vor vollstandige datenbanken mit domainnamen und genauen registrierungsdaten whoisdaten zu fuhren und den legalen zugriff auf diese daten zu ermoglichen da dies fur die gewahrleistung der sicherheit stabilitat und widerstandsfahigkeit des dns wesentlich ist ;2.0;2_holz_gemaß_marktteilnehmer_kontrollen;holz - gemaß - marktteilnehmer - kontrollen - holzerzeugnisse - holzerzeugnissen - zustandigen - sorgfaltspflichtregelung - behorden - uberwachungsorganisation;1.0;1.0;(7.0, 0.25, 25, 6)
 breite einfuhrung von cybersicherheitstechnik durch eine gezielte unterstutzung von kmu im rahmen der digitalen innovationszentren ;0.0;0_cybersicherheit_zusammenarbeit_rahmen_internet;cybersicherheit - zusammenarbeit - rahmen - internet - cyberraum - sicherheit - konnen - unternehmen - digitalen - einrichtungen;1.0;1.0;(7.0, 0.25, 25, 6)
"
               fur eine schadstofffreie umwelt sind zusatzliche maßnahmen zur vermeidung neuer umweltverschmutzung sowie zur bereinigung und beseitigung bestehender verschmutzung erforderlich um die burgerinnen und burger sowie die okosysteme europas zu schutzen muss die eu die schadstoffbelastung von luft wasser und boden sowie konsumgutern besser uberwachen melden verhindern und beseitigen hierzu mussen die eu und die mitgliedstaaten alle politischen maßnahmen und vorschriften systematischer prufen um diesen miteinander verbundenen herausforderungen zu begegnen wird die kommission  einen nullschadstoffaktionsplan fur luft wasser und boden annehmen 
            ";1.0;1_gemaß_maßnahmen_zeitraum_emissionen;gemaß - maßnahmen - zeitraum - emissionen - mitgliedstaat - klimaneutralitat - folgende - vorliegenden - fassung - einschließlich;1.0;1.0;(7.0, 0.25, 25, 6)
"
               die kommission wird die eumaßnahmen zur bekampfung der verschmutzung durch große industrieanlagen uberprufen sie wird sich mit dem sektoralen anwendungsbereich der rechtsvorschriften sowie der frage befassen wie sie vollstandig mit der klima energie und kreislaufwirtschaftspolitik in einklang gebracht werden konnen die kommission wird außerdem mit den mitgliedstaaten zusammenarbeiten um industrielle schadensfalle besser zu verhuten 
            ";1.0;1_gemaß_maßnahmen_zeitraum_emissionen;gemaß - maßnahmen - zeitraum - emissionen - mitgliedstaat - klimaneutralitat - folgende - vorliegenden - fassung - einschließlich;1.0;1.0;(7.0, 0.25, 25, 6)
